clip_idx,tier,gate,accuracy,n,speech_density
0,tier0_cross,visual_only,0.0,5,1.0
0,tier1_vatex_short,visual_only,0.0,5,1.0
0,tier2_vatex_long,visual_only,0.0,5,1.0
0,tier3_va11y,visual_only,0.2,5,1.0
1,tier0_cross,visual_only,0.0,5,1.0
1,tier1_vatex_short,visual_only,0.0,5,1.0
1,tier2_vatex_long,visual_only,0.4,5,1.0
1,tier3_va11y,visual_only,0.8,5,1.0
3,tier0_cross,visual_only,0.0,5,0.8333333333333334
3,tier1_vatex_short,visual_only,0.4,5,0.8333333333333334
3,tier2_vatex_long,visual_only,0.6,5,0.8333333333333334
3,tier3_va11y,visual_only,0.6,5,0.8333333333333334
4,tier0_cross,visual_only,0.0,5,0.35714285714285715
4,tier1_vatex_short,visual_only,0.2,5,0.35714285714285715
4,tier2_vatex_long,visual_only,0.2,5,0.35714285714285715
4,tier3_va11y,visual_only,0.6,5,0.35714285714285715
5,tier0_cross,visual_only,0.0,5,1.0
5,tier1_vatex_short,visual_only,0.0,5,1.0
5,tier2_vatex_long,visual_only,0.6,5,1.0
5,tier3_va11y,visual_only,0.8,5,1.0
6,tier0_cross,visual_only,0.0,5,1.0
6,tier1_vatex_short,visual_only,0.0,5,1.0
6,tier2_vatex_long,visual_only,0.0,5,1.0
6,tier3_va11y,visual_only,0.6,5,1.0
7,tier0_cross,visual_only,0.2,5,1.0
7,tier1_vatex_short,visual_only,0.2,5,1.0
7,tier2_vatex_long,visual_only,0.2,5,1.0
7,tier3_va11y,visual_only,0.2,5,1.0
8,tier0_cross,visual_only,0.0,5,1.0
8,tier1_vatex_short,visual_only,0.2,5,1.0
8,tier2_vatex_long,visual_only,0.2,5,1.0
8,tier3_va11y,visual_only,0.6,5,1.0
9,tier0_cross,visual_only,0.0,5,1.0
9,tier1_vatex_short,visual_only,0.2,5,1.0
9,tier2_vatex_long,visual_only,0.2,5,1.0
9,tier3_va11y,visual_only,0.4,5,1.0
11,tier0_cross,visual_only,0.0,5,0.6666666666666666
11,tier1_vatex_short,visual_only,0.4,5,0.6666666666666666
11,tier2_vatex_long,visual_only,0.2,5,0.6666666666666666
11,tier3_va11y,visual_only,0.8,5,0.6666666666666666
12,tier0_cross,visual_only,0.0,5,0.5
12,tier1_vatex_short,visual_only,0.4,5,0.5
12,tier2_vatex_long,visual_only,0.0,5,0.5
12,tier3_va11y,visual_only,0.6,5,0.5
13,tier0_cross,visual_only,0.0,5,1.0
13,tier1_vatex_short,visual_only,0.0,5,1.0
13,tier2_vatex_long,visual_only,0.2,5,1.0
13,tier3_va11y,visual_only,0.4,5,1.0
14,tier0_cross,visual_only,0.0,5,0.9166666666666666
14,tier1_vatex_short,visual_only,0.4,5,0.9166666666666666
14,tier2_vatex_long,visual_only,0.2,5,0.9166666666666666
14,tier3_va11y,visual_only,0.8,5,0.9166666666666666
15,tier0_cross,visual_only,0.0,5,0.5
15,tier1_vatex_short,visual_only,0.0,5,0.5
15,tier2_vatex_long,visual_only,0.0,5,0.5
15,tier3_va11y,visual_only,0.0,5,0.5
16,tier0_cross,visual_only,0.0,5,1.0
16,tier1_vatex_short,visual_only,0.4,5,1.0
16,tier2_vatex_long,visual_only,0.4,5,1.0
16,tier3_va11y,visual_only,0.6,5,1.0
17,tier0_cross,visual_only,0.0,5,0.9285714285714286
17,tier1_vatex_short,visual_only,0.2,5,0.9285714285714286
17,tier2_vatex_long,visual_only,0.2,5,0.9285714285714286
17,tier3_va11y,visual_only,0.8,5,0.9285714285714286
18,tier0_cross,visual_only,0.0,5,1.0
18,tier1_vatex_short,visual_only,0.2,5,1.0
18,tier2_vatex_long,visual_only,0.4,5,1.0
18,tier3_va11y,visual_only,0.8,5,1.0
19,tier0_cross,visual_only,0.0,5,0.5714285714285714
19,tier1_vatex_short,visual_only,0.0,5,0.5714285714285714
19,tier2_vatex_long,visual_only,0.0,5,0.5714285714285714
19,tier3_va11y,visual_only,0.2,5,0.5714285714285714
