source,clip_id,motion_scenes_per_s,category
external,3ufJNSez5Is_000008_000018,0.0,How-to & Instructional
external,_oAKCHh_Av4_000003_000013,0.0,People & Vlogs
external,BHxn3qfPAl4_000018_000028,0.0,Health & Wellness
external,BcW6Y7eufQE_000239_000249,0.0,People & Vlogs
external,EA3HCx0yTIY_000281_000291,0.0,Music
external,j6CgiNeWQwM_000842_000852,0.1,Food & Cooking
external,9fuIpQgnNEQ_000049_000059,0.0,Event
external,u-olDM7oGGM_000012_000022,0.0,Health & Wellness
external,eb-ufaFcUas_000008_000018,0.0,Entertainment
external,heWD9j45Emw_000225_000235,0.2,Music
external,2kJxrcNRS9w_000047_000057,0.0,Sports
external,OASCPKazLIM_000132_000142,0.0,How-to & Instructional
external,j4CKRgv3jUg_000000_000010,0.0,Entertainment
external,N-LZPc27kjM_000229_000239,0.0,How-to & Instructional
external,RlfVK8z5wJ0_000000_000010,0.0,Sports
external,_TKzyWZHjm8_000002_000012,0.0,Health & Wellness
external,F-mRnL_XmJU_000000_000010,0.0,Entertainment
external,g8Idd47kGqo_000037_000047,0.0,Entertainment
external,ShSSAEfnyDs_000000_000010,0.6302521008403361,Entertainment
external,d7_SY48r__8_000060_000070,0.0,How-to & Instructional
external,xW6hpK-DBMY_000080_000090,0.0,How-to & Instructional
external,iEAWgsSvJAE_000023_000033,0.2997112881161577,Film & Animation
external,3su234u58DA_000172_000182,0.0,Entertainment
external,v2Hr1CH-yb0_000076_000086,0.0,How-to & Instructional
external,S-C86j0keqc_000217_000227,0.0,Event
external,wbOD_G3ttgU_000083_000093,0.0,How-to & Instructional
external,RjPp0ZPW0yc_000000_000010,0.0,How-to & Instructional
external,8vkNr_eysXY_000002_000012,0.0,How-to & Instructional
external,GOH6fBhoi2o_000010_000020,0.0,Entertainment
external,bgt29znHCzs_000343_000353,0.1,Sports
external,0m0-Q0zz_-c_000112_000122,0.0,How-to & Instructional
external,Ccgwurislg8_000082_000092,0.0,How-to & Instructional
external,1YemrpNBpf4_000001_000011,0.0,Entertainment
external,D297atE3gag_000203_000213,0.0,How-to & Instructional
external,Z5w-wkrjHuw_000345_000355,0.0,Entertainment
external,ZcYB6tPK2Eo_000138_000148,0.0,How-to & Instructional
external,0t0DB1B1w8Y_000000_000010,0.0,Sports
external,1-jIze6gy0g_000026_000036,0.0,How-to & Instructional
external,AEkLDauJVi0_000069_000079,0.0,Food & Cooking
external,gFBO3zrod9Y_000005_000015,0.3,People & Vlogs
external,1kLhK8KfIEw_000020_000030,0.0,How-to & Instructional
external,21T1JDdJgsM_000047_000057,0.2997002997002997,Entertainment
external,750QhTe9Z4U_000000_000010,0.0,People & Vlogs
external,lgJywzzdUC8_000000_000010,0.0,Event
external,A0e7Z55s8pE_000008_000018,0.0,How-to & Instructional
external,Xdz1cxEjLYc_000007_000017,0.2,Food & Cooking
external,HpRmj5ce32c_000001_000011,0.0,Sports
external,dlBeUWrse3I_000019_000029,0.3,How-to & Instructional
external,yBO8rAMeqjc_000007_000017,0.4,"Education, Seminar & Talks"
external,c_gQ9CSaZY4_000000_000010,0.0999000999000999,How-to & Instructional
external,1HUWWCLza0w_000000_000010,0.0,Sports
external,Bss3WwpDdS8_000041_000051,0.0993305814126855,People & Vlogs
external,rGQ64NXktF8_000006_000016,0.0,People & Vlogs
external,jeweRSnAJeo_000050_000060,0.0,Film & Animation
external,crjesEwF0Ks_000197_000207,0.0,How-to & Instructional
external,iZP6gjlr_nM_000113_000123,0.0,How-to & Instructional
external,9eBhetL8n5Q_000222_000232,0.0,People & Vlogs
external,zTJ0Zbv1jBo_000045_000055,0.0,Health & Wellness
