clip_idx,tier,gt,story_recall,n_beats
12,tier3_va11y,3,0.7777777777777778,9
12,tier2_vatex_long,2,0.6666666666666666,9
12,tier1_vatex_short,1,0.4444444444444444,9
12,tier0_cross,0,0.0,9
15,tier3_va11y,3,0.1,10
15,tier2_vatex_long,2,0.1,10
15,tier1_vatex_short,1,0.1,10
15,tier0_cross,0,0.0,10
11,tier3_va11y,3,0.6666666666666666,9
11,tier2_vatex_long,2,0.5555555555555556,9
11,tier1_vatex_short,1,0.3333333333333333,9
11,tier0_cross,0,0.0,9
4,tier3_va11y,3,1.0,6
4,tier2_vatex_long,2,0.3333333333333333,6
4,tier1_vatex_short,1,0.5,6
4,tier0_cross,0,0.0,6
3,tier3_va11y,3,0.75,8
3,tier2_vatex_long,2,0.875,8
3,tier1_vatex_short,1,0.25,8
3,tier0_cross,0,0.0,8
19,tier3_va11y,3,0.4,5
19,tier2_vatex_long,2,0.0,5
19,tier1_vatex_short,1,0.2,5
19,tier0_cross,0,0.0,5
14,tier3_va11y,3,0.7777777777777778,9
14,tier2_vatex_long,2,0.3333333333333333,9
14,tier1_vatex_short,1,0.3333333333333333,9
14,tier0_cross,0,0.0,9
17,tier3_va11y,3,0.8333333333333334,6
17,tier2_vatex_long,2,0.0,6
17,tier1_vatex_short,1,0.6666666666666666,6
17,tier0_cross,0,0.5,6
5,tier3_va11y,3,1.0,6
5,tier2_vatex_long,2,1.0,6
5,tier1_vatex_short,1,0.8333333333333334,6
5,tier0_cross,0,0.0,6
8,tier3_va11y,3,1.0,9
8,tier2_vatex_long,2,0.7777777777777778,9
8,tier1_vatex_short,1,0.3333333333333333,9
8,tier0_cross,0,0.0,9
1,tier3_va11y,3,0.875,8
1,tier2_vatex_long,2,0.75,8
1,tier1_vatex_short,1,0.375,8
1,tier0_cross,0,0.0,8
6,tier3_va11y,3,0.8888888888888888,9
6,tier2_vatex_long,2,0.5555555555555556,9
6,tier1_vatex_short,1,0.1111111111111111,9
6,tier0_cross,0,0.0,9
13,tier3_va11y,3,0.875,8
13,tier2_vatex_long,2,0.875,8
13,tier1_vatex_short,1,0.75,8
13,tier0_cross,0,0.0,8
7,tier3_va11y,3,0.25,8
7,tier2_vatex_long,2,0.25,8
7,tier1_vatex_short,1,0.25,8
7,tier0_cross,0,0.0,8
9,tier3_va11y,3,0.3333333333333333,6
9,tier2_vatex_long,2,0.16666666666666666,6
9,tier1_vatex_short,1,0.3333333333333333,6
9,tier0_cross,0,0.0,6
0,tier3_va11y,3,0.3333333333333333,6
0,tier2_vatex_long,2,0.16666666666666666,6
0,tier1_vatex_short,1,0.16666666666666666,6
0,tier0_cross,0,0.0,6
18,tier3_va11y,3,0.3333333333333333,6
18,tier2_vatex_long,2,0.5,6
18,tier1_vatex_short,1,0.0,6
18,tier0_cross,0,0.0,6
16,tier3_va11y,3,0.7777777777777778,9
16,tier2_vatex_long,2,0.5555555555555556,9
16,tier1_vatex_short,1,0.4444444444444444,9
16,tier0_cross,0,0.0,9
