video_id,category,tier,gt,consensus_coverage,caption_union_coverage,specificity,composite
3ufJNSez5Is_000008_000018,How-to & Instructional,tier0_cross,0,0.2,0.07142857142857142,0.8518518518518519,0.3664451058201058
3ufJNSez5Is_000008_000018,How-to & Instructional,tier1_vatex_short,1,1.0,0.17857142857142858,0.0,0.4208928571428571
3ufJNSez5Is_000008_000018,How-to & Instructional,tier2_vatex_long,2,1.0,0.26785714285714285,0.0,0.46196428571428566
3ufJNSez5Is_000008_000018,How-to & Instructional,tier3_va11y,3,1.0,0.30357142857142855,0.5641025641025641,0.6812934981684982
_oAKCHh_Av4_000003_000013,People & Vlogs,tier0_cross,0,0.2857142857142857,0.06557377049180328,0.8518518518518519,0.39498140558591377
_oAKCHh_Av4_000003_000013,People & Vlogs,tier1_vatex_short,1,0.5714285714285714,0.16393442622950818,0.0,0.269108606557377
_oAKCHh_Av4_000003_000013,People & Vlogs,tier2_vatex_long,2,0.8571428571428571,0.26229508196721313,0.0,0.4068237704918033
_oAKCHh_Av4_000003_000013,People & Vlogs,tier3_va11y,3,0.7142857142857143,0.26229508196721313,0.4482758620689655,0.5176427360090446
BHxn3qfPAl4_000018_000028,Health & Wellness,tier0_cross,0,0.16666666666666666,0.08,0.8518518518518519,0.35692129629629626
BHxn3qfPAl4_000018_000028,Health & Wellness,tier1_vatex_short,1,0.5,0.18,0.0,0.24437499999999998
BHxn3qfPAl4_000018_000028,Health & Wellness,tier2_vatex_long,2,0.6666666666666666,0.32,0.0,0.3564583333333333
BHxn3qfPAl4_000018_000028,Health & Wellness,tier3_va11y,3,0.8333333333333334,0.28,0.4166666666666667,0.5352083333333334
BcW6Y7eufQE_000239_000249,People & Vlogs,tier0_cross,0,0.3333333333333333,0.05333333333333334,0.8518518518518519,0.4085879629629629
BcW6Y7eufQE_000239_000249,People & Vlogs,tier1_vatex_short,1,0.5555555555555556,0.14666666666666667,0.0,0.2517361111111111
BcW6Y7eufQE_000239_000249,People & Vlogs,tier2_vatex_long,2,0.2222222222222222,0.22666666666666666,0.0,0.18131944444444442
BcW6Y7eufQE_000239_000249,People & Vlogs,tier3_va11y,3,0.2222222222222222,0.14666666666666667,0.6666666666666666,0.3786111111111111
EA3HCx0yTIY_000281_000291,Music,tier0_cross,0,0.3333333333333333,0.0625,0.8888888888888888,0.42013888888888884
EA3HCx0yTIY_000281_000291,Music,tier1_vatex_short,1,0.5,0.14583333333333334,0.0,0.23208333333333334
