clip_idx,gt_best_tier,adqa_best_tier,adqa_best_name,gt_matches_adqa,tier3_wins_adqa,tier2_beats_tier3_adqa,tier3_adqa,tier2_adqa,spread_adqa
0,3,3,tier3_va11y,1,1,0,0.5,0.16666666666666666,0.16666666666666669
1,3,3,tier3_va11y,1,1,0,0.9545454545454546,0.5909090909090909,0.8181818181818182
3,3,2,tier2_vatex_long,0,1,0,0.7727272727272727,0.7727272727272727,0.2727272727272727
4,3,3,tier3_va11y,1,1,0,0.7777777777777778,0.5,0.2777777777777778
5,3,3,tier3_va11y,1,1,0,0.8888888888888888,0.7777777777777778,0.5555555555555556
6,3,3,tier3_va11y,1,1,0,0.8636363636363636,0.2727272727272727,0.5909090909090909
7,3,1,tier1_vatex_short,0,1,0,0.3181818181818182,0.3181818181818182,0.0
8,3,3,tier3_va11y,1,1,0,0.7727272727272727,0.45454545454545453,0.3181818181818182
9,3,3,tier3_va11y,1,1,0,0.7222222222222222,0.5555555555555556,0.16666666666666663
11,3,3,tier3_va11y,1,1,0,0.9090909090909091,0.4090909090909091,0.2272727272727273
12,3,3,tier3_va11y,1,1,0,0.8636363636363636,0.4090909090909091,0.2727272727272727
13,3,3,tier3_va11y,1,1,0,0.5909090909090909,0.45454545454545453,0.31818181818181823
14,3,3,tier3_va11y,1,1,0,0.9090909090909091,0.36363636363636365,0.40909090909090906
15,3,3,tier3_va11y,1,1,0,0.2727272727272727,0.13636363636363635,0.13636363636363635
16,3,3,tier3_va11y,1,1,0,0.9090909090909091,0.7272727272727273,0.3181818181818181
17,3,3,tier3_va11y,1,1,0,0.8888888888888888,0.5,0.38888888888888884
18,3,3,tier3_va11y,1,1,0,0.8888888888888888,0.6666666666666666,0.38888888888888884
19,3,3,tier3_va11y,1,1,0,0.4444444444444444,0.05555555555555555,0.1111111111111111
