metric,rho_pooled,rho_per_clip_mean,loo_rho,kendall_tau,pairwise,full_order,violations,violation_ids
ensemble_w50_adqa_need_weighted_clip,0.927887913572603,0.9397904314453799,0.9278761040422945,0.8346014339813661,54/54,15/18,3,"0,12,14"
ensemble_v4_rank_50,0.8886473699299458,0.9051166549057269,0.8886636417698052,0.7988295296722508,50/54,9/18,5,"0,6,12,14,15"
ensemble_v4_minmax_50,0.8816410653612325,0.9333333333333333,0.8817675310887202,0.7637951811808257,54/54,12/18,6,"0,6,12,14,15,19"
ensemble_crit_minmax_50,0.8780322909265573,0.922222222222222,0.8781343855706701,0.7594285928908285,54/54,11/18,7,"0,6,11,12,14,15,19"
ensemble_no_norm_sum,0.799776481733773,0.922222222222222,0.8001084852029261,0.6576660378161783,54/54,11/18,7,"0,6,11,12,14,15,19"
ensemble_adqa_v4_only,0.7930798921780347,0.9119655419775045,0.7933618224170931,0.6697578134323285,51/54,5/18,5,"0,11,12,14,19"
adqa_v4_mean,0.7930798921780347,0.9119655419775045,0.7933618224170931,0.6697578134323285,51/54,5/18,5,"0,11,12,14,19"
ensemble_clip_only,0.7346227922651773,0.8222222222222223,0.7348444130536204,0.5876824758111825,48/54,10/18,8,"0,4,6,12,13,14,15,16"
clip_top3,0.7346227922651773,0.8222222222222223,0.7348444130536204,0.5876824758111825,48/54,10/18,8,"0,4,6,12,13,14,15,16"
need_weighted_clip,0.732829571454115,0.8333333333333334,0.7330946062133366,0.5876824758111825,48/54,11/18,7,"0,4,6,12,13,14,16"
