clip_idx,tier,gt,regime,score_regime_aware,ensemble_v4_minmax_50
0,tier0_cross,0,standard,0.0,0.0
0,tier1_vatex_short,1,standard,0.8333333333333333,0.8333333333333333
0,tier2_vatex_long,2,standard,0.4868805723720115,0.4868805723720115
0,tier3_va11y,3,standard,0.930242606707957,0.930242606707957
1,tier0_cross,0,collision,0.15241935483870964,0.0
1,tier1_vatex_short,1,collision,0.3849462365591397,0.4095743667805044
1,tier2_vatex_long,2,collision,0.6760752688172043,0.7204895395232126
1,tier3_va11y,3,collision,0.65,1.0
3,tier0_cross,0,standard,0.0,0.0
3,tier1_vatex_short,1,standard,0.7628096658213526,0.7628096658213526
3,tier2_vatex_long,2,standard,0.97447572061873,0.97447572061873
3,tier3_va11y,3,standard,1.0,1.0
4,tier0_cross,0,standard,0.0,0.0
4,tier1_vatex_short,1,standard,0.751448647346862,0.751448647346862
4,tier2_vatex_long,2,standard,0.8214285714285714,0.8214285714285714
4,tier3_va11y,3,standard,0.937898579265057,0.937898579265057
5,tier0_cross,0,standard,0.0,0.0
5,tier1_vatex_short,1,standard,0.5865944648627628,0.5865944648627628
5,tier2_vatex_long,2,standard,0.8736692808391009,0.8736692808391009
5,tier3_va11y,3,standard,1.0,1.0
6,tier0_cross,0,collision,0.0,0.0
6,tier1_vatex_short,1,collision,0.4742138364779874,0.6578947368421053
6,tier2_vatex_long,2,collision,0.4477987421383648,0.6091872689757146
6,tier3_va11y,3,collision,0.7358490566037736,0.9751905163669924
7,tier0_cross,0,collision,0.0,0.0
7,tier1_vatex_short,1,collision,0.9273584905660377,0.9436024482479854
7,tier2_vatex_long,2,collision,0.8745283018867924,0.9760903437376488
7,tier3_va11y,3,collision,0.7292452830188679,1.0
8,tier0_cross,0,collision,0.01875000000000001,0.0
8,tier1_vatex_short,1,collision,0.6775,0.6141987627035477
8,tier2_vatex_long,2,collision,0.6025,0.6156105200532977
8,tier3_va11y,3,collision,0.65,1.0
9,tier0_cross,0,standard,0.0,0.0
9,tier1_vatex_short,1,standard,0.7692345039951234,0.7692345039951234
9,tier2_vatex_long,2,standard,0.7909506982103884,0.7909506982103884
9,tier3_va11y,3,standard,1.0,1.0
11,tier0_cross,0,collision,0.1471014492753623,0.0
11,tier1_vatex_short,1,collision,0.8409420289855073,0.5673505839191028
11,tier2_vatex_long,2,collision,0.5076086956521739,0.5705477086359197
11,tier3_va11y,3,collision,0.65,1.0
12,tier0_cross,0,standard,0.0,0.0
12,tier1_vatex_short,1,standard,0.8421052631578947,0.8421052631578947
12,tier2_vatex_long,2,standard,0.7113009523971618,0.7113009523971618
12,tier3_va11y,3,standard,0.9879375484872028,0.9879375484872028
13,tier0_cross,0,standard,0.0,0.0
13,tier1_vatex_short,1,standard,0.65345796902722,0.65345796902722
13,tier2_vatex_long,2,standard,0.8846153846153846,0.8846153846153846
13,tier3_va11y,3,standard,0.95534215272462,0.95534215272462
14,tier0_cross,0,collision,0.045652173913043485,0.0
14,tier1_vatex_short,1,collision,0.5684782608695652,0.775
14,tier2_vatex_long,2,collision,0.361231884057971,0.6079928133705172
14,tier3_va11y,3,collision,0.65,0.9566432421084916
15,tier0_cross,0,collision,0.08584905660377357,0.0
15,tier1_vatex_short,1,collision,0.6023584905660376,0.6511932463796294
15,tier2_vatex_long,2,collision,0.5297169811320753,0.6511159841057259
15,tier3_va11y,3,collision,0.65,1.0
16,tier0_cross,0,collision,0.024418604651162794,0.0
16,tier1_vatex_short,1,collision,0.6937984496124031,0.7425682968307605
16,tier2_vatex_long,2,collision,0.737015503875969,0.7716043444993863
16,tier3_va11y,3,collision,0.65,1.0
17,tier0_cross,0,standard,0.0,0.0
17,tier1_vatex_short,1,standard,0.523374588707231,0.523374588707231
17,tier2_vatex_long,2,standard,0.6936621526316076,0.6936621526316076
17,tier3_va11y,3,standard,1.0,1.0
18,tier0_cross,0,standard,0.0,0.0
18,tier1_vatex_short,1,standard,0.6480985082925119,0.6480985082925119
18,tier2_vatex_long,2,standard,0.7727308054472202,0.7727308054472202
18,tier3_va11y,3,standard,1.0,1.0
19,tier0_cross,0,standard,0.0,0.0
19,tier1_vatex_short,1,standard,0.8099552116408447,0.8099552116408447
19,tier2_vatex_long,2,standard,0.5451756628236888,0.5451756628236888
19,tier3_va11y,3,standard,1.0,1.0
