video_id,category,target,pro_margin,score_col,mean_need,max_need,mean_speech_density,mean_standard_slot_score,slot_frac,need_z,speech_z,slot_z,social_scene,proxy_collision,social_collision_boundary,social_need_boundary,social_only,slotable_inverse,surface,secondary_surface,reason,risk,compute_tier,person_terms,emotion_terms,spatial_terms,aesthetic_terms,action_terms,audio_overlap_proxy
Bss3WwpDdS8_000041_000051,People & Vlogs,1,-0.0058573484420775,clip_top3,0.6833477812373022,1.0,1.0,0.0,0.0,0.8936501347899949,1.0,0.0,1.0,0.8936501347899949,1.8936501347899948,1.8936501347899948,1.0,1.0,identity_chip,emotive_style,social_collision_with_many_people_terms_needs_identity_or_relation_memory,high,human,8,1,3,4,1,0.1633
heWD9j45Emw_000225_000235,Music,1,-0.0077040195465087,clip_top3,0.6556542231501218,1.0,1.0,0.0,0.0,0.8301969952637808,1.0,0.0,1.0,0.8301969952637808,1.8301969952637809,1.8301969952637809,1.0,1.0,defer_replay,detail_chip,high_visual_need_but_no_audio_slot_for_linear_ad,high,cloud,1,0,2,3,1,0.2195
750QhTe9Z4U_000000_000010,People & Vlogs,1,-0.0099959671497344,clip_top3,0.5960793237840161,1.0,1.0,0.0,0.0,0.6936954164548245,1.0,0.0,1.0,0.6936954164548245,1.6936954164548244,1.6936954164548244,1.0,1.0,identity_chip,emotive_style,social_collision_with_many_people_terms_needs_identity_or_relation_memory,high,human,5,1,2,1,1,0.0857
Z5w-wkrjHuw_000345_000355,Entertainment,1,-0.0116714239120483,clip_top3,0.554813512615265,1.0,1.0,0.0,0.0,0.5991447174976808,1.0,0.0,1.0,0.5991447174976808,1.5991447174976807,1.5991447174976807,1.0,1.0,creator_qc,detail_chip,weak_grounding_margin_under_collision_requires_creator_verification,high,human,2,0,3,2,0,0.1081
BcW6Y7eufQE_000239_000249,People & Vlogs,0,0.0053174495697022,clip_top3,0.5515542051259721,1.0,1.0,0.0,0.0,0.5916767968994724,1.0,0.0,1.0,0.5916767968994724,1.5916767968994725,1.5916767968994725,1.0,1.0,identity_chip,emotive_style,social_collision_with_many_people_terms_needs_identity_or_relation_memory,high,human,6,2,2,3,0,0.0263
_oAKCHh_Av4_000003_000013,People & Vlogs,1,-0.0093735456466674,clip_top3,0.6143352066466286,1.0,0.7975383620689656,0.123465428144443,0.25,0.7355243890559219,0.7975383620689656,0.1586247271339975,1.0,0.5866089165094365,1.5866089165094364,1.735524389055922,1.0,0.8413752728660024,identity_chip,emotive_style,social_collision_with_many_people_terms_needs_identity_or_relation_memory,high,human,5,3,3,2,0,0.0968
ShSSAEfnyDs_000000_000010,Entertainment,1,-0.0016181170940399,clip_top3,0.5441727828672491,1.0,1.0,0.0,0.0,0.5747640399684132,1.0,0.0,1.0,0.5747640399684132,1.574764039968413,1.574764039968413,1.0,1.0,identity_chip,detail_chip,social_collision_with_many_people_terms_needs_identity_or_relation_memory,high,human,6,0,0,0,0,0.0938
21T1JDdJgsM_000047_000057,Entertainment,1,-0.0218336582183838,clip_top3,0.5247901141021423,1.0,1.0,0.0,0.0,0.5303533079970656,1.0,0.0,1.0,0.5303533079970656,1.5303533079970657,1.5303533079970657,1.0,1.0,identity_chip,detail_chip,social_collision_with_many_people_terms_needs_identity_or_relation_memory,low,cloud,3,0,1,3,1,0.1471
1YemrpNBpf4_000001_000011,Entertainment,1,-0.0584123134613037,clip_top3,0.6072253087143515,1.0,0.5609116000000001,0.3700661146394458,0.5,0.7192337649297734,0.5609116000000001,0.4754499890248249,1.0,0.4034265618607831,1.403426561860783,1.719233764929773,1.0,0.5245500109751751,identity_chip,detail_chip,social_collision_with_many_people_terms_needs_identity_or_relation_memory,low,cloud,6,0,1,0,0,0.1923
zTJ0Zbv1jBo_000045_000055,Health & Wellness,0,0.0357650518417357,clip_top3,0.5327646373027168,1.0,0.704495004995005,0.1316996180129492,0.125,0.5486250133412526,0.704495004995005,0.169203770520404,1.0,0.3865035815142303,1.3865035815142304,1.5486250133412525,1.0,0.8307962294795959,identity_chip,detail_chip,social_collision_with_many_people_terms_needs_identity_or_relation_memory,low,cloud,7,0,2,1,3,0.2
