clip_idx,tier,gt,at_consistency,vt_consistency,av_consistency
12,tier0_cross,0,0.7,0.156,0.374
12,tier1_vatex_short,1,0.7,0.156,0.374
12,tier2_vatex_long,2,0.7,0.469,0.561
12,tier3_va11y,3,0.7,0.625,0.655
15,tier0_cross,0,0.7,0.132,0.359
15,tier1_vatex_short,1,0.7,0.132,0.359
15,tier2_vatex_long,2,0.7,0.263,0.438
15,tier3_va11y,3,0.7,0.263,0.438
11,tier0_cross,0,0.7,0.0,0.28
11,tier1_vatex_short,1,0.7,0.25,0.43
11,tier2_vatex_long,2,0.7,0.75,0.73
11,tier3_va11y,3,0.7,1.0,0.88
4,tier0_cross,0,0.7,0.0,0.28
4,tier1_vatex_short,1,0.7,0.577,0.626
4,tier2_vatex_long,2,0.7,0.385,0.511
4,tier3_va11y,3,0.7,1.0,0.88
3,tier0_cross,0,1.0,0.0,0.4
3,tier1_vatex_short,1,1.0,0.278,0.567
3,tier2_vatex_long,2,1.0,1.0,1.0
3,tier3_va11y,3,1.0,0.833,0.9
19,tier0_cross,0,0.7,0.0,0.28
19,tier1_vatex_short,1,0.7,0.333,0.48
19,tier2_vatex_long,2,0.7,0.0,0.28
19,tier3_va11y,3,0.7,0.833,0.78
14,tier0_cross,0,1.0,0.139,0.483
14,tier1_vatex_short,1,1.0,0.417,0.65
14,tier2_vatex_long,2,1.0,0.417,0.65
14,tier3_va11y,3,1.0,0.833,0.9
17,tier0_cross,0,0.85,0.333,0.54
17,tier1_vatex_short,1,1.0,0.333,0.6
17,tier2_vatex_long,2,1.0,0.0,0.4
17,tier3_va11y,3,1.0,1.0,1.0
5,tier0_cross,0,1.0,0.0,0.4
5,tier1_vatex_short,1,1.0,0.417,0.65
5,tier2_vatex_long,2,1.0,1.0,1.0
5,tier3_va11y,3,1.0,1.0,1.0
8,tier0_cross,0,1.0,0.0,0.4
8,tier1_vatex_short,1,1.0,0.5,0.7
8,tier2_vatex_long,2,1.0,1.0,1.0
8,tier3_va11y,3,1.0,1.0,1.0
1,tier0_cross,0,1.0,0.0,0.4
1,tier1_vatex_short,1,1.0,0.0,0.4
1,tier2_vatex_long,2,1.0,0.714,0.829
1,tier3_va11y,3,1.0,1.0,1.0
6,tier0_cross,0,1.0,0.0,0.4
6,tier1_vatex_short,1,1.0,0.192,0.515
6,tier2_vatex_long,2,0.85,0.385,0.571
6,tier3_va11y,3,0.85,0.769,0.802
13,tier0_cross,0,1.0,0.0,0.4
13,tier1_vatex_short,1,1.0,0.682,0.809
13,tier2_vatex_long,2,1.0,1.0,1.0
13,tier3_va11y,3,1.0,1.0,1.0
7,tier0_cross,0,1.0,0.0,0.4
7,tier1_vatex_short,1,1.0,0.312,0.588
7,tier2_vatex_long,2,1.0,0.312,0.588
7,tier3_va11y,3,1.0,0.312,0.588
9,tier0_cross,0,1.0,0.167,0.5
9,tier1_vatex_short,1,1.0,0.5,0.7
9,tier2_vatex_long,2,1.0,0.333,0.6
9,tier3_va11y,3,1.0,0.5,0.7
0,tier0_cross,0,1.0,0.0,0.4
0,tier1_vatex_short,1,1.0,0.357,0.614
0,tier2_vatex_long,2,1.0,0.179,0.507
0,tier3_va11y,3,1.0,0.357,0.614
18,tier0_cross,0,0.85,0.0,0.34
18,tier1_vatex_short,1,1.0,0.192,0.515
18,tier2_vatex_long,2,1.0,0.577,0.746
18,tier3_va11y,3,1.0,0.769,0.862
16,tier0_cross,0,0.85,0.0,0.34
16,tier1_vatex_short,1,1.0,0.192,0.515
16,tier2_vatex_long,2,1.0,0.385,0.631
16,tier3_va11y,3,1.0,0.769,0.862
