clip_idx,tier,gt,query_coverage,n_questions
12,tier0_cross,0,0.05,5
12,tier1_vatex_short,1,0.1,5
12,tier2_vatex_long,2,0.36666666666666664,5
12,tier3_va11y,3,0.65,5
15,tier0_cross,0,0.19047619047619047,5
15,tier1_vatex_short,1,0.09523809523809523,5
15,tier2_vatex_long,2,0.35238095238095235,5
15,tier3_va11y,3,0.35238095238095235,5
11,tier0_cross,0,0.11857142857142858,5
11,tier1_vatex_short,1,0.18714285714285714,5
11,tier2_vatex_long,2,0.3628571428571429,5
11,tier3_va11y,3,0.5842857142857143,5
4,tier0_cross,0,0.11666666666666665,5
4,tier1_vatex_short,1,0.1,5
4,tier2_vatex_long,2,0.2,5
4,tier3_va11y,3,0.7166666666666667,5
3,tier0_cross,0,0.12000000000000002,5
3,tier1_vatex_short,1,0.27999999999999997,5
3,tier2_vatex_long,2,0.49333333333333335,5
3,tier3_va11y,3,0.72,5
19,tier0_cross,0,0.12333333333333334,5
19,tier1_vatex_short,1,0.18,5
19,tier2_vatex_long,2,0.15666666666666668,5
19,tier3_va11y,3,0.47000000000000003,5
14,tier0_cross,0,0.1,5
14,tier1_vatex_short,1,0.3833333333333333,5
14,tier2_vatex_long,2,0.3333333333333333,5
14,tier3_va11y,3,0.6833333333333333,5
17,tier0_cross,0,0.20666666666666664,5
17,tier1_vatex_short,1,0.2333333333333333,5
17,tier2_vatex_long,2,0.04,5
17,tier3_va11y,3,0.5533333333333333,5
5,tier0_cross,0,0.04,5
5,tier1_vatex_short,1,0.18,5
5,tier2_vatex_long,2,0.4666666666666667,5
5,tier3_va11y,3,0.55,5
8,tier0_cross,0,0.18333333333333332,5
8,tier1_vatex_short,1,0.23666666666666666,5
8,tier2_vatex_long,2,0.5533333333333333,5
8,tier3_va11y,3,0.6866666666666668,5
1,tier0_cross,0,0.0,5
1,tier1_vatex_short,1,0.0,5
1,tier2_vatex_long,2,0.6666666666666666,5
1,tier3_va11y,3,0.8666666666666666,5
6,tier0_cross,0,0.09,5
6,tier1_vatex_short,1,0.09,5
6,tier2_vatex_long,2,0.1,5
6,tier3_va11y,3,0.42000000000000004,5
13,tier0_cross,0,0.13,5
13,tier1_vatex_short,1,0.29,5
13,tier2_vatex_long,2,0.51,5
13,tier3_va11y,3,0.61,5
7,tier0_cross,0,0.1,5
7,tier1_vatex_short,1,0.1,5
7,tier2_vatex_long,2,0.1,5
7,tier3_va11y,3,0.16666666666666666,5
9,tier0_cross,0,0.16666666666666666,5
9,tier1_vatex_short,1,0.16666666666666666,5
9,tier2_vatex_long,2,0.16666666666666666,5
9,tier3_va11y,3,0.36666666666666664,5
0,tier0_cross,0,0.2833333333333333,5
0,tier1_vatex_short,1,0.11666666666666665,5
0,tier2_vatex_long,2,0.06666666666666667,5
0,tier3_va11y,3,0.36666666666666664,5
18,tier0_cross,0,0.0,5
18,tier1_vatex_short,1,0.06666666666666667,5
18,tier2_vatex_long,2,0.2,5
18,tier3_va11y,3,0.4666666666666666,5
16,tier0_cross,0,0.05,5
16,tier1_vatex_short,1,0.3,5
16,tier2_vatex_long,2,0.45,5
16,tier3_va11y,3,0.6,5
