video_id,category,specificity_density,cross_caption_overlap,clip_gain_per_word,pro_beats_short,full_order_fail,tier3_beats_tier1_clip
3ufJNSez5Is_000008_000018,How-to & Instructional,0.5573770491803278,0.1,-0.00045533890419817983,0,1,0
_oAKCHh_Av4_000003_000013,People & Vlogs,0.5,0.2,-0.00028404683777780246,0,1,0
BHxn3qfPAl4_000018_000028,Health & Wellness,0.5405405405405406,0.0,-0.0015527612219254177,0,1,0
BcW6Y7eufQE_000239_000249,People & Vlogs,0.5961538461538461,0.2727272727272727,0.0014230539885962882,1,0,1
EA3HCx0yTIY_000281_000291,Music,0.5405405405405406,0.14285714285714285,0.0021360711409495426,1,0,1
j6CgiNeWQwM_000842_000852,Food & Cooking,0.5087719298245614,0.0,0.0003905296325683594,1,0,1
9fuIpQgnNEQ_000049_000059,Event,0.5576923076923077,0.08333333333333333,0.0018908006529654226,1,0,1
u-olDM7oGGM_000012_000022,Health & Wellness,0.5185185185185185,0.2,0.0010738785450275128,1,1,1
eb-ufaFcUas_000008_000018,Entertainment,0.5737704918032787,0.14285714285714285,0.0013752090079443796,1,1,1
heWD9j45Emw_000225_000235,Music,0.5862068965517241,0.0,-0.00016747868579366931,0,1,0
2kJxrcNRS9w_000047_000057,Sports,0.6,0.2727272727272727,0.00046249151229858397,1,1,1
OASCPKazLIM_000132_000142,How-to & Instructional,0.4528301886792453,0.0,0.0008523364861806234,1,0,1
j4CKRgv3jUg_000000_000010,Entertainment,0.5957446808510638,0.14285714285714285,-4.586118918198806e-06,0,1,0
N-LZPc27kjM_000229_000239,How-to & Instructional,0.6229508196721312,0.0,0.0010486797740062077,1,1,1
RlfVK8z5wJ0_000000_000010,Sports,0.56,0.0,0.00022156919751848493,1,0,1
_TKzyWZHjm8_000002_000012,Health & Wellness,0.5,0.1,0.0004231540056375357,1,1,1
F-mRnL_XmJU_000000_000010,Entertainment,0.4375,0.0,0.00020074347654978433,1,1,1
g8Idd47kGqo_000037_000047,Entertainment,0.6111111111111112,0.1,7.54921209244501e-06,1,1,1
ShSSAEfnyDs_000000_000010,Entertainment,0.574468085106383,0.0,0.0035333369047411026,1,1,1
d7_SY48r__8_000060_000070,How-to & Instructional,0.43902439024390244,0.1111111111111111,-0.0005366748997143336,0,1,0
xW6hpK-DBMY_000080_000090,How-to & Instructional,0.44642857142857145,0.09090909090909091,0.0015420694100229365,1,0,1
iEAWgsSvJAE_000023_000033,Film & Animation,0.5,0.08333333333333333,0.0009681301457541329,1,1,1
3su234u58DA_000172_000182,Entertainment,0.5875,0.0,0.00032871472301767836,1,1,1
v2Hr1CH-yb0_000076_000086,How-to & Instructional,0.5645161290322581,0.0,0.0009653775588325832,1,0,1
S-C86j0keqc_000217_000227,Event,0.6086956521739131,0.1,0.003908780217170715,1,0,1
wbOD_G3ttgU_000083_000093,How-to & Instructional,0.5925925925925926,0.2,0.00033507696012171305,1,1,1
RjPp0ZPW0yc_000000_000010,How-to & Instructional,0.5555555555555556,0.0,0.0017474854693693273,1,0,1
8vkNr_eysXY_000002_000012,How-to & Instructional,0.5471698113207547,0.0,-0.00021927271570478166,0,1,0
GOH6fBhoi2o_000010_000020,Entertainment,0.6153846153846154,0.1,-0.002070033834094093,0,1,0
bgt29znHCzs_000343_000353,Sports,0.48717948717948717,0.0,-0.00047833208114870135,0,1,0
0m0-Q0zz_-c_000112_000122,How-to & Instructional,0.49122807017543857,0.0,-0.0001702859349872755,0,1,0
Ccgwurislg8_000082_000092,How-to & Instructional,0.5306122448979592,0.0,-0.0003545354855687995,0,1,0
1YemrpNBpf4_000001_000011,Entertainment,0.4489795918367347,0.08333333333333333,-0.0017700701048879912,0,1,0
D297atE3gag_000203_000213,How-to & Instructional,0.5942028985507246,0.2222222222222222,0.00043664817456845885,1,1,1
Z5w-wkrjHuw_000345_000355,Entertainment,0.62,0.2,-0.0003647319972515106,0,1,0
ZcYB6tPK2Eo_000138_000148,How-to & Instructional,0.5849056603773585,0.2222222222222222,2.677624042217548e-06,1,1,1
0t0DB1B1w8Y_000000_000010,Sports,0.6037735849056604,0.0,0.0009388199874332973,1,1,1
1-jIze6gy0g_000026_000036,How-to & Instructional,0.6290322580645161,0.0,0.0006584002106797462,1,1,1
AEkLDauJVi0_000069_000079,Food & Cooking,0.5517241379310345,0.0,0.00022354722023010254,1,1,1
gFBO3zrod9Y_000005_000015,People & Vlogs,0.5384615384615384,0.125,-0.0013678960502147674,0,1,0
1kLhK8KfIEw_000020_000030,How-to & Instructional,0.5294117647058824,0.125,0.003981925547122955,1,0,1
21T1JDdJgsM_000047_000057,Entertainment,0.5,0.18181818181818182,-0.0006823018193244934,0,1,0
750QhTe9Z4U_000000_000010,People & Vlogs,0.559322033898305,0.2222222222222222,0.0001632465256585015,1,1,1
lgJywzzdUC8_000000_000010,Event,0.6226415094339622,0.0,-0.00032647235973461256,0,1,0
A0e7Z55s8pE_000008_000018,How-to & Instructional,0.4523809523809524,0.15384615384615385,8.396804332733154e-05,1,1,1
Xdz1cxEjLYc_000007_000017,Food & Cooking,0.532258064516129,0.07692307692307693,0.0006218254566192627,1,0,1
HpRmj5ce32c_000001_000011,Sports,0.43333333333333335,0.18181818181818182,0.00035956501960754395,1,0,1
dlBeUWrse3I_000019_000029,How-to & Instructional,0.6825396825396826,0.0,0.0004415585184996983,1,0,1
yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",0.5555555555555556,0.0,-0.0006873362204607795,0,1,0
c_gQ9CSaZY4_000000_000010,How-to & Instructional,0.5192307692307693,0.125,0.0003053188323974609,1,1,1
1HUWWCLza0w_000000_000010,Sports,0.53125,0.08333333333333333,-8.09102642292879e-05,0,1,0
Bss3WwpDdS8_000041_000051,People & Vlogs,0.5119047619047619,0.14285714285714285,0.00035830717238168866,1,1,1
rGQ64NXktF8_000006_000016,People & Vlogs,0.5217391304347826,0.36363636363636365,0.002821396291255951,1,0,1
jeweRSnAJeo_000050_000060,Film & Animation,0.575,0.14285714285714285,0.0002721081177393595,1,1,1
crjesEwF0Ks_000197_000207,How-to & Instructional,0.5,0.0,0.0029245171791467913,1,0,1
iZP6gjlr_nM_000113_000123,How-to & Instructional,0.53125,0.09090909090909091,-0.0006871689110994339,0,1,0
9eBhetL8n5Q_000222_000232,People & Vlogs,0.49333333333333335,0.3,0.0004279216130574544,1,1,1
zTJ0Zbv1jBo_000045_000055,Health & Wellness,0.5434782608695652,0.0,0.0012773232800619943,1,1,1
