video_id,category,pro_words,pro_scene_axes,avg_caption_scene_axes,max_caption_scene_axes,pro_minus_avg_caption_axes,pro_minus_max_caption_axes,pro_scene_density_per_100w,avg_caption_scene_density_per_100w,max_caption_scene_density_per_100w,pro_minus_avg_caption_density,pro_has_who_role,caption_any_has_who_role,caption_avg_has_who_role,pro_has_action_relation,caption_any_has_action_relation,caption_avg_has_action_relation,pro_has_spatial_relation,caption_any_has_spatial_relation,caption_avg_has_spatial_relation,pro_has_count,caption_any_has_count,caption_avg_has_count
FtBS6OZSGMI_000028_000038,Food & Cooking,27,3,2.6,3,0.3999999999999999,0,14.814814814814815,22.80535832453991,30.76923076923077,-7.990543509725095,1,1,0.8,1,1,0.9,1,1,0.9,0,0,0
3ufJNSez5Is_000008_000018,How-to & Instructional,62,3,1.6,3,1.4,0,9.67741935483871,15.993557422969188,29.41176470588235,-6.316138068130478,1,1,1,1,1,0.5,1,0,0,0,1,0.1
0HEi6q3bGaw_000011_000021,Travel,40,4,2.5,4,1.5,0,25.0,21.049744373273786,50.0,3.9502556267262143,1,1,0.7,1,1,0.6,1,1,0.5,1,1,0.7
9fuIpQgnNEQ_000049_000059,Event,52,4,2.8,4,1.2000000000000002,0,15.384615384615385,29.33637386578563,53.84615384615385,-13.951758481170247,1,1,0.9,1,1,0.6,1,1,0.6,1,1,0.7
2kJxrcNRS9w_000047_000057,Sports,40,3,1.9,3,1.1,0,7.5,16.1020646020646,25.0,-8.602064602064601,1,1,0.8,1,1,0.4,1,1,0.7,0,0,0
BHxn3qfPAl4_000018_000028,Health & Wellness,37,3,1.5,4,1.5,-1,8.108108108108109,10.25861386037722,21.73913043478261,-2.150505752269112,1,1,0.8,1,1,0.2,1,1,0.4,0,1,0.1
u-olDM7oGGM_000012_000022,Health & Wellness,54,4,2.7,4,1.2999999999999998,0,20.37037037037037,25.834132440001333,53.333333333333336,-5.463762069630963,1,1,1,1,1,0.8,1,1,0.7,1,1,0.2
BcW6Y7eufQE_000239_000249,People & Vlogs,53,2,2.1,3,-0.10000000000000009,-1,9.433962264150944,20.05209496385967,50.0,-10.618132699708726,1,1,0.8,0,1,0.2,1,1,0.4,0,1,0.7
d7_SY48r__8_000060_000070,How-to & Instructional,42,3,1.3,3,1.7,0,9.523809523809524,9.341783216783217,18.75,0.18202630702630707,1,1,0.5,1,1,0.6,1,1,0.1,0,1,0.1
EA3HCx0yTIY_000281_000291,Music,37,2,2.2,4,-0.20000000000000018,-2,8.108108108108109,18.51544533897475,33.333333333333336,-10.407337230866641,1,1,0.9,1,1,0.8,0,1,0.1,0,1,0.4
y-_wJeVR3QQ_000035_000045,People & Vlogs,67,4,2,3,2,1,11.940298507462687,16.833971968714195,33.333333333333336,-4.893673461251508,1,1,0.9,1,1,0.4,1,1,0.3,1,1,0.4
abaLFY_GI8k_000295_000305,Sports,64,4,2.5,4,1.5,0,14.0625,24.52534965034965,43.75,-10.46284965034965,1,1,0.4,1,1,1,1,1,0.5,1,1,0.6
j6CgiNeWQwM_000842_000852,Food & Cooking,57,4,2.4,4,1.6,0,12.280701754385966,20.13065104829811,36.36363636363637,-7.849949293912143,1,1,0.9,1,1,0.6,1,1,0.6,1,1,0.3
eb-ufaFcUas_000008_000018,Entertainment,61,3,1.7,3,1.3,0,8.19672131147541,13.970703273334852,21.05263157894737,-5.773981961859443,1,1,0.8,1,1,0.6,1,1,0.1,0,1,0.2
