video_id,kind,text_idx,word_count,scene_axis_count,scene_term_density_per_100w,has_who_role,has_action_relation,has_spatial_relation,has_count,n_who_role,n_action_relation,n_spatial_relation,n_count
FtBS6OZSGMI_000028_000038,professional_ad,0,27,3,14.814814814814815,1,1,1,0,1,2,1,0
FtBS6OZSGMI_000028_000038,vatex_caption,0,11,3,27.272727272727273,1,1,1,0,1,1,1,0
FtBS6OZSGMI_000028_000038,vatex_caption,1,13,3,30.76923076923077,1,1,1,0,1,2,1,0
FtBS6OZSGMI_000028_000038,vatex_caption,2,23,3,17.391304347826086,1,1,1,0,1,2,1,0
FtBS6OZSGMI_000028_000038,vatex_caption,3,11,3,27.272727272727273,1,1,1,0,1,1,1,0
FtBS6OZSGMI_000028_000038,vatex_caption,4,11,3,27.272727272727273,1,1,1,0,1,1,1,0
FtBS6OZSGMI_000028_000038,vatex_caption,5,17,2,23.529411764705884,0,1,1,0,0,3,1,0
FtBS6OZSGMI_000028_000038,vatex_caption,6,11,3,27.272727272727273,1,1,1,0,1,1,1,0
FtBS6OZSGMI_000028_000038,vatex_caption,7,11,3,27.272727272727273,1,1,1,0,1,1,1,0
FtBS6OZSGMI_000028_000038,vatex_caption,8,20,3,20.0,1,1,1,0,1,2,1,0
FtBS6OZSGMI_000028_000038,vatex_caption,9,14,0,0.0,0,0,0,0,0,0,0,0
3ufJNSez5Is_000008_000018,professional_ad,0,62,3,9.67741935483871,1,1,1,0,2,3,1,0
3ufJNSez5Is_000008_000018,vatex_caption,0,14,1,14.285714285714286,1,0,0,0,2,0,0,0
3ufJNSez5Is_000008_000018,vatex_caption,1,17,3,29.41176470588235,1,1,0,1,3,1,0,1
3ufJNSez5Is_000008_000018,vatex_caption,2,12,2,16.666666666666668,1,1,0,0,1,1,0,0
3ufJNSez5Is_000008_000018,vatex_caption,3,14,1,7.142857142857143,1,0,0,0,1,0,0,0
3ufJNSez5Is_000008_000018,vatex_caption,4,12,1,16.666666666666668,1,0,0,0,2,0,0,0
3ufJNSez5Is_000008_000018,vatex_caption,5,15,2,20.0,1,1,0,0,2,1,0,0
3ufJNSez5Is_000008_000018,vatex_caption,6,20,1,10.0,1,0,0,0,2,0,0,0
3ufJNSez5Is_000008_000018,vatex_caption,7,25,2,16.0,1,1,0,0,2,2,0,0
3ufJNSez5Is_000008_000018,vatex_caption,8,14,2,21.428571428571427,1,1,0,0,1,2,0,0
3ufJNSez5Is_000008_000018,vatex_caption,9,12,1,8.333333333333334,1,0,0,0,1,0,0,0
0HEi6q3bGaw_000011_000021,professional_ad,0,40,4,25.0,1,1,1,1,2,3,2,3
0HEi6q3bGaw_000011_000021,vatex_caption,0,17,4,23.529411764705884,1,1,1,1,1,1,1,1
0HEi6q3bGaw_000011_000021,vatex_caption,1,11,4,36.36363636363637,1,1,1,1,1,1,1,1
0HEi6q3bGaw_000011_000021,vatex_caption,2,18,2,16.666666666666668,1,0,0,1,2,0,0,1
0HEi6q3bGaw_000011_000021,vatex_caption,3,13,0,0.0,0,0,0,0,0,0,0,0
0HEi6q3bGaw_000011_000021,vatex_caption,4,12,3,25.0,0,1,1,1,0,1,1,1
0HEi6q3bGaw_000011_000021,vatex_caption,5,10,4,50.0,1,1,1,1,2,1,1,1
0HEi6q3bGaw_000011_000021,vatex_caption,6,13,2,15.384615384615385,1,0,0,1,1,0,0,1
0HEi6q3bGaw_000011_000021,vatex_caption,7,14,1,7.142857142857143,0,1,0,0,0,1,0,0
0HEi6q3bGaw_000011_000021,vatex_caption,8,15,2,13.333333333333334,1,0,1,0,1,0,1,0
0HEi6q3bGaw_000011_000021,vatex_caption,9,13,3,23.076923076923077,1,1,0,1,1,1,0,1
