video_id,tier,gt,adqa_score,clip_top3,n_q
3ufJNSez5Is_000008_000018,tier0_cross,0,0.0,0.04605633020401001,10
3ufJNSez5Is_000008_000018,tierA_ad_1sent,1,0.5,0.3170842230319977,10
3ufJNSez5Is_000008_000018,tierB_ad_half,2,0.5,0.2978225350379944,10
3ufJNSez5Is_000008_000018,tier3_va11y,3,0.65,0.32586464285850525,10
_oAKCHh_Av4_000003_000013,tier0_cross,0,0.0,0.06786055117845535,10
_oAKCHh_Av4_000003_000013,tierA_ad_1sent,1,0.2,0.28189215064048767,10
_oAKCHh_Av4_000003_000013,tierB_ad_half,2,0.4,0.32051530480384827,10
_oAKCHh_Av4_000003_000013,tier3_va11y,3,0.4,0.308248370885849,10
BcW6Y7eufQE_000239_000249,tier0_cross,0,0.0,0.04362127184867859,9
BcW6Y7eufQE_000239_000249,tierA_ad_1sent,1,0.2222222222222222,0.27873557806015015,9
BcW6Y7eufQE_000239_000249,tierB_ad_half,2,0.2222222222222222,0.2893829941749573,9
BcW6Y7eufQE_000239_000249,tier3_va11y,3,0.3333333333333333,0.2819806933403015,9
EA3HCx0yTIY_000281_000291,tier0_cross,0,0.0,0.04130551218986511,10
EA3HCx0yTIY_000281_000291,tierA_ad_1sent,1,0.5,0.36573752760887146,10
EA3HCx0yTIY_000281_000291,tierB_ad_half,2,0.55,0.3697226941585541,10
EA3HCx0yTIY_000281_000291,tier3_va11y,3,0.55,0.3620990812778473,10
j6CgiNeWQwM_000842_000852,tier0_cross,0,0.0,0.029547490179538727,10
j6CgiNeWQwM_000842_000852,tierA_ad_1sent,1,0.25,0.2675204575061798,10
j6CgiNeWQwM_000842_000852,tierB_ad_half,2,0.4,0.28833308815956116,10
j6CgiNeWQwM_000842_000852,tier3_va11y,3,0.4,0.3035511076450348,10
9fuIpQgnNEQ_000049_000059,tier0_cross,0,0.0,-0.02099834382534027,10
9fuIpQgnNEQ_000049_000059,tierA_ad_1sent,1,0.2,0.27905669808387756,10
9fuIpQgnNEQ_000049_000059,tierB_ad_half,2,0.2,0.3060927093029022,10
9fuIpQgnNEQ_000049_000059,tier3_va11y,3,0.3,0.3004569709300995,10
u-olDM7oGGM_000012_000022,tier0_cross,0,0.0,0.02482336014509201,10
u-olDM7oGGM_000012_000022,tierA_ad_1sent,1,0.4,0.2920233905315399,10
u-olDM7oGGM_000012_000022,tierB_ad_half,2,0.55,0.2908947169780731,10
u-olDM7oGGM_000012_000022,tier3_va11y,3,0.55,0.2955004870891571,10
eb-ufaFcUas_000008_000018,tier0_cross,0,0.0,0.051874738186597824,10
eb-ufaFcUas_000008_000018,tierA_ad_1sent,1,0.35,0.2900640368461609,10
eb-ufaFcUas_000008_000018,tierB_ad_half,2,0.35,0.28967446088790894,10
eb-ufaFcUas_000008_000018,tier3_va11y,3,0.45,0.3247540593147278,10
heWD9j45Emw_000225_000235,tier0_cross,0,0.0,0.040125250816345215,10
heWD9j45Emw_000225_000235,tierA_ad_1sent,1,0.3,0.2522980868816376,10
heWD9j45Emw_000225_000235,tierB_ad_half,2,0.5,0.30397701263427734,10
heWD9j45Emw_000225_000235,tier3_va11y,3,0.55,0.2960875332355499,10
2kJxrcNRS9w_000047_000057,tier0_cross,0,0.1,0.09313702583312988,10
2kJxrcNRS9w_000047_000057,tierA_ad_1sent,1,0.35,0.2590968906879425,10
2kJxrcNRS9w_000047_000057,tierB_ad_half,2,0.5,0.23706956207752228,10
2kJxrcNRS9w_000047_000057,tier3_va11y,3,0.55,0.2808333933353424,10
OASCPKazLIM_000132_000142,tier0_cross,0,0.0,0.11544308811426163,10
OASCPKazLIM_000132_000142,tierA_ad_1sent,1,0.4,0.31608879566192627,10
OASCPKazLIM_000132_000142,tierB_ad_half,2,0.5,0.34747040271759033,10
OASCPKazLIM_000132_000142,tier3_va11y,3,0.5,0.3419780731201172,10
j4CKRgv3jUg_000000_000010,tier0_cross,0,0.0,0.025668315589427948,10
j4CKRgv3jUg_000000_000010,tierA_ad_1sent,1,0.45,0.2952350974082947,10
j4CKRgv3jUg_000000_000010,tierB_ad_half,2,0.45,0.30308687686920166,10
j4CKRgv3jUg_000000_000010,tier3_va11y,3,0.45,0.3066578507423401,10
N-LZPc27kjM_000229_000239,tier0_cross,0,0.0,0.07260751724243164,9
N-LZPc27kjM_000229_000239,tierA_ad_1sent,1,0.2777777777777778,0.3661363124847412,9
N-LZPc27kjM_000229_000239,tierB_ad_half,2,0.7222222222222222,0.38813212513923645,9
N-LZPc27kjM_000229_000239,tier3_va11y,3,0.7222222222222222,0.3933054506778717,9
RlfVK8z5wJ0_000000_000010,tier0_cross,0,0.0,0.16411231458187103,10
RlfVK8z5wJ0_000000_000010,tierA_ad_1sent,1,0.5,0.3629818856716156,10
RlfVK8z5wJ0_000000_000010,tierB_ad_half,2,0.65,0.3791191577911377,10
RlfVK8z5wJ0_000000_000010,tier3_va11y,3,0.65,0.3771935701370239,10
_TKzyWZHjm8_000002_000012,tier0_cross,0,0.0,0.13402949273586273,10
_TKzyWZHjm8_000002_000012,tierA_ad_1sent,1,0.1,0.4092836380004883,10
_TKzyWZHjm8_000002_000012,tierB_ad_half,2,0.3,0.373584508895874,10
_TKzyWZHjm8_000002_000012,tier3_va11y,3,0.55,0.38166606426239014,10
F-mRnL_XmJU_000000_000010,tier0_cross,0,0.0,-0.00016684457659721375,10
F-mRnL_XmJU_000000_000010,tierA_ad_1sent,1,0.1,0.17597399652004242,10
F-mRnL_XmJU_000000_000010,tierB_ad_half,2,0.35,0.2806016504764557,10
F-mRnL_XmJU_000000_000010,tier3_va11y,3,0.35,0.2727786898612976,10
g8Idd47kGqo_000037_000047,tier0_cross,0,0.0,0.11473321914672852,10
g8Idd47kGqo_000037_000047,tierA_ad_1sent,1,0.5,0.3460862934589386,10
g8Idd47kGqo_000037_000047,tierB_ad_half,2,0.55,0.3362998068332672,10
g8Idd47kGqo_000037_000047,tier3_va11y,3,0.75,0.33613336086273193,10
ShSSAEfnyDs_000000_000010,tier0_cross,0,0.1,0.13497315347194672,10
ShSSAEfnyDs_000000_000010,tierA_ad_1sent,1,0.3,0.28556910157203674,10
