feature,roc_auc_fail,rho_vs_judge_order,p,n_params,needs_tribe_forward
mean_standard_slot_score,1.0,-0.5985056016645797,0.008688046126782763,1,True
cheap_need_minus_speech_z,1.0,-0.5457365069856303,0.019142162036750385,2,True
high_need_seconds_frac,0.78125,-0.3077735079965984,0.21406636986469377,1,True
tribe_pressure,0.75,-0.27258651025455277,0.27380095167874946,1,True
mean_need,0.75,-0.27258651025455277,0.27380095167874946,1,True
category_sports_heuristic,0.625,-0.17541160386140583,0.4862981668834772,1,False
pro_adqa,0.484375,0.017352930501853034,0.9455138227045128,1,False
pro_clip_top3,0.46875,0.034073313781819096,0.8932280086145878,1,False
pro_clip_mean,0.4375,0.06814662756363819,0.7881781018728292,1,False
mean_speech_density,0.0625,0.5236924014565073,0.025709606503689877,1,True
