clip_idx,pro_score,tier2_score,tier1_score,tier0_score,inversions,n_inversions
0,0.2,0.1,0.1,0.2,tier0_cross>tier1_vatex_short;tier0_cross>tier2_vatex_long,2
12,0.8,0.2,0.3,0.0,tier1_vatex_short>tier2_vatex_long,1
1,0.9,0.5,0.1,0.0,clean,0
18,0.5,0.3,0.1,0.1,clean,0
17,0.5,0.4,0.4,0.4,clean,0
16,0.3,0.2,0.0,0.0,clean,0
15,0.5,0.5,0.3,0.0,clean,0
14,1.0,0.6,0.6,0.0,clean,0
13,0.9,0.7,0.4,0.0,clean,0
11,0.8,0.6,0.3,0.0,clean,0
9,0.9,0.7,0.4,0.0,clean,0
8,0.8,0.4,0.1,0.0,clean,0
7,0.4,0.1,0.1,0.0,clean,0
6,0.4,0.2,0.1,0.0,clean,0
5,0.8,0.8,0.4,0.0,clean,0
4,0.8,0.4,0.4,0.0,clean,0
3,0.5,0.3,0.1,0.0,clean,0
19,0.7,0.6,0.2,0.0,clean,0
