clip_idx,pro_score,tier2_score,tier1_score,tier0_score,inversions,n_inversions
0,0.930242606707957,0.3202139057053449,0.5,0.5,tier0_cross>tier2_vatex_long;tier1_vatex_short>tier2_vatex_long,2
14,0.9566432421084916,0.7079928133705171,0.8,0.0,tier1_vatex_short>tier2_vatex_long,1
12,0.9879375484872028,0.5994588471340039,0.6875,0.0,tier1_vatex_short>tier2_vatex_long,1
1,1.0,0.6887435077771809,0.3937013509074886,0.0,clean,0
18,1.0,0.6477308054472202,0.366848508292512,0.0,clean,0
17,1.0,0.4124121526316075,0.2421245887072309,0.0,clean,0
16,1.0,0.7102008357274565,0.4267788231465499,0.0,clean,0
15,1.0,0.901115984105726,0.7011932463796293,0.0,clean,0
13,0.95534215272462,0.8888888888888888,0.6449109604802115,0.0,clean,0
11,1.0,0.7205477086359197,0.3798505839191027,0.0,clean,0
9,1.0,0.7952242024838927,0.606841341601961,0.0,clean,0
8,1.0,0.5714928729944742,0.3825811156447241,0.0,clean,0
7,1.0,0.6010903437376487,0.5686024482479854,0.0,clean,0
6,0.9751905163669924,0.7012925321336094,0.625,0.0,clean,0
5,1.0,0.9361692808391008,0.6490944648627628,0.0,clean,0
4,0.937898579265057,0.75,0.6800200759182906,0.0,clean,0
3,1.0,0.7744757206187298,0.5392802540566467,0.0,clean,0
19,1.0,0.9112470913951174,0.5778123544979876,0.0,clean,0
