w_clip,rho,tau,p
0.5,0.9284910256386235,0.835536561638488,7.840406438839231e-32
0.465,0.9281818731700563,0.8348916066241104,9.070161602826585e-32
0.742,0.915516623438691,0.8143231683870104,2.1479207926499265e-29
0.75,0.9143104091785609,0.8124533103654558,3.455298167192908e-29
0.754,0.9143104091785609,0.8124533103654558,3.455298167192908e-29
0.321,0.9125010877883659,0.8180628844301193,6.959123697659962e-29
0.25,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.2,0.9082793378779108,0.8152580973977877,3.366428432127846e-28
0.104,0.9046606950975207,0.8115183813546785,1.2250726384872834e-27
0.858,0.8859643740655052,0.7741212209235874,4.665275280425917e-25
0.0,0.8535892374882668,0.7880135575155107,1.6592027225893715e-21
0.967,0.8425406607008242,0.7217651963200598,1.7390402311193144e-20
1.0,0.8009975396804021,0.6923555413960913,2.9778666377136065e-17
