video_id,tier,category,adqa,mdv,n_q,n_visual_only
0m0-Q0zz_-c_000112_000122,tier0_cross,How-to & Instructional,0.0,0.0,5,4
0m0-Q0zz_-c_000112_000122,tier1_vatex_short,How-to & Instructional,0.2,0.125,5,4
0m0-Q0zz_-c_000112_000122,tier2_vatex_long,How-to & Instructional,0.2,0.125,5,4
0m0-Q0zz_-c_000112_000122,tier3_va11y,How-to & Instructional,0.5,0.5,5,4
0t0DB1B1w8Y_000000_000010,tier0_cross,Sports,0.0,0.0,5,5
0t0DB1B1w8Y_000000_000010,tier1_vatex_short,Sports,0.3,0.3,5,5
0t0DB1B1w8Y_000000_000010,tier2_vatex_long,Sports,0.2,0.2,5,5
0t0DB1B1w8Y_000000_000010,tier3_va11y,Sports,0.8,0.8,5,5
1-jIze6gy0g_000026_000036,tier0_cross,How-to & Instructional,0.0,0.0,5,5
1-jIze6gy0g_000026_000036,tier1_vatex_short,How-to & Instructional,0.1,0.1,5,5
1-jIze6gy0g_000026_000036,tier2_vatex_long,How-to & Instructional,0.1,0.1,5,5
1-jIze6gy0g_000026_000036,tier3_va11y,How-to & Instructional,0.1,0.1,5,5
1HUWWCLza0w_000000_000010,tier0_cross,Sports,0.0,0.0,5,5
1HUWWCLza0w_000000_000010,tier1_vatex_short,Sports,0.4,0.4,5,5
1HUWWCLza0w_000000_000010,tier2_vatex_long,Sports,0.4,0.4,5,5
1HUWWCLza0w_000000_000010,tier3_va11y,Sports,0.7,0.7,5,5
1YemrpNBpf4_000001_000011,tier0_cross,Entertainment,0.0,0.0,5,5
1YemrpNBpf4_000001_000011,tier1_vatex_short,Entertainment,0.0,0.0,5,5
1YemrpNBpf4_000001_000011,tier2_vatex_long,Entertainment,0.0,0.0,5,5
1YemrpNBpf4_000001_000011,tier3_va11y,Entertainment,0.1,0.1,5,5
1kLhK8KfIEw_000020_000030,tier0_cross,How-to & Instructional,0.0,0.0,5,5
1kLhK8KfIEw_000020_000030,tier1_vatex_short,How-to & Instructional,0.0,0.0,5,5
1kLhK8KfIEw_000020_000030,tier2_vatex_long,How-to & Instructional,0.1,0.1,5,5
1kLhK8KfIEw_000020_000030,tier3_va11y,How-to & Instructional,0.4,0.4,5,5
21T1JDdJgsM_000047_000057,tier0_cross,Entertainment,0.0,0.0,5,5
21T1JDdJgsM_000047_000057,tier1_vatex_short,Entertainment,0.4,0.4,5,5
21T1JDdJgsM_000047_000057,tier2_vatex_long,Entertainment,0.7,0.7,5,5
21T1JDdJgsM_000047_000057,tier3_va11y,Entertainment,0.7,0.7,5,5
2kJxrcNRS9w_000047_000057,tier0_cross,Sports,0.0,0.0,5,5
2kJxrcNRS9w_000047_000057,tier1_vatex_short,Sports,0.1,0.1,5,5
2kJxrcNRS9w_000047_000057,tier2_vatex_long,Sports,0.2,0.2,5,5
2kJxrcNRS9w_000047_000057,tier3_va11y,Sports,0.8,0.8,5,5
3su234u58DA_000172_000182,tier0_cross,Entertainment,0.1,0.0,5,4
3su234u58DA_000172_000182,tier1_vatex_short,Entertainment,0.4,0.375,5,4
3su234u58DA_000172_000182,tier2_vatex_long,Entertainment,0.4,0.25,5,4
3su234u58DA_000172_000182,tier3_va11y,Entertainment,0.9,0.875,5,4
3ufJNSez5Is_000008_000018,tier0_cross,How-to & Instructional,0.0,0.0,5,5
3ufJNSez5Is_000008_000018,tier1_vatex_short,How-to & Instructional,0.5,0.5,5,5
3ufJNSez5Is_000008_000018,tier2_vatex_long,How-to & Instructional,0.6,0.6,5,5
3ufJNSez5Is_000008_000018,tier3_va11y,How-to & Instructional,0.8,0.8,5,5
750QhTe9Z4U_000000_000010,tier0_cross,People & Vlogs,0.0,0.0,5,5
750QhTe9Z4U_000000_000010,tier1_vatex_short,People & Vlogs,0.3,0.3,5,5
750QhTe9Z4U_000000_000010,tier2_vatex_long,People & Vlogs,0.5,0.5,5,5
750QhTe9Z4U_000000_000010,tier3_va11y,People & Vlogs,1.0,1.0,5,5
8vkNr_eysXY_000002_000012,tier0_cross,How-to & Instructional,0.0,0.0,5,5
8vkNr_eysXY_000002_000012,tier1_vatex_short,How-to & Instructional,0.0,0.0,5,5
8vkNr_eysXY_000002_000012,tier2_vatex_long,How-to & Instructional,0.0,0.0,5,5
8vkNr_eysXY_000002_000012,tier3_va11y,How-to & Instructional,0.3,0.3,5,5
9eBhetL8n5Q_000222_000232,tier0_cross,People & Vlogs,0.0,0.0,5,3
9eBhetL8n5Q_000222_000232,tier1_vatex_short,People & Vlogs,0.4,0.16666666666666666,5,3
9eBhetL8n5Q_000222_000232,tier2_vatex_long,People & Vlogs,0.5,0.3333333333333333,5,3
9eBhetL8n5Q_000222_000232,tier3_va11y,People & Vlogs,0.7,0.5,5,3
9fuIpQgnNEQ_000049_000059,tier0_cross,Event,0.0,0.0,5,5
9fuIpQgnNEQ_000049_000059,tier1_vatex_short,Event,0.1,0.1,5,5
9fuIpQgnNEQ_000049_000059,tier2_vatex_long,Event,0.1,0.1,5,5
9fuIpQgnNEQ_000049_000059,tier3_va11y,Event,0.4,0.4,5,5
A0e7Z55s8pE_000008_000018,tier0_cross,How-to & Instructional,0.2,0.2,5,5
A0e7Z55s8pE_000008_000018,tier1_vatex_short,How-to & Instructional,0.7,0.7,5,5
A0e7Z55s8pE_000008_000018,tier2_vatex_long,How-to & Instructional,0.8,0.8,5,5
A0e7Z55s8pE_000008_000018,tier3_va11y,How-to & Instructional,1.0,1.0,5,5
AEkLDauJVi0_000069_000079,tier0_cross,Food & Cooking,0.0,0.0,5,4
AEkLDauJVi0_000069_000079,tier1_vatex_short,Food & Cooking,0.2,0.125,5,4
