clip_idx,tier,adqa_all,adqa_motion,adqa_static,gt
0,tier0_cross,0.0,,0.0,0
0,tier1_vatex_short,0.2,,0.2,1
0,tier2_vatex_long,0.1,,0.1,2
0,tier3_va11y,0.3,,0.3,3
1,tier0_cross,0.0,,0.0,0
1,tier1_vatex_short,0.1,,0.0,1
1,tier2_vatex_long,0.5,,0.5,2
1,tier3_va11y,0.9,,0.8333333333333334,3
3,tier0_cross,0.0,,0.0,0
3,tier1_vatex_short,0.5,,0.375,1
3,tier2_vatex_long,0.7,,0.625,2
3,tier3_va11y,0.7,,0.625,3
4,tier0_cross,0.0,,0.0,0
4,tier1_vatex_short,0.3,,0.375,1
4,tier2_vatex_long,0.3,,0.375,2
4,tier3_va11y,0.6,,0.75,3
5,tier0_cross,0.0,0.0,0.0,0
5,tier1_vatex_short,0.2,0.25,0.0,1
5,tier2_vatex_long,0.6,1.0,0.0,2
5,tier3_va11y,0.8,1.0,1.0,3
6,tier0_cross,0.0,,0.0,0
6,tier1_vatex_short,0.2,,0.0,1
6,tier2_vatex_long,0.2,,0.0,2
6,tier3_va11y,0.7,,0.5,3
7,tier0_cross,0.3,,0.25,0
7,tier1_vatex_short,0.3,,0.75,1
7,tier2_vatex_long,0.3,,0.75,2
7,tier3_va11y,0.3,,0.75,3
8,tier0_cross,0.0,,0.0,0
8,tier1_vatex_short,0.4,,0.25,1
8,tier2_vatex_long,0.4,,0.25,2
8,tier3_va11y,0.7,,0.625,3
9,tier0_cross,0.0,0.0,0.0,0
9,tier1_vatex_short,0.4,0.5,0.16666666666666666,1
9,tier2_vatex_long,0.4,0.5,0.16666666666666666,2
9,tier3_va11y,0.5,0.5,0.3333333333333333,3
11,tier0_cross,0.0,0.0,0.0,0
11,tier1_vatex_short,0.5,0.75,0.0,1
11,tier2_vatex_long,0.3,0.25,0.0,2
11,tier3_va11y,0.8,1.0,0.5,3
12,tier0_cross,0.0,,0.0,0
12,tier1_vatex_short,0.5,,0.3333333333333333,1
12,tier2_vatex_long,0.3,,0.3333333333333333,2
12,tier3_va11y,0.7,,0.6666666666666666,3
13,tier0_cross,0.0,,0.0,0
13,tier1_vatex_short,0.2,,0.125,1
13,tier2_vatex_long,0.4,,0.25,2
13,tier3_va11y,0.5,,0.375,3
14,tier0_cross,0.0,0.0,0.0,0
14,tier1_vatex_short,0.5,1.0,0.0,1
14,tier2_vatex_long,0.4,1.0,0.0,2
14,tier3_va11y,0.8,1.0,0.5,3
15,tier0_cross,0.0,,0.0,0
15,tier1_vatex_short,0.1,,0.0,1
15,tier2_vatex_long,0.1,,0.0,2
15,tier3_va11y,0.2,,0.16666666666666666,3
16,tier0_cross,0.1,,0.16666666666666666,0
16,tier1_vatex_short,0.5,,0.8333333333333334,1
16,tier2_vatex_long,0.6,,0.8333333333333334,2
16,tier3_va11y,0.8,,0.8333333333333334,3
17,tier0_cross,0.0,,0.0,0
17,tier1_vatex_short,0.3,,0.25,1
17,tier2_vatex_long,0.3,,0.25,2
17,tier3_va11y,0.8,,0.5,3
18,tier0_cross,0.0,,0.0,0
18,tier1_vatex_short,0.3,,0.0,1
18,tier2_vatex_long,0.4,,0.0,2
18,tier3_va11y,0.8,,0.6666666666666666,3
19,tier0_cross,0.0,,0.0,0
19,tier1_vatex_short,0.2,,0.0,1
19,tier2_vatex_long,0.1,,0.25,2
19,tier3_va11y,0.4,,0.5,3
