clip_idx,duration_s,mean_need,total_need,slotable_debt,collision_debt,high_need_windows,mean_speech_density,slotable_debt_frac,collision_debt_frac,debt_mode,category,risk_rank,risk_score,target,quality_risk,tribe_route,all4_mean_full_order,all4_mean_tier3_margin
12,23.84,0.5182596900896645,12.355311011737603,6.339753109352962,6.015557902384641,4,0.5,0.51311967002127,0.48688032997873004,balanced,Sports,1.0,0.280861072744793,1.0,tier2/tier1 inversion risk,extended/integrated AD likely needed,0.0,0.5104166666666667
15,16.39,0.5129888445731533,9.17224054096798,4.026469106334425,5.145771434633556,5,0.5,0.4389842469078441,0.561015753092156,balanced,Pets & Animals,2.0,0.2450350738936531,1.0,professional AD barely leads,extended/integrated AD likely needed,0.0,-0.025
11,16.39,0.4698312665598578,7.838373727512014,3.5273743386568857,4.310999388855128,3,0.6666666666666666,0.4500135437885676,0.5499864562114324,balanced,Sports,3.0,0.215215029814331,0.0,clean,standard AD priority,1.0,0.2833333333333333
4,19.37,0.1856560970756702,3.849472766728953,2.1317166534635086,1.7177561132654444,1,0.35714285714285715,0.5537684723705452,0.4462315276294547,balanced,Food & Cooking,4.0,0.1237965014793331,0.0,clean,low/normal AD pressure,1.0,0.5208333333333333
3,16.39,0.34211584103443865,6.1170312376957625,1.4774087746470381,4.639622463048724,1,0.8333333333333334,0.2415238237697093,0.7584761762302906,collision,Food & Cooking,5.0,0.1174465648562957,0.0,clean,low/normal AD pressure,1.0,0.0666666666666668
19,20.86,0.33362418399777705,6.959400478193629,2.4462152385132416,4.5131852396803875,1,0.5714285714285714,0.35149798408327515,0.6485020159167248,balanced,Pets & Animals,6.0,0.1171860557291687,0.0,clean,low/normal AD pressure,1.0,0.3928571428571428
14,16.39,0.3813265542015931,6.562110364216562,0.8010595386887731,5.761050825527789,1,0.9166666666666666,0.12207346329573811,0.8779265367042619,collision,Sports,7.0,0.0644179718060927,0.0,clean,extended/integrated AD likely needed,1.0,0.2999999999999999
17,19.37,0.5311074094685745,11.078900561514464,0.8615167140061953,10.21738384750827,5,0.9285714285714286,0.0777619321721241,0.922238067827876,collision,Pets & Animals,8.0,0.045903849237172,0.0,clean,extended/integrated AD likely needed,1.0,0.7366071428571429
5,16.39,0.6046743141982954,10.81157673786552,0.0,10.81157673786552,5,1.0,0.0,1.0,collision,Food & Cooking,9.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.1339285714285714
8,16.39,0.3530305690086523,6.211720973831168,0.0,6.211720973831168,2,1.0,0.0,1.0,collision,Travel,10.0,0.0,0.0,clean,low/normal AD pressure,1.0,0.28125
1,16.39,0.330036249304514,5.691009589095149,0.0,5.691009589095149,2,1.0,0.0,1.0,collision,Food & Cooking,11.0,0.0,0.0,clean,low/normal AD pressure,1.0,0.4361111111111111
6,17.88,0.39760619032736616,7.109198683053306,0.0,7.109198683053306,3,1.0,0.0,1.0,collision,Travel,12.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.432142857142857
13,14.9,0.37576557838620006,5.598907117954381,0.0,5.598907117954381,2,1.0,0.0,1.0,collision,Sports,13.0,0.0,0.0,clean,low/normal AD pressure,1.0,0.2218253968253968
7,16.39,0.43312413677767125,6.34494848202954,0.0,6.34494848202954,3,1.0,0.0,1.0,collision,Travel,14.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.3541666666666667
9,16.39,0.5344893854821472,9.556670212420793,0.0,9.556670212420793,5,1.0,0.0,1.0,collision,Sports,15.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.0999999999999999
0,14.9,0.38839636777485154,5.787105879845288,0.0,5.787105879845288,1,1.0,0.0,1.0,collision,Food & Cooking,16.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.1845238095238096
18,16.39,0.5776043280768661,9.308839062829378,0.0,9.308839062829378,4,1.0,0.0,1.0,collision,Pets & Animals,17.0,0.0,0.0,clean,extended/integrated AD likely needed,1.0,0.4125
16,16.39,0.20495976041883146,3.5822307573584076,0.0,3.5822307573584076,1,1.0,0.0,1.0,collision,Pets & Animals,18.0,0.0,0.0,clean,low/normal AD pressure,1.0,0.5468253968253969
2,26.82,0.4355706961919657,11.682006071868521,9.296914780179007,2.385091291689514,4,0.1111111111111111,0.7958320448546025,0.20416795514539754,slotable,,,,,,,,
20,17.88,0.3610301768411606,6.455219561919952,0.0,6.455219561919952,2,1.0,0.0,1.0,collision,,,,,,,,
