video_id,swap_class,slice,clip_gate_caught,n_swaps
3ufJNSez5Is_000008_000018,object_scene,object_scene,1,3
_oAKCHh_Av4_000003_000013,object_scene,object_scene,0,3
BHxn3qfPAl4_000018_000028,object_scene,object_scene,1,3
BcW6Y7eufQE_000239_000249,object_scene,object_scene,0,3
EA3HCx0yTIY_000281_000291,object_scene,object_scene,1,3
j6CgiNeWQwM_000842_000852,object_scene,object_scene,1,3
9fuIpQgnNEQ_000049_000059,object_scene,object_scene,1,3
u-olDM7oGGM_000012_000022,object_scene,object_scene,1,3
eb-ufaFcUas_000008_000018,object_scene,object_scene,1,3
heWD9j45Emw_000225_000235,object_scene,object_scene,1,3
2kJxrcNRS9w_000047_000057,object_scene,object_scene,1,3
N-LZPc27kjM_000229_000239,object_scene,object_scene,1,3
RlfVK8z5wJ0_000000_000010,object_scene,object_scene,1,3
F-mRnL_XmJU_000000_000010,object_scene,object_scene,1,3
g8Idd47kGqo_000037_000047,object_scene,object_scene,1,3
d7_SY48r__8_000060_000070,object_scene,object_scene,1,3
iEAWgsSvJAE_000023_000033,object_scene,object_scene,1,3
S-C86j0keqc_000217_000227,object_scene,object_scene,1,3
ShSSAEfnyDs_000000_000010,relational_action,scene_model,1,4
wbOD_G3ttgU_000083_000093,count_relational,scene_model,0,4
3su234u58DA_000172_000182,action_relational,scene_model,0,4
8vkNr_eysXY_000002_000012,action_relational,scene_model,0,5
RjPp0ZPW0yc_000000_000010,count_action,scene_model,1,5
