clip_idx,tier,action_coverage,n_action_q,gt
0,tier0_cross,0.0,1,0
0,tier1_vatex_short,0.0,1,1
0,tier2_vatex_long,0.0,1,2
0,tier3_va11y,1.0,1,3
1,tier0_cross,0.0,1,0
1,tier1_vatex_short,0.0,1,1
1,tier2_vatex_long,1.0,1,2
1,tier3_va11y,1.0,1,3
3,tier0_cross,0.0,2,0
3,tier1_vatex_short,0.5,2,1
3,tier2_vatex_long,1.0,2,2
3,tier3_va11y,1.0,2,3
4,tier0_cross,0.0,1,0
4,tier1_vatex_short,1.0,1,1
4,tier2_vatex_long,1.0,1,2
4,tier3_va11y,1.0,1,3
5,tier0_cross,0.0,3,0
5,tier1_vatex_short,0.0,3,1
5,tier2_vatex_long,1.0,3,2
5,tier3_va11y,1.0,3,3
6,tier0_cross,0.0,1,0
6,tier1_vatex_short,0.0,1,1
6,tier2_vatex_long,0.0,1,2
6,tier3_va11y,1.0,1,3
7,tier0_cross,0.0,2,0
7,tier1_vatex_short,0.0,2,1
7,tier2_vatex_long,0.0,2,2
7,tier3_va11y,0.0,2,3
8,tier0_cross,0.0,1,0
8,tier1_vatex_short,1.0,1,1
8,tier2_vatex_long,1.0,1,2
8,tier3_va11y,1.0,1,3
9,tier0_cross,0.0,1,0
9,tier1_vatex_short,1.0,1,1
9,tier2_vatex_long,1.0,1,2
9,tier3_va11y,1.0,1,3
11,tier0_cross,0.0,2,0
11,tier1_vatex_short,0.5,2,1
11,tier2_vatex_long,0.0,2,2
11,tier3_va11y,1.0,2,3
12,tier0_cross,0.0,1,0
12,tier1_vatex_short,1.0,1,1
12,tier2_vatex_long,0.0,1,2
12,tier3_va11y,1.0,1,3
13,tier0_cross,0.0,1,0
13,tier1_vatex_short,0.0,1,1
13,tier2_vatex_long,1.0,1,2
13,tier3_va11y,1.0,1,3
14,tier0_cross,0.0,2,0
14,tier1_vatex_short,0.5,2,1
14,tier2_vatex_long,0.0,2,2
14,tier3_va11y,1.0,2,3
15,tier0_cross,0.0,1,0
15,tier1_vatex_short,0.0,1,1
15,tier2_vatex_long,0.0,1,2
15,tier3_va11y,0.0,1,3
16,tier0_cross,0.0,1,0
16,tier1_vatex_short,1.0,1,1
16,tier2_vatex_long,1.0,1,2
16,tier3_va11y,1.0,1,3
17,tier0_cross,0.0,1,0
17,tier1_vatex_short,1.0,1,1
17,tier2_vatex_long,1.0,1,2
17,tier3_va11y,1.0,1,3
18,tier0_cross,0.0,2,0
18,tier1_vatex_short,0.5,2,1
18,tier2_vatex_long,1.0,2,2
18,tier3_va11y,1.0,2,3
19,tier0_cross,0.0,1,0
19,tier1_vatex_short,0.0,1,1
19,tier2_vatex_long,0.0,1,2
19,tier3_va11y,0.0,1,3
