clip_idx,tier,gt,critic_entity
12,tier0_cross,0,0.475
12,tier1_vatex_short,1,0.3
12,tier2_vatex_long,2,0.475
12,tier3_va11y,3,0.825
15,tier0_cross,0,0.3
15,tier1_vatex_short,1,0.5333333333333333
15,tier2_vatex_long,2,0.5333333333333333
15,tier3_va11y,3,1.0
11,tier0_cross,0,0.43999999999999995
11,tier1_vatex_short,1,0.43999999999999995
11,tier2_vatex_long,2,0.43999999999999995
11,tier3_va11y,3,0.8599999999999999
4,tier0_cross,0,0.5333333333333333
4,tier1_vatex_short,1,0.5333333333333333
4,tier2_vatex_long,2,0.5333333333333333
4,tier3_va11y,3,1.0
3,tier0_cross,0,0.6499999999999999
3,tier1_vatex_short,1,0.6499999999999999
3,tier2_vatex_long,2,0.6499999999999999
3,tier3_va11y,3,1.0
19,tier0_cross,0,0.3
19,tier1_vatex_short,1,0.41666666666666663
19,tier2_vatex_long,2,0.5333333333333333
19,tier3_va11y,3,0.7666666666666666
14,tier0_cross,0,0.3
14,tier1_vatex_short,1,1.0
14,tier2_vatex_long,2,1.0
14,tier3_va11y,3,1.0
17,tier0_cross,0,0.3
17,tier1_vatex_short,1,0.0
17,tier2_vatex_long,2,0.475
17,tier3_va11y,3,1.0
5,tier0_cross,0,0.5333333333333333
5,tier1_vatex_short,1,0.3
5,tier2_vatex_long,2,0.5333333333333333
5,tier3_va11y,3,1.0
8,tier0_cross,0,0.475
8,tier1_vatex_short,1,0.0
8,tier2_vatex_long,2,0.0
8,tier3_va11y,3,1.0
1,tier0_cross,0,0.3
1,tier1_vatex_short,1,0.43999999999999995
1,tier2_vatex_long,2,0.72
1,tier3_va11y,3,1.0
6,tier0_cross,0,0.3
6,tier1_vatex_short,1,0.0
6,tier2_vatex_long,2,0.5333333333333333
6,tier3_va11y,3,0.7666666666666666
13,tier0_cross,0,0.475
13,tier1_vatex_short,1,0.0
13,tier2_vatex_long,2,0.475
13,tier3_va11y,3,1.0
7,tier0_cross,0,1.0
7,tier1_vatex_short,1,0.6499999999999999
7,tier2_vatex_long,2,0.6499999999999999
7,tier3_va11y,3,1.0
9,tier0_cross,0,0.6499999999999999
9,tier1_vatex_short,1,0.3
9,tier2_vatex_long,2,0.6499999999999999
9,tier3_va11y,3,0.6499999999999999
0,tier0_cross,0,0.43999999999999995
0,tier1_vatex_short,1,0.43999999999999995
0,tier2_vatex_long,2,0.58
0,tier3_va11y,3,0.8599999999999999
18,tier0_cross,0,0.3
18,tier1_vatex_short,1,0.3
18,tier2_vatex_long,2,0.0
18,tier3_va11y,3,1.0
16,tier0_cross,0,0.3
16,tier1_vatex_short,1,0.475
16,tier2_vatex_long,2,0.475
16,tier3_va11y,3,0.825
