metric_a,metric_b,rho,p,n
story_recall,vt_consistency,0.9019315060092639,3.137958652905576e-27,72
llm_ad_eval,ensemble,0.8872962886372324,3.1651689648803884e-25,72
action_coverage,adqa_v4,0.8203965020967643,1.168853042101316e-18,72
vt_consistency,adqa_v4,0.8141889042504804,3.4315758672687243e-18,72
ensemble,need_weighted_clip,0.8018067805849527,2.620447929313173e-17,72
story_recall,adqa_v4,0.7888444518996156,1.8983960505051073e-16,72
adqa_v4,ensemble,0.7791738421591885,7.617198145669127e-16,72
vt_consistency,ensemble,0.7685505076324757,3.240860237118534e-15,72
adqa_v4,need_weighted_clip,0.7253050716133843,5.782554915620732e-13,72
llm_ad_eval,need_weighted_clip,0.724558318018518,6.269458643237796e-13,72
vt_consistency,need_weighted_clip,0.7195083919748448,1.0757138009437182e-12,72
llm_ad_eval,adqa_v4,0.7176375894150462,1.3099921132893993e-12,72
story_recall,need_weighted_clip,0.6973902323827131,1.0033863481218028e-11,72
llm_ad_eval,vt_consistency,0.6963695132285515,1.1069093455193884e-11,72
story_recall,ensemble,0.6915612191595775,1.7483936028457186e-11,72
llm_ad_eval,story_recall,0.6775303705368161,6.318843097733916e-11,72
action_coverage,vt_consistency,0.6703802138222921,1.18416659546062e-10,72
action_coverage,story_recall,0.6617573042512375,2.469273419393015e-10,72
critic_entity,ensemble,0.6415739808868814,1.2602330433861832e-09,72
critic_entity,llm_ad_eval,0.6008274561253282,2.4080572067875703e-08,72
action_coverage,need_weighted_clip,0.5707186795833283,1.6562102319160243e-07,72
action_coverage,ensemble,0.5605351703819916,3.046784355963111e-07,72
multi_ref_r3,need_weighted_clip,0.5370849747458437,1.150694939940125e-06,72
critic_entity,adqa_v4,0.5345890576621388,1.3177943141590512e-06,72
llm_ad_eval,action_coverage,0.52187318268297,2.5861786814906065e-06,72
critic_entity,need_weighted_clip,0.5003038692570315,7.639435230003322e-06,72
multi_ref_r3,story_recall,0.49950078318328156,7.94263441418472e-06,72
multi_ref_r3,vt_consistency,0.4936674893315413,1.0506818543693234e-05,72
multi_ref_r3,adqa_v4,0.4914649223829573,1.1662046390891707e-05,72
coad_repetition,multi_ref_r3,0.4824778008218217,1.771824624056997e-05,72
multi_ref_r3,ensemble,0.46984929398503855,3.12751063756645e-05,72
multi_ref_r3,action_coverage,0.45665126804527784,5.532734748093357e-05,72
llm_ad_eval,multi_ref_r3,0.44037945557454117,0.00010832268871606576,72
critic_entity,vt_consistency,0.41005535375303925,0.0003472636000922812,72
critic_entity,story_recall,0.32266515902460974,0.005703778058040395,72
critic_entity,action_coverage,0.28408421855693544,0.015588923830673788,72
critic_entity,timing_g7g8,0.1773558472157974,0.13611398077491632,72
llm_ad_eval,timing_g7g8,0.16847848961043577,0.1571556896862054,72
critic_entity,multi_ref_r3,0.14858485133550242,0.2128941762795161,72
action_coverage,timing_g7g8,0.12572011933622546,0.29266995057719486,72
adqa_v4,timing_g7g8,0.11922089836122521,0.3185309968619028,72
coad_repetition,story_recall,0.10774577669517404,0.36765274472072906,72
vt_consistency,timing_g7g8,0.09614319756437727,0.4217505728458362,72
story_recall,timing_g7g8,0.09126354367061104,0.44579929172394317,72
coad_repetition,adqa_v4,0.07660248240867616,0.5224596485198499,72
ensemble,timing_g7g8,0.07309629462869234,0.541726268548983,72
coad_repetition,need_weighted_clip,0.0701576739776141,0.5581368378963322,72
coad_repetition,vt_consistency,0.04455032599015295,0.7101976158766372,72
coad_repetition,action_coverage,0.03858206188878014,0.7476270451950432,72
coad_repetition,llm_ad_eval,-0.02214239215759521,0.8535280584277313,72
need_weighted_clip,timing_g7g8,-0.04144552909362062,0.7295902076233816,72
coad_repetition,ensemble,-0.06499591125184603,0.5875219877946346,72
multi_ref_r3,timing_g7g8,-0.2475433130465166,0.03604123068202221,72
coad_repetition,timing_g7g8,-0.3050420100451878,0.00917446985859662,72
coad_repetition,critic_entity,-0.4119881681435392,0.00032345589272966715,72
