metric,rho,p,n
ensemble,0.927887913572603,1.0411666257611524e-31,72
llm_ad_eval,0.8989747367852855,8.431272892654829e-27,72
adqa_v4,0.7888337624146254,1.90138953558368e-16,72
vt_consistency,0.7682640723704659,3.3662990498752212e-15,72
need_weighted_clip,0.732829571454115,2.5224836431773856e-13,72
story_recall,0.7025919617623203,6.04455861001872e-12,72
critic_entity,0.6383888971738171,1.6122594832709932e-09,72
action_coverage,0.6006456562655718,2.4377214945228533e-08,72
multi_ref_r3,0.5319973942467422,1.5152933414534928e-06,72
coad_repetition_inv,-0.06372289463531831,0.594875264278186,72
