clip_idx,tier,gt,r_at_3,r_at_1,n_refs
12,tier0_cross,0,0.10585995831897471,0.1111111111111111,12
12,tier1_vatex_short,1,0.772765246449457,1.0,12
12,tier2_vatex_long,2,0.75,1.0,12
12,tier3_va11y,3,0.5853297840875481,1.0,12
15,tier0_cross,0,0.10582010582010581,0.13333333333333333,12
15,tier1_vatex_short,1,0.5635964912280702,1.0,12
15,tier2_vatex_long,2,0.8205128205128206,1.0,12
15,tier3_va11y,3,0.6212121212121212,1.0,12
11,tier0_cross,0,0.1334272962179939,0.13953488372093023,12
11,tier1_vatex_short,1,0.6666666666666666,1.0,12
11,tier2_vatex_long,2,0.787878787878788,1.0,12
11,tier3_va11y,3,0.5810359231411862,1.0,12
4,tier0_cross,0,0.10943975649858002,0.11764705882352941,12
4,tier1_vatex_short,1,0.6679738562091503,1.0,12
4,tier2_vatex_long,2,0.8787878787878789,1.0,12
4,tier3_va11y,3,0.5663650075414781,1.0,12
3,tier0_cross,0,0.11483960232881717,0.13114754098360654,12
3,tier1_vatex_short,1,0.6333333333333333,1.0,12
3,tier2_vatex_long,2,0.8695652173913043,1.0,12
3,tier3_va11y,3,0.5630725863284002,1.0,12
19,tier0_cross,0,0.1638344226579521,0.17777777777777776,12
19,tier1_vatex_short,1,0.5126705653021443,1.0,12
19,tier2_vatex_long,2,0.8333333333333334,1.0,12
19,tier3_va11y,3,0.547008547008547,1.0,12
14,tier0_cross,0,0.1796451914098973,0.19607843137254902,12
14,tier1_vatex_short,1,0.7095959595959597,1.0,12
14,tier2_vatex_long,2,0.8222222222222223,1.0,12
14,tier3_va11y,3,0.6239316239316239,1.0,12
17,tier0_cross,0,0.18601010101010104,0.21333333333333335,12
17,tier1_vatex_short,1,0.625,1.0,12
17,tier2_vatex_long,2,0.8172043010752689,1.0,12
17,tier3_va11y,3,0.5535444947209652,1.0,12
5,tier0_cross,0,0.13388687078360148,0.14634146341463417,12
5,tier1_vatex_short,1,0.5666666666666667,1.0,12
5,tier2_vatex_long,2,0.8415300546448088,1.0,12
5,tier3_va11y,3,0.6830601092896176,1.0,12
8,tier0_cross,0,0.11409382416805536,0.13043478260869568,12
8,tier1_vatex_short,1,0.7422222222222222,1.0,12
8,tier2_vatex_long,2,0.8205128205128206,1.0,12
8,tier3_va11y,3,0.536969696969697,1.0,12
1,tier0_cross,0,0.10445708866761498,0.10810810810810811,12
1,tier1_vatex_short,1,0.4944178628389155,1.0,12
1,tier2_vatex_long,2,0.8181818181818182,1.0,12
1,tier3_va11y,3,0.5385374275496363,1.0,12
6,tier0_cross,0,0.07927704377666345,0.0930232558139535,12
6,tier1_vatex_short,1,0.468013468013468,1.0,12
6,tier2_vatex_long,2,0.7619047619047619,1.0,12
6,tier3_va11y,3,0.5063131313131314,1.0,12
13,tier0_cross,0,0.14430530709600475,0.15384615384615383,12
13,tier1_vatex_short,1,0.5656565656565656,1.0,12
13,tier2_vatex_long,2,0.8387096774193549,1.0,12
13,tier3_va11y,3,0.5598290598290598,1.0,12
7,tier0_cross,0,0.10260908681961313,0.10526315789473685,12
7,tier1_vatex_short,1,0.6813186813186812,1.0,12
7,tier2_vatex_long,2,0.7666666666666666,1.0,12
7,tier3_va11y,3,0.5450268817204301,1.0,12
9,tier0_cross,0,0.14267676767676768,0.18181818181818182,12
9,tier1_vatex_short,1,0.6048265460030166,1.0,12
9,tier2_vatex_long,2,0.7619047619047619,1.0,12
9,tier3_va11y,3,0.5286865813181603,1.0,12
0,tier0_cross,0,0.10877304851479887,0.11764705882352941,12
0,tier1_vatex_short,1,0.5241935483870968,1.0,12
0,tier2_vatex_long,2,0.8533333333333334,1.0,12
0,tier3_va11y,3,0.6358463726884779,1.0,12
18,tier0_cross,0,0.10041848376723493,0.13043478260869565,12
18,tier1_vatex_short,1,0.5338345864661654,1.0,12
18,tier2_vatex_long,2,0.8275862068965517,1.0,12
18,tier3_va11y,3,0.5591313448456305,1.0,12
16,tier0_cross,0,0.08959156785243742,0.0909090909090909,12
16,tier1_vatex_short,1,0.5694444444444444,1.0,12
16,tier2_vatex_long,2,0.7843137254901961,1.0,12
16,tier3_va11y,3,0.540710751237067,1.0,12
