clip_idx,tier,gt,g7_overlap_seconds,g8_words_per_silent_sec,g7g8_score,ad_read_seconds,speech_seconds
12,tier0_cross,0,11.920000000000002,3.3557046979865777,-0.8162953020134229,12.0,11.920000000000002
12,tier1_vatex_short,1,3.3,0.9228187919463089,-0.2321812080536909,3.3,11.920000000000002
12,tier2_vatex_long,2,6.0,1.6778523489932888,-0.4221476510067108,6.0,11.920000000000002
12,tier3_va11y,3,11.920000000000002,5.369127516778525,1.197127516778524,19.2,11.920000000000002
15,tier0_cross,0,8.94,5.2348993288590595,2.10589932885906,11.7,8.94
15,tier1_vatex_short,1,3.3,1.4765100671140938,0.321510067114094,3.3,8.94
15,tier2_vatex_long,2,6.6,2.9530201342281877,0.643020134228188,6.6,8.94
15,tier3_va11y,3,8.94,6.845637583892617,3.7166375838926173,15.299999999999999,8.94
11,tier0_cross,0,10.43,6.711409395973154,3.060909395973154,12.0,10.43
11,tier1_vatex_short,1,3.0,1.6778523489932884,0.6278523489932886,3.0,10.43
11,tier2_vatex_long,2,9.9,5.536912751677852,2.0719127516778517,9.9,10.43
11,tier3_va11y,3,10.43,11.57718120805369,7.92668120805369,20.7,10.43
4,tier0_cross,0,5.960000000000001,2.609992542878449,0.5239925428784487,10.5,5.960000000000001
4,tier1_vatex_short,1,3.0,0.7457121551081283,-0.30428784489187155,3.0,5.960000000000001
4,tier2_vatex_long,2,5.1,1.267710663683818,-0.5172893363161817,5.1,5.960000000000001
4,tier3_va11y,3,5.960000000000001,5.443698732289336,3.357698732289336,21.9,5.960000000000001
3,tier0_cross,0,10.5,11.744966442953018,8.069966442953017,10.5,13.41
3,tier1_vatex_short,1,3.9,4.36241610738255,2.9974161073825494,3.9,13.41
3,tier2_vatex_long,2,5.7,6.375838926174496,4.380838926174496,5.7,13.41
3,tier3_va11y,3,13.41,18.120805369127513,13.427305369127513,16.2,13.41
19,tier0_cross,0,11.7,4.3624161073825505,0.2674161073825507,11.7,11.92
19,tier1_vatex_short,1,3.3,1.2304250559284118,0.07542505592841198,3.3,11.92
19,tier2_vatex_long,2,7.199999999999999,2.684563758389262,0.1645637583892623,7.199999999999999,11.92
19,tier3_va11y,3,11.92,5.704697986577181,1.5326979865771815,15.299999999999999,11.92
14,tier0_cross,0,12.0,26.845637583892614,22.645637583892615,12.0,14.9
14,tier1_vatex_short,1,4.2,9.395973154362414,7.925973154362414,4.2,14.9
14,tier2_vatex_long,2,8.1,18.120805369127513,15.285805369127514,8.1,14.9
14,tier3_va11y,3,13.799999999999999,30.872483221476507,26.04248322147651,13.799999999999999,14.9
17,tier0_cross,0,11.7,26.174496644295328,22.07949664429533,11.7,17.880000000000003
17,tier1_vatex_short,1,3.5999999999999996,8.053691275167793,6.793691275167793,3.5999999999999996,17.880000000000003
17,tier2_vatex_long,2,7.8,17.44966442953022,14.71966442953022,7.8,17.880000000000003
17,tier3_va11y,3,17.7,39.59731543624165,33.40231543624165,17.7,17.880000000000003
5,tier0_cross,0,10.5,3500.0,3496.325,10.5,16.39
5,tier1_vatex_short,1,3.3,1100.0,1098.845,3.3,16.39
5,tier2_vatex_long,2,8.7,2900.0,2896.955,8.7,16.39
5,tier3_va11y,3,16.39,6000.0,5994.2635,18.0,16.39
8,tier0_cross,0,15.299999999999999,5100.0,5094.645,15.299999999999999,16.39
8,tier1_vatex_short,1,3.0,1000.0,998.95,3.0,16.39
8,tier2_vatex_long,2,6.6,2200.0,2197.69,6.6,16.39
8,tier3_va11y,3,16.39,5600.0,5594.2635,16.8,16.39
1,tier0_cross,0,10.5,3500.0,3496.325,10.5,16.39
1,tier1_vatex_short,1,3.9,1300.0,1298.635,3.9,16.39
1,tier2_vatex_long,2,5.7,1900.0,1898.005,5.7,16.39
1,tier3_va11y,3,16.39,6200.0,6194.2635,18.599999999999998,16.39
6,tier0_cross,0,15.299999999999999,5100.0,5094.645,15.299999999999999,17.88
6,tier1_vatex_short,1,4.2,1400.0,1398.53,4.2,17.88
6,tier2_vatex_long,2,5.3999999999999995,1800.0,1798.11,5.3999999999999995,17.88
6,tier3_va11y,3,11.7,3900.0,3895.905,11.7,17.88
13,tier0_cross,0,12.0,4000.0,3995.8,12.0,14.9
13,tier1_vatex_short,1,3.5999999999999996,1200.0,1198.74,3.5999999999999996,14.9
13,tier2_vatex_long,2,8.4,2800.0,2797.06,8.4,14.9
13,tier3_va11y,3,14.9,6700.0,6694.785,20.099999999999998,14.9
7,tier0_cross,0,15.299999999999999,5100.0,5094.645,15.299999999999999,16.39
7,tier1_vatex_short,1,3.3,1100.0,1098.845,3.3,16.39
7,tier2_vatex_long,2,5.7,1900.0,1898.005,5.7,16.39
7,tier3_va11y,3,12.299999999999999,4100.0,4095.695,12.299999999999999,16.39
9,tier0_cross,0,12.0,4000.0,3995.8,12.0,16.39
9,tier1_vatex_short,1,3.0,1000.0,998.95,3.0,16.39
9,tier2_vatex_long,2,4.5,1500.0,1498.425,4.5,16.39
9,tier3_va11y,3,10.5,3500.0,3496.325,10.5,16.39
0,tier0_cross,0,10.5,3500.0,3496.325,10.5,14.9
0,tier1_vatex_short,1,3.3,1100.0,1098.845,3.3,14.9
0,tier2_vatex_long,2,7.5,2500.0,2497.375,7.5,14.9
0,tier3_va11y,3,12.0,4000.0,3995.8,12.0,14.9
18,tier0_cross,0,11.7,3900.0,3895.905,11.7,16.39
18,tier1_vatex_short,1,3.9,1300.0,1298.635,3.9,16.39
18,tier2_vatex_long,2,7.8,2600.0,2597.27,7.8,16.39
18,tier3_va11y,3,16.2,5400.0,5394.33,16.2,16.39
16,tier0_cross,0,11.7,3900.0,3895.905,11.7,16.39
16,tier1_vatex_short,1,3.3,1100.0,1098.845,3.3,16.39
16,tier2_vatex_long,2,5.3999999999999995,1800.0,1798.11,5.3999999999999995,16.39
16,tier3_va11y,3,12.6,4200.0,4195.59,12.6,16.39
