video_id,category,tier,gt,llm_ad_eval,critic_entity,coad_repetition_inv,multi_ref_r3,token_overlap,word_count
3ufJNSez5Is_000008_000018,How-to & Instructional,tier0_cross,0,3.3851800858974457,0.43999999999999995,0.984,0.061224489795918366,0.07692307692307693,29
3ufJNSez5Is_000008_000018,How-to & Instructional,tier1_vatex_short,1,4.129194498062134,0.58,1.0,0.20408163265306123,0.1282051282051282,10
3ufJNSez5Is_000008_000018,How-to & Instructional,tier2_vatex_long,2,4.303626298904419,0.72,1.0,0.30612244897959184,0.2564102564102564,15
3ufJNSez5Is_000008_000018,How-to & Instructional,tier3_va11y,3,4.999999761581421,0.8599999999999999,0.9731285617695354,0.7959183673469388,1.0,46
_oAKCHh_Av4_000003_000013,People & Vlogs,tier0_cross,0,3.0613408237695694,0.5333333333333333,0.984,0.09302325581395349,0.10344827586206896,29
_oAKCHh_Av4_000003_000013,People & Vlogs,tier1_vatex_short,1,4.227986812591553,0.5333333333333333,1.0,0.23255813953488372,0.1724137931034483,10
_oAKCHh_Av4_000003_000013,People & Vlogs,tier2_vatex_long,2,4.089918255805969,0.7666666666666666,1.0,0.37209302325581395,0.1724137931034483,17
_oAKCHh_Av4_000003_000013,People & Vlogs,tier3_va11y,3,5.0,1.0,0.9958333333333333,0.6744186046511628,1.0,32
BHxn3qfPAl4_000018_000028,Health & Wellness,tier0_cross,0,3.419330805540085,0.6499999999999999,0.984,0.10526315789473684,0.08333333333333333,29
BHxn3qfPAl4_000018_000028,Health & Wellness,tier1_vatex_short,1,4.555941343307495,0.6499999999999999,1.0,0.23684210526315788,0.16666666666666666,9
BHxn3qfPAl4_000018_000028,Health & Wellness,tier2_vatex_long,2,4.235791444778442,0.6499999999999999,1.0,0.42105263157894735,0.2916666666666667,19
BHxn3qfPAl4_000018_000028,Health & Wellness,tier3_va11y,3,5.0,1.0,0.9628571428571429,0.631578947368421,1.0,29
BcW6Y7eufQE_000239_000249,People & Vlogs,tier0_cross,0,3.1835854053497314,0.41666666666666663,0.984,0.09090909090909091,0.12121212121212122,29
BcW6Y7eufQE_000239_000249,People & Vlogs,tier1_vatex_short,1,3.968011975288391,0.3,1.0,0.2,0.06060606060606061,11
BcW6Y7eufQE_000239_000249,People & Vlogs,tier2_vatex_long,2,3.752590537071228,0.5333333333333333,1.0,0.3090909090909091,0.09090909090909091,19
BcW6Y7eufQE_000239_000249,People & Vlogs,tier3_va11y,3,5.0,0.7666666666666666,0.9272885241052943,0.6,1.0,43
EA3HCx0yTIY_000281_000291,Music,tier0_cross,0,3.118105471134186,0.6499999999999999,0.984,0.08108108108108109,0.12,29
EA3HCx0yTIY_000281_000291,Music,tier1_vatex_short,1,4.339311480522156,0.6499999999999999,1.0,0.1891891891891892,0.2,7
EA3HCx0yTIY_000281_000291,Music,tier2_vatex_long,2,4.094977378845215,0.6499999999999999,1.0,0.35135135135135137,0.12,13
EA3HCx0yTIY_000281_000291,Music,tier3_va11y,3,4.9999998807907104,1.0,1.0,0.6756756756756757,1.0,25
j6CgiNeWQwM_000842_000852,Food & Cooking,tier0_cross,0,3.099931374192238,0.475,0.984,0.08695652173913043,0.12121212121212122,29
j6CgiNeWQwM_000842_000852,Food & Cooking,tier1_vatex_short,1,4.204373717308044,0.3,1.0,0.13043478260869565,0.12121212121212122,6
j6CgiNeWQwM_000842_000852,Food & Cooking,tier2_vatex_long,2,4.1725733280181885,0.475,1.0,0.41304347826086957,0.24242424242424243,19
j6CgiNeWQwM_000842_000852,Food & Cooking,tier3_va11y,3,4.999999761581421,0.825,0.9544566544566545,0.717391304347826,1.0,47
9fuIpQgnNEQ_000049_000059,Event,tier0_cross,0,3.357013612985611,0.475,0.984,0.061224489795918366,0.08571428571428572,29
9fuIpQgnNEQ_000049_000059,Event,tier1_vatex_short,1,3.9392789006233215,0.475,1.0,0.24489795918367346,0.17142857142857143,14
9fuIpQgnNEQ_000049_000059,Event,tier2_vatex_long,2,4.298834562301636,0.475,1.0,0.30612244897959184,0.2,16
9fuIpQgnNEQ_000049_000059,Event,tier3_va11y,3,4.999999642372131,1.0,0.996078431372549,0.7142857142857143,1.0,39
u-olDM7oGGM_000012_000022,Health & Wellness,tier0_cross,0,3.353314846754074,0.475,0.984,0.06666666666666667,0.08571428571428572,29
u-olDM7oGGM_000012_000022,Health & Wellness,tier1_vatex_short,1,4.155154705047607,0.475,1.0,0.2222222222222222,0.2,12
u-olDM7oGGM_000012_000022,Health & Wellness,tier2_vatex_long,2,4.3158159255981445,0.825,1.0,0.4444444444444444,0.3142857142857143,22
u-olDM7oGGM_000012_000022,Health & Wellness,tier3_va11y,3,5.0,0.825,0.9686274509803922,0.7777777777777778,1.0,41
eb-ufaFcUas_000008_000018,Entertainment,tier0_cross,0,3.4967294931411743,0.43999999999999995,0.984,0.061224489795918366,0.02564102564102564,29
eb-ufaFcUas_000008_000018,Entertainment,tier1_vatex_short,1,4.3946744203567505,0.58,1.0,0.2857142857142857,0.10256410256410256,14
eb-ufaFcUas_000008_000018,Entertainment,tier2_vatex_long,2,4.3946744203567505,0.58,1.0,0.2857142857142857,0.10256410256410256,14
eb-ufaFcUas_000008_000018,Entertainment,tier3_va11y,3,5.0,0.72,0.9921568627450981,0.7959183673469388,1.0,49
heWD9j45Emw_000225_000235,Music,tier0_cross,0,3.3588536381721497,0.5333333333333333,0.984,0.08,0.07894736842105263,29
heWD9j45Emw_000225_000235,Music,tier1_vatex_short,1,4.326893091201782,0.3,1.0,0.14,0.10526315789473684,7
heWD9j45Emw_000225_000235,Music,tier2_vatex_long,2,4.215667366981506,0.0,1.0,0.38,0.2631578947368421,20
heWD9j45Emw_000225_000235,Music,tier3_va11y,3,4.9999998807907104,1.0,0.9815384615384616,0.76,1.0,47
2kJxrcNRS9w_000047_000057,Sports,tier0_cross,0,3.771988332271576,0.3,0.984,0.1,0.14285714285714285,29
