category,n,mean_t3_minus_t1,t3_gt_t1_w_l_t,mean_source_minus_target,source_gt_target,mean_t3_rank_pct
"Education, Seminar & Talks",1,0.35593220338983056,1/0/0,0.13559322033898302,1/1,0.4067796610169492
Entertainment,10,-0.0745762711864407,4/5/1,0.1440677966101695,7/10,0.4067796610169492
Event,3,0.0,2/1/0,0.03954802259887006,2/3,0.4180790960451977
Film & Animation,2,-0.07627118644067798,1/1/0,-0.3220338983050848,0/2,0.7542372881355932
Food & Cooking,3,0.15254237288135594,3/0/0,-0.07909604519774012,2/3,0.6271186440677966
Health & Wellness,4,-0.09745762711864406,2/2/0,0.09745762711864404,1/4,0.521186440677966
How-to & Instructional,21,0.14527845036319614,16/3/2,-0.0387409200968523,14/21,0.5690072639225182
Music,2,0.16101694915254242,2/0/0,-0.14406779661016952,1/2,0.7203389830508475
People & Vlogs,8,-0.09957627118644068,2/6/0,-0.17796610169491528,4/8,0.5550847457627118
Sports,6,-0.059322033898305086,3/3/0,0.4435028248587571,5/6,0.3361581920903955
