run,group,n_videos,n_questions,mean,ci_low,ci_high,wins,losses,ties,sign_p_one_sided
haiku_surgical,matched,43,60,0.16666666666666666,0.09258547008547009,0.24270833333333355,20,2,38,6.0558319091796875e-05
haiku_surgical,unmatched,59,235,0.05106382978723404,0.004366812227074236,0.09877474457215839,48,28,159,0.01431332775436894
haiku_surgical,all,59,295,0.07457627118644068,0.03559322033898305,0.11694915254237288,68,30,197,7.807915850316458e-05
haiku_surgical,matched_minus_unmatched,43,43,0.15406976744186046,0.04941860465116279,0.2625968992248062,21,12,10,0.08137782872654498
gpt5_crossjudge,matched,44,62,0.11290322580645161,0.0546875,0.18333333333333332,11,0,51,0.00048828125
gpt5_crossjudge,unmatched,60,238,0.01680672268907563,-0.021193260347712226,0.05387931034482758,31,24,183,0.20937709413450778
gpt5_crossjudge,all,60,300,0.03666666666666667,0.0016666666666666668,0.07,42,24,234,0.017791362226115846
gpt5_crossjudge,matched_minus_unmatched,44,44,0.13257575757575757,0.04640151515151515,0.22443181818181818,19,8,17,0.026119492948055267
opus17_crossjudge,matched,17,24,0.16666666666666666,0.03571428571428571,0.3333333333333333,8,1,15,0.01953125
opus17_crossjudge,unmatched,17,61,0.0,-0.06156249999999999,0.06669491525423739,6,5,50,0.5
opus17_crossjudge,all,17,85,0.047058823529411764,-0.011764705882352941,0.11176470588235295,14,6,65,0.057659149169921875
opus17_crossjudge,matched_minus_unmatched,17,17,0.22794117647058823,0.07352941176470588,0.40692401960784336,9,1,7,0.0107421875
opus15_subset,matched,15,18,0.3055555555555556,0.14702818627450984,0.5,8,0,10,0.00390625
opus15_subset,unmatched,15,57,0.02631578947368421,-0.05263157894736842,0.11206896551724138,5,3,49,0.36328125
opus15_subset,all,15,75,0.09333333333333334,0.02,0.18,13,3,59,0.0106353759765625
opus15_subset,matched_minus_unmatched,15,15,0.3194444444444444,0.13326388888888893,0.525,8,2,5,0.0546875
