feature,target,budget_frac,k,hits,total_pos,recall,precision,random_expected_recall
mean_visual_gap,adqa_fail,0.05,3,1,10,0.1,0.3333333333333333,0.05
mean_visual_gap,adqa_fail,0.1,6,2,10,0.2,0.3333333333333333,0.1
mean_visual_gap,adqa_fail,0.2,12,3,10,0.3,0.25,0.2
mean_visual_gap,adqa_fail,0.3,18,4,10,0.4,0.2222222222222222,0.3
mean_visual_gap,adqa_fail,0.4,24,6,10,0.6,0.25,0.4
mean_visual_gap,adqa_fail,0.5,30,7,10,0.7,0.23333333333333334,0.5
mean_visual_gap,ensemble_fail,0.05,3,1,2,0.5,0.3333333333333333,0.05
mean_visual_gap,ensemble_fail,0.1,6,1,2,0.5,0.16666666666666666,0.1
mean_visual_gap,ensemble_fail,0.2,12,2,2,1.0,0.16666666666666666,0.2
mean_visual_gap,ensemble_fail,0.3,18,2,2,1.0,0.1111111111111111,0.3
mean_visual_gap,ensemble_fail,0.4,24,2,2,1.0,0.08333333333333333,0.4
mean_visual_gap,ensemble_fail,0.5,30,2,2,1.0,0.06666666666666667,0.5
max_visual_gap,adqa_fail,0.05,3,0,10,0.0,0.0,0.05
max_visual_gap,adqa_fail,0.1,6,0,10,0.0,0.0,0.1
max_visual_gap,adqa_fail,0.2,12,2,10,0.2,0.16666666666666666,0.2
max_visual_gap,adqa_fail,0.3,18,4,10,0.4,0.2222222222222222,0.3
max_visual_gap,adqa_fail,0.4,24,5,10,0.5,0.20833333333333334,0.4
max_visual_gap,adqa_fail,0.5,30,8,10,0.8,0.26666666666666666,0.5
max_visual_gap,ensemble_fail,0.05,3,0,2,0.0,0.0,0.05
max_visual_gap,ensemble_fail,0.1,6,0,2,0.0,0.0,0.1
max_visual_gap,ensemble_fail,0.2,12,1,2,0.5,0.08333333333333333,0.2
max_visual_gap,ensemble_fail,0.3,18,2,2,1.0,0.1111111111111111,0.3
max_visual_gap,ensemble_fail,0.4,24,2,2,1.0,0.08333333333333333,0.4
max_visual_gap,ensemble_fail,0.5,30,2,2,1.0,0.06666666666666667,0.5
top1_vs_uniform,adqa_fail,0.05,3,0,10,0.0,0.0,0.05
top1_vs_uniform,adqa_fail,0.1,6,0,10,0.0,0.0,0.1
top1_vs_uniform,adqa_fail,0.2,12,1,10,0.1,0.08333333333333333,0.2
top1_vs_uniform,adqa_fail,0.3,18,3,10,0.3,0.16666666666666666,0.3
top1_vs_uniform,adqa_fail,0.4,24,4,10,0.4,0.16666666666666666,0.4
top1_vs_uniform,adqa_fail,0.5,30,6,10,0.6,0.2,0.5
top1_vs_uniform,ensemble_fail,0.05,3,0,2,0.0,0.0,0.05
top1_vs_uniform,ensemble_fail,0.1,6,0,2,0.0,0.0,0.1
top1_vs_uniform,ensemble_fail,0.2,12,1,2,0.5,0.08333333333333333,0.2
top1_vs_uniform,ensemble_fail,0.3,18,1,2,0.5,0.05555555555555555,0.3
top1_vs_uniform,ensemble_fail,0.4,24,1,2,0.5,0.041666666666666664,0.4
top1_vs_uniform,ensemble_fail,0.5,30,1,2,0.5,0.03333333333333333,0.5
