video_id,baseline_words,gap_words,word_delta,baseline_adqa,gap_adqa,adqa_delta,baseline_windows,gap_windows,length_pred_delta,length_residual_delta
0m0-Q0zz_-c_000112_000122,50.0,47.0,-3.0,0.5,0.3,-0.2,6,6,0.07079782424026523,-0.2707978242402652
0t0DB1B1w8Y_000000_000010,27.0,33.0,6.0,0.3,0.6,0.3,3,3,0.08042227276463979,0.2195777272353602
1-jIze6gy0g_000026_000036,40.0,45.0,5.0,0.1,0.1,0.0,5,5,0.07935288959526483,-0.07935288959526483
1HUWWCLza0w_000000_000010,39.0,39.0,0.0,0.6,0.5,-0.09999999999999998,5,5,0.07400597374839009,-0.17400597374839005
1YemrpNBpf4_000001_000011,43.0,35.0,-8.0,0.1,0.1,0.0,5,4,0.06545090839339049,-0.06545090839339049
1kLhK8KfIEw_000020_000030,42.0,53.0,11.0,0.1,0.2,0.1,5,5,0.08576918861151453,0.014230811388485476
21T1JDdJgsM_000047_000057,38.0,53.0,15.0,0.4,0.7,0.29999999999999993,5,6,0.09004672128901434,0.2099532787109856
2kJxrcNRS9w_000047_000057,45.0,49.0,4.0,0.6,0.8,0.20000000000000007,6,6,0.07828350642588988,0.12171649357411018
3su234u58DA_000172_000182,46.0,50.0,4.0,0.7,0.6,-0.09999999999999998,6,5,0.07828350642588988,-0.17828350642588986
3ufJNSez5Is_000008_000018,38.0,52.0,14.0,0.3,0.7,0.39999999999999997,5,5,0.08897733811963938,0.3110226618803606
750QhTe9Z4U_000000_000010,48.0,49.0,1.0,0.6,0.7,0.09999999999999998,5,5,0.07507535691776504,0.024924643082234937
8vkNr_eysXY_000002_000012,38.0,56.0,18.0,0.2,0.2,0.0,4,5,0.09325487079713918,-0.09325487079713918
9eBhetL8n5Q_000222_000232,50.0,57.0,7.0,0.4,0.4,0.0,6,6,0.08149165593401474,-0.08149165593401474
9fuIpQgnNEQ_000049_000059,51.0,53.0,2.0,0.4,0.4,0.0,6,6,0.07614474008713999,-0.07614474008713999
A0e7Z55s8pE_000008_000018,27.0,31.0,4.0,0.8,0.8,0.0,3,3,0.07828350642588988,-0.07828350642588988
AEkLDauJVi0_000069_000079,51.0,56.0,5.0,0.2,0.5,0.3,6,6,0.07935288959526483,0.22064711040473517
BHxn3qfPAl4_000018_000028,42.0,51.0,9.0,0.3,0.5,0.2,5,5,0.08363042227276463,0.11636957772723538
BcW6Y7eufQE_000239_000249,50.0,51.0,1.0,0.5,0.7,0.19999999999999996,6,6,0.07507535691776504,0.12492464308223492
Bss3WwpDdS8_000041_000051,50.0,59.0,9.0,0.3,0.2,-0.09999999999999998,6,6,0.08363042227276463,-0.1836304222727646
Ccgwurislg8_000082_000092,43.0,33.0,-10.0,0.1,0.2,0.1,5,4,0.0633121420546406,0.036687857945359406
D297atE3gag_000203_000213,37.0,44.0,7.0,0.4,0.4,0.0,5,5,0.08149165593401474,-0.08149165593401474
EA3HCx0yTIY_000281_000291,43.0,50.0,7.0,0.5,0.7,0.19999999999999996,6,6,0.08149165593401474,0.11850834406598522
GOH6fBhoi2o_000010_000020,45.0,46.0,1.0,0.1,0.7,0.6,5,5,0.07507535691776504,0.524924643082235
HpRmj5ce32c_000001_000011,45.0,59.0,14.0,0.7,0.6,-0.09999999999999998,6,6,0.08897733811963938,-0.18897733811963935
N-LZPc27kjM_000229_000239,43.0,56.0,13.0,0.5,0.3,-0.2,5,5,0.08790795495026443,-0.28790795495026444
OASCPKazLIM_000132_000142,45.0,63.0,18.0,0.3,0.6,0.3,6,6,0.09325487079713918,0.2067451292028608
RjPp0ZPW0yc_000000_000010,45.0,60.0,15.0,0.1,0.2,0.1,6,6,0.09004672128901434,0.009953278710985669
RlfVK8z5wJ0_000000_000010,45.0,47.0,2.0,0.7,0.5,-0.19999999999999996,5,5,0.07614474008713999,-0.27614474008713996
S-C86j0keqc_000217_000227,40.0,52.0,12.0,0.5,0.5,0.0,5,6,0.08683857178088948,-0.08683857178088948
ShSSAEfnyDs_000000_000010,27.0,25.0,-2.0,0.1,0.1,0.0,3,3,0.07186720740964019,-0.07186720740964019
Xdz1cxEjLYc_000007_000017,47.0,51.0,4.0,0.5,0.3,-0.2,5,5,0.07828350642588988,-0.2782835064258899
Z5w-wkrjHuw_000345_000355,42.0,49.0,7.0,0.3,0.4,0.10000000000000003,6,6,0.08149165593401474,0.018508344065985297
ZcYB6tPK2Eo_000138_000148,38.0,46.0,8.0,0.4,0.7,0.29999999999999993,5,5,0.08256103910338969,0.21743896089661024
_TKzyWZHjm8_000002_000012,53.0,50.0,-3.0,0.4,0.3,-0.10000000000000003,6,6,0.07079782424026523,-0.17079782424026527
_oAKCHh_Av4_000003_000013,50.0,50.0,0.0,0.3,0.5,0.2,5,5,0.07400597374839009,0.12599402625160994
bgt29znHCzs_000343_000353,43.0,53.0,10.0,0.4,0.4,0.0,5,5,0.08469980544213958,-0.08469980544213958
c_gQ9CSaZY4_000000_000010,61.0,59.0,-2.0,0.3,0.6,0.3,6,6,0.07186720740964019,0.2281327925903598
crjesEwF0Ks_000197_000207,48.0,46.0,-2.0,0.6,0.5,-0.09999999999999998,5,5,0.07186720740964019,-0.17186720740964018
d7_SY48r__8_000060_000070,41.0,56.0,15.0,0.0,0.0,0.0,5,5,0.09004672128901434,-0.09004672128901434
dlBeUWrse3I_000019_000029,38.0,45.0,7.0,0.4,0.3,-0.10000000000000003,5,5,0.08149165593401474,-0.18149165593401478
eb-ufaFcUas_000008_000018,52.0,51.0,-1.0,0.1,0.2,0.1,6,5,0.07293659057901514,0.02706340942098487
g8Idd47kGqo_000037_000047,46.0,51.0,5.0,0.2,0.3,0.09999999999999998,6,6,0.07935288959526483,0.020647110404735144
gFBO3zrod9Y_000005_000015,49.0,45.0,-4.0,0.5,0.6,0.09999999999999998,5,5,0.0697284410708903,0.030271558929109682
h8wsO9A9v_c_000016_000026,50.0,53.0,3.0,0.0,0.1,0.1,6,5,0.07721412325651494,0.022785876743485062
heWD9j45Emw_000225_000235,46.0,41.0,-5.0,0.2,0.6,0.39999999999999997,5,5,0.06865905790151534,0.33134094209848464
iEAWgsSvJAE_000023_000033,44.0,49.0,5.0,0.5,0.4,-0.09999999999999998,6,6,0.07935288959526483,-0.1793528895952648
iGmGQxox43I_000000_000010,45.0,51.0,6.0,0.4,0.5,0.09999999999999998,6,6,0.08042227276463979,0.019577727235360193
iZP6gjlr_nM_000113_000123,49.0,58.0,9.0,0.2,0.1,-0.1,5,5,0.08363042227276463,-0.18363042227276463
j4CKRgv3jUg_000000_000010,42.0,55.0,13.0,0.4,0.4,0.0,5,5,0.08790795495026443,-0.08790795495026443
j6CgiNeWQwM_000842_000852,44.0,46.0,2.0,0.1,0.3,0.19999999999999998,5,4,0.07614474008713999,0.12385525991285999
jeweRSnAJeo_000050_000060,43.0,47.0,4.0,0.1,0.4,0.30000000000000004,6,5,0.07828350642588988,0.22171649357411016
lgJywzzdUC8_000000_000010,42.0,54.0,12.0,0.5,0.6,0.09999999999999998,5,5,0.08683857178088948,0.013161428219110496
rGQ64NXktF8_000006_000016,50.0,60.0,10.0,0.1,0.2,0.1,5,4,0.08469980544213958,0.015300194557860428
u-olDM7oGGM_000012_000022,47.0,43.0,-4.0,0.3,0.3,0.0,5,4,0.0697284410708903,-0.0697284410708903
v2Hr1CH-yb0_000076_000086,42.0,52.0,10.0,0.3,0.3,0.0,5,5,0.08469980544213958,-0.08469980544213958
wbOD_G3ttgU_000083_000093,47.0,44.0,-3.0,0.6,0.6,0.0,5,4,0.07079782424026523,-0.07079782424026523
xW6hpK-DBMY_000080_000090,39.0,49.0,10.0,0.0,0.3,0.3,6,6,0.08469980544213958,0.21530019455786042
yBO8rAMeqjc_000007_000017,46.0,59.0,13.0,0.2,0.3,0.09999999999999998,5,5,0.08790795495026443,0.012092045049735545
zTJ0Zbv1jBo_000045_000055,45.0,47.0,2.0,0.2,0.3,0.09999999999999998,6,6,0.07614474008713999,0.023855259912859986
