clip_idx,video_id,category,all4_fail,fail_kind,t3_margin,tier2_vs_tier1,risk_rank,mean_standard_slot_score,mean_speech_density,duration_s,need_entropy
12,abaLFY_GI8k_000295_000305,Sports,1,tier2_tier1_inversion,0.5104166666666667,-0.0208333333333333,1,0.280861072744793,0.5000000000000001,23.84,0.8910406723420804
15,OGWuj_FtaQc_000010_000020,Pets & Animals,1,t3_margin_inversion,-0.025,0.45,2,0.2450350738936531,0.5454545454545454,16.39,0.8937152113189232
11,z8Q-s8AthrA_000002_000012,Sports,0,ok,0.2833333333333333,0.3833333333333333,3,0.215215029814331,0.6363636363636364,16.39,0.9860055878065448
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,0,ok,0.5208333333333333,0.0625,4,0.1237965014793331,0.3076923076923077,19.37,0.7078768016082808
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,0,ok,0.0666666666666668,0.2333333333333332,5,0.1174465648562957,0.8181818181818181,16.39,0.8629360990356767
19,qIWQHyOIpEY_000003_000013,Pets & Animals,0,ok,0.3928571428571428,0.3452380952380952,6,0.1171860557291687,0.5714285714285714,20.86,0.9162251302173916
14,UDD6YcChywc_000000_000010,Sports,0,ok,0.2999999999999999,0.15,7,0.0644179718060927,0.9090909090909092,16.39,0.9402624060655984
17,gjoZic4WjiQ_000012_000022,Pets & Animals,0,ok,0.7366071428571429,0.0669642857142857,8,0.045903849237172,0.9230769230769232,19.37,0.8892624891654481
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,0,ok,0.1339285714285714,0.5317460317460319,9,0.0,1.0,16.39,0.8948127586578454
8,hOirknJr3os_000001_000011,Travel,0,ok,0.28125,0.3645833333333334,10,0.0,1.0,16.39,0.8557803806502187
1,058y9xGmmTQ_000206_000216,Food & Cooking,0,ok,0.4361111111111111,0.4611111111111112,11,0.0,1.0,16.39,0.812201389019194
6,0HEi6q3bGaw_000011_000021,Travel,0,ok,0.432142857142857,0.1571428571428572,12,0.0,1.0,17.88,0.8855295589780069
13,KFcH6BYZWhc_000011_000021,Sports,0,ok,0.2218253968253968,0.2603174603174604,13,0.0,1.0,14.9,0.9287232140279916
7,09dQut5GJ68_000049_000059,Travel,0,ok,0.3541666666666667,0.0416666666666666,14,0.0,1.0,16.39,0.8139883327294317
9,TF4q9y0rJoc_000000_000010,Sports,0,ok,0.0999999999999999,0.2428571428571428,15,0.0,1.0,16.39,0.894546983703906
0,Q76JRCyTnSc_000007_000017,Food & Cooking,0,ok,0.1845238095238096,0.0773809523809523,16,0.0,1.0,14.9,0.951470683703556
18,q2ZBVyR1k-U_000021_000031,Pets & Animals,0,ok,0.4125,0.3375000000000001,17,0.0,1.0,16.39,0.9643113208757031
16,kOf-vl-GmVI_000115_000125,Pets & Animals,0,ok,0.5468253968253969,0.2948412698412699,18,0.0,1.0,16.39,0.7540946989169497
