clip_key,corpus,category,dominant_roi,visual_mean,control_mean,visual_minus_control,scene_mean,social_action_mean,scene_minus_social_action,accessibility_gap,video_id,adqa_fail,ensemble_fail
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,Food & Cooking,retrosplenial_pos,0.28242192991717485,0.06527071751720848,0.21715121239996638,0.5446774015140907,0.020166458320258984,0.5245109431938317,0.16836341087619067,,,
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,Food & Cooking,retrosplenial_pos,0.22839508763101307,0.011255200340338944,0.21713988729067413,0.43149426377463207,0.025295911487394046,0.406198352287238,0.08463107648035506,,,
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,Food & Cooking,scene_ppa,0.061941711783782105,0.15844847492072334,-0.09650676313694123,0.08578783806771437,0.03809558549984984,0.047692252567864524,0.09844685606074888,,,
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,Food & Cooking,retrosplenial_pos,0.2964534608760064,0.23968869392183056,0.056764766954175816,0.5317239964245482,0.061182925327464555,0.4705410710970836,0.2986524298433463,,,
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,Food & Cooking,scene_ppa,0.06283734930226027,0.15385133266759954,-0.09101398336533927,0.08019990738565921,0.04547479121886133,0.03472511616679788,0.15166239091569766,,,
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,Travel,retrosplenial_pos,0.11005810835273046,0.10573025008621939,0.004327858266511067,0.19330080244864603,0.026815414256814885,0.16648538819183115,0.15769971883021694,,,
inbench_clip_07_09dQut5GJ68_000049_000059,inbench,Travel,early_visual_v1,0.1518480701413123,0.09882953129993483,0.05301853884137747,0.2753635421608238,0.02833259812180078,0.24703094403902304,0.1831457757375946,,,
inbench_clip_08_hOirknJr3os_000001_000011,inbench,Travel,scene_ppa,0.2511371632314708,0.05561031456793075,0.19552684866354003,0.4244000156476786,0.07787431081526294,0.3465257048324156,0.1798257689921754,,,
inbench_clip_09_TF4q9y0rJoc_000000_000010,inbench,Sports,early_visual_v1,0.16514185163143408,0.05268538249966365,0.11245646913177043,0.28429012775089724,0.045993575511970974,0.23829655223892626,0.17728451159853975,,,
inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,Sports,scene_ppa,0.19396842672009407,0.0455759667642312,0.14839245995586287,0.2835407928832746,0.1043960605569135,0.1791447323263611,0.10972697491725192,,,
inbench_clip_12_abaLFY_GI8k_000295_000305,inbench,Sports,scene_ppa,0.25490967673728165,0.21865559365326998,0.03625408308401168,0.4544496112500441,0.05536974222451915,0.39907986902552495,0.2719454709480146,,,
inbench_clip_13_KFcH6BYZWhc_000011_000021,inbench,Sports,retrosplenial_pos,0.05577043819671723,0.05560546460847454,0.00016497358824268948,0.09323187001792715,0.01830900637550731,0.07492286364241985,0.09130382412366711,,,
inbench_clip_14_UDD6YcChywc_000000_000010,inbench,Sports,early_visual_v1,0.2648130873939949,0.19657449507689623,0.06823859231709867,0.47760094544544796,0.05202522934254186,0.4255757161029061,0.3433712825438816,,,
inbench_clip_15_OGWuj_FtaQc_000010_000020,inbench,Pets & Animals,retrosplenial_pos,0.11824821113371087,0.031491507522221907,0.08675670361148896,0.21219611183410195,0.02430031043331979,0.18789580140078216,0.19226284953845307,,,
inbench_clip_16_kOf-vl-GmVI_000115_000125,inbench,Pets & Animals,early_visual_v1,0.11040516418559969,0.055840614997954674,0.054564549187645014,0.14108495935105753,0.07972536902014185,0.061359590330915675,0.1540310432853198,,,
inbench_clip_17_gjoZic4WjiQ_000012_000022,inbench,Pets & Animals,scene_ppa,0.06007982837965198,0.11621653262428294,-0.056136704244630964,0.10556216064945634,0.014597496109847619,0.09096466453960872,0.12337978782273751,,,
inbench_clip_18_q2ZBVyR1k-U_000021_000031,inbench,Pets & Animals,retrosplenial_pos,0.0633688614349416,0.038632013995165915,0.02473684743977568,0.1142804323263262,0.012457290543556987,0.10182314178276922,0.14019508205815057,,,
inbench_clip_19_qIWQHyOIpEY_000003_000013,inbench,Pets & Animals,scene_ppa,0.19524503728993903,0.032354479019562066,0.16289055827037696,0.2844999836456924,0.10599009093418565,0.17850989271150675,0.12573551572242592,,,
external_0m0-Q0zz_-c_000112_000122,external,How-to & Instructional,early_visual_v1,0.134951079291069,0.019107823686786318,0.11584325560428269,0.23803237500600657,0.03186978357613143,0.20616259142987514,0.06007087608244499,0m0-Q0zz_-c_000112_000122,0,0
external_0t0DB1B1w8Y_000000_000010,external,Sports,early_visual_v1,0.03280387421474937,0.02419127926418735,0.00861259495056202,0.05587351601094245,0.009734232418556282,0.04613928359238617,0.07205117390908244,0t0DB1B1w8Y_000000_000010,0,0
external_1-jIze6gy0g_000026_000036,external,How-to & Instructional,retrosplenial_pos,0.11295754017909923,0.013991316866585501,0.09896622331251373,0.19487808680588936,0.0310369935523091,0.16384109325358026,0.18127637388283402,1-jIze6gy0g_000026_000036,1,0
external_1HUWWCLza0w_000000_000010,external,Sports,early_visual_v1,0.10143287462305531,0.15641796418520137,-0.05498508956214607,0.16949038323216706,0.03337536601394356,0.1361150172182235,0.13448063106879748,1HUWWCLza0w_000000_000010,0,0
external_1YemrpNBpf4_000001_000011,external,Entertainment,early_visual_v1,0.10041236405882535,0.12253791029447453,-0.022125546235649177,0.16094709635978205,0.03987763175786865,0.1210694646019134,0.14508910167583222,1YemrpNBpf4_000001_000011,1,0
external_1kLhK8KfIEw_000020_000030,external,How-to & Instructional,retrosplenial_pos,0.27242322447910094,0.03751773398796299,0.23490549049113796,0.4564743090170079,0.08837213994119403,0.3681021690758139,0.3315123449046128,1kLhK8KfIEw_000020_000030,1,0
external_21T1JDdJgsM_000047_000057,external,Entertainment,early_visual_v1,0.1583359973334668,0.051064770055701036,0.10727122727776575,0.2787186914233167,0.0379533032436169,0.24076538817969978,0.09763596318416057,21T1JDdJgsM_000047_000057,0,0
external_2kJxrcNRS9w_000047_000057,external,Sports,early_visual_v1,0.26677788725306617,0.06714611856627933,0.19963176868678684,0.47645449177993043,0.05710128272620191,0.4193532090537285,0.20958406116872852,2kJxrcNRS9w_000047_000057,0,0
external_3su234u58DA_000172_000182,external,Entertainment,retrosplenial_pos,0.05704495188149217,0.1460912147955074,-0.08904626291401524,0.09318327832359599,0.020906625439388343,0.07227665288420765,0.09881634712057208,3su234u58DA_000172_000182,0,0
external_3ufJNSez5Is_000008_000018,external,How-to & Instructional,retrosplenial_pos,0.08667008715560878,0.07552219282602368,0.0111478943295851,0.16376494322480373,0.009575231086413838,0.1541897121383899,0.11843659178237897,3ufJNSez5Is_000008_000018,0,0
