video_id,clip_key,category,mean_visual_gap,max_visual_gap,top1_vs_uniform,dominant_clip_type,top_windows,adqa_fail,clip_fail,ensemble_fail,adqa_full_order,clip_full_order,ensemble_full_order
v2Hr1CH-yb0_000076_000086,external_v2Hr1CH-yb0_000076_000086,How-to & Instructional,0.42448630480375504,1.6433004227278163,3.8712684110916915,scene_spatial,"9.0-10.0s agent_action (action_state_or_agent_cue, peak=1.643); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.443); 0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.398)",0,0,0,1,1,1
F-mRnL_XmJU_000000_000010,external_F-mRnL_XmJU_000000_000010,Entertainment,0.36214732319312576,1.4402525697364772,3.976979746909298,scene_spatial,"0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=1.440); 9.0-10.0s scene_spatial (layout_replay_or_scene_cue, peak=0.381); 3.0-6.0s scene_spatial (static_ad_ok_low_gap, peak=0.265)",0,0,0,1,1,1
dlBeUWrse3I_000019_000029,external_dlBeUWrse3I_000019_000029,How-to & Instructional,0.32436410319642284,1.3775210861939686,4.246835801555369,agent_action,"0.0-3.0s agent_action (action_state_or_agent_cue, peak=1.378); 3.0-6.0s scene_spatial (static_ad_ok_low_gap, peak=0.216); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.142)",0,0,0,1,1,1
1HUWWCLza0w_000000_000010,external_1HUWWCLza0w_000000_000010,Sports,0.3700086369131312,1.368165970638435,3.6976595520921487,scene_spatial,"6.7-10.0s agent_action (action_state_or_agent_cue, peak=1.368); 3.3-6.7s scene_spatial (layout_replay_or_scene_cue, peak=0.375); 0.0-3.3s scene_spatial (static_ad_ok_low_gap, peak=0.237)",0,1,0,1,0,1
_TKzyWZHjm8_000002_000012,external__TKzyWZHjm8_000002_000012,Health & Wellness,0.4940985420573885,1.321116843086283,2.6737922309692586,scene_spatial,"0.0-3.6s scene_spatial (layout_replay_or_scene_cue, peak=1.321); 9.1-10.0s agent_action (action_state_or_agent_cue, peak=0.987); 6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.380)",0,0,0,1,1,1
iEAWgsSvJAE_000023_000033,external_iEAWgsSvJAE_000023_000033,Film & Animation,0.3210530627888026,1.3035904053019887,4.060358103979609,agent_action,"6.4-9.1s agent_action (action_state_or_agent_cue, peak=1.304); 3.6-6.4s agent_action (static_ad_ok_low_gap, peak=0.253); 0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.142)",0,0,0,1,1,1
d7_SY48r__8_000060_000070,external_d7_SY48r__8_000060_000070,How-to & Instructional,0.3357883333321757,1.2900624561536096,3.841891835108596,agent_action,"9.0-10.0s agent_action (action_state_or_agent_cue, peak=1.290); 6.0-9.0s agent_action (action_state_or_agent_cue, peak=0.810); 0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.153)",1,1,1,0,0,0
8vkNr_eysXY_000002_000012,external_8vkNr_eysXY_000002_000012,How-to & Instructional,0.4790613306121493,1.2667515246909897,2.6442366430876856,scene_spatial,"9.0-10.0s scene_spatial (layout_replay_or_scene_cue, peak=1.267); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=1.035); 3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=0.470)",1,1,0,0,0,1
EA3HCx0yTIY_000281_000291,external_EA3HCx0yTIY_000281_000291,Music,0.7485097452540056,1.1738605590729794,1.5682635617184006,agent_action,"0.0-3.6s agent_action (action_state_or_agent_cue, peak=1.174); 3.6-6.4s agent_action (action_state_or_agent_cue, peak=0.811); 6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.690)",0,0,0,1,1,1
S-C86j0keqc_000217_000227,external_S-C86j0keqc_000217_000227,Event,0.24730429018436648,1.1544561232218353,4.668160517398154,agent_action,"6.4-9.1s agent_action (action_state_or_agent_cue, peak=1.154); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.129); 0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.114)",0,0,0,1,1,1
