queue,target,budget_frac,k,hits,total_pos,recall,precision,random_expected_recall,queue_rows_available
mean_visual_gap,adqa_fail,0.05,3,1,10,0.1,0.3333333333333333,0.05,
mean_visual_gap,adqa_fail,0.1,6,2,10,0.2,0.3333333333333333,0.1,
mean_visual_gap,adqa_fail,0.2,12,3,10,0.3,0.25,0.2,
mean_visual_gap,adqa_fail,0.25,15,4,10,0.4,0.26666666666666666,0.25,
mean_visual_gap,adqa_fail,0.3333333333333333,20,5,10,0.5,0.25,0.3333333333333333,
mean_visual_gap,adqa_fail,0.5,30,7,10,0.7,0.23333333333333334,0.5,
mean_visual_gap,ensemble_fail,0.05,3,1,2,0.5,0.3333333333333333,0.05,
mean_visual_gap,ensemble_fail,0.1,6,1,2,0.5,0.16666666666666666,0.1,
mean_visual_gap,ensemble_fail,0.2,12,2,2,1.0,0.16666666666666666,0.2,
mean_visual_gap,ensemble_fail,0.25,15,2,2,1.0,0.13333333333333333,0.25,
mean_visual_gap,ensemble_fail,0.3333333333333333,20,2,2,1.0,0.1,0.3333333333333333,
mean_visual_gap,ensemble_fail,0.5,30,2,2,1.0,0.06666666666666667,0.5,
mean_visual_gap,clip_fail,0.05,3,1,20,0.05,0.3333333333333333,0.05,
mean_visual_gap,clip_fail,0.1,6,2,20,0.1,0.3333333333333333,0.1,
mean_visual_gap,clip_fail,0.2,12,5,20,0.25,0.4166666666666667,0.2,
mean_visual_gap,clip_fail,0.25,15,6,20,0.3,0.4,0.25,
mean_visual_gap,clip_fail,0.3333333333333333,20,7,20,0.35,0.35,0.3333333333333333,
mean_visual_gap,clip_fail,0.5,30,11,20,0.55,0.36666666666666664,0.5,
max_visual_gap,adqa_fail,0.05,3,0,10,0.0,0.0,0.05,
max_visual_gap,adqa_fail,0.1,6,0,10,0.0,0.0,0.1,
max_visual_gap,adqa_fail,0.2,12,2,10,0.2,0.16666666666666666,0.2,
max_visual_gap,adqa_fail,0.25,15,3,10,0.3,0.2,0.25,
max_visual_gap,adqa_fail,0.3333333333333333,20,5,10,0.5,0.25,0.3333333333333333,
max_visual_gap,adqa_fail,0.5,30,8,10,0.8,0.26666666666666666,0.5,
max_visual_gap,ensemble_fail,0.05,3,0,2,0.0,0.0,0.05,
max_visual_gap,ensemble_fail,0.1,6,0,2,0.0,0.0,0.1,
max_visual_gap,ensemble_fail,0.2,12,1,2,0.5,0.08333333333333333,0.2,
max_visual_gap,ensemble_fail,0.25,15,2,2,1.0,0.13333333333333333,0.25,
max_visual_gap,ensemble_fail,0.3333333333333333,20,2,2,1.0,0.1,0.3333333333333333,
max_visual_gap,ensemble_fail,0.5,30,2,2,1.0,0.06666666666666667,0.5,
max_visual_gap,clip_fail,0.05,3,0,20,0.0,0.0,0.05,
max_visual_gap,clip_fail,0.1,6,1,20,0.05,0.16666666666666666,0.1,
max_visual_gap,clip_fail,0.2,12,4,20,0.2,0.3333333333333333,0.2,
max_visual_gap,clip_fail,0.25,15,6,20,0.3,0.4,0.25,
max_visual_gap,clip_fail,0.3333333333333333,20,7,20,0.35,0.35,0.3333333333333333,
max_visual_gap,clip_fail,0.5,30,13,20,0.65,0.43333333333333335,0.5,
top1_vs_uniform,adqa_fail,0.05,3,0,10,0.0,0.0,0.05,
top1_vs_uniform,adqa_fail,0.1,6,0,10,0.0,0.0,0.1,
