dataset,target,feature_group,feature,n,positives,auc_high_value_bad,best_direction_auc,best_direction,spearman_vs_target,random_shuffle_p_ge_auc,category_shuffle_p_ge_auc
external60,adqa_fail,tribe_gap_route,mean_visual_gap,60,10,0.672,0.672,high_bad,0.22208189203207632,0.041391721655668866,0.024795040991801638
external60,adqa_fail,tribe_gap_route,max_visual_gap,60,10,0.616,0.616,high_bad,0.14977615974256311,0.1279744051189762,0.1825634873025395
external60,adqa_fail,tribe_gap_route,mean_scene_spatial_gap,60,10,0.684,0.684,high_bad,0.2375759775226863,0.03519296140771846,0.02499500099980004
external60,adqa_fail,tribe_gap_route,mean_agent_action_gap,60,10,0.588,0.588,high_bad,0.1136232935978065,0.1967606478704259,0.16596680663867228
external60,adqa_fail,tribe_gap_route,top1_vs_uniform,60,10,0.452,0.548,low_bad,-0.0619763419624399,0.6938612277544491,0.9080183963207359
external60,adqa_fail,tribe_gap_route,top1_share,60,10,0.508,0.508,high_bad,0.010329390327073317,0.4683063387322535,0.8290341931613677
external60,adqa_fail,tribe_gap_route,scene_agent_peak_apart,60,10,0.49,0.51,low_bad,-0.014915408491089419,0.6726654669066187,0.2913417316536693
external60,adqa_fail,tribe_gap_route,route_scene_spatial,60,10,0.52,0.52,high_bad,0.035245368842512066,0.5586882623475304,0.6076784643071386
external60,adqa_fail,tribe_gap_route,route_agent_action,60,10,0.48,0.52,low_bad,-0.035245368842512066,0.7428514297140572,0.7366526694661067
external60,adqa_fail,tribe_gap_route,accessibility_gap,60,10,0.794,0.794,high_bad,0.3796050945199444,0.0011997600479904018,0.0027994401119776045
external60,adqa_fail,tribe_gap_route,description_loss,60,10,0.622,0.622,high_bad,0.15752320248786808,0.11197760447910418,0.027194561087782444
external60,adqa_fail,tribe_gap_route,alignment_loss,60,10,0.622,0.622,high_bad,0.16100554849853763,0.10717856428714258,0.05658868226354729
external60,adqa_fail,category_only,category_loo_adqa_fail_rate,60,10,0.7,0.7,high_bad,0.2751714623100726,0.01779644071185763,1.0
