clip_idx,delta_tribe_minus_uniform,gt,tier,tribe_adqa_score,uniform_adqa_score
0,0.0,0,tier0_cross,0.0,0.0
0,0.0,1,tier1_vatex_short,0.0,0.0
0,0.0,2,tier2_vatex_long,0.0,0.0
0,0.1,3,tier3_va11y,0.1,0.0
1,0.0,0,tier0_cross,0.0,0.0
1,0.1,1,tier1_vatex_short,0.2,0.1
1,0.09999999999999998,2,tier2_vatex_long,0.6,0.5
1,0.09999999999999998,3,tier3_va11y,1.0,0.9
3,0.0,0,tier0_cross,0.0,0.0
3,-0.10000000000000003,1,tier1_vatex_short,0.3,0.4
3,-0.10000000000000003,2,tier2_vatex_long,0.3,0.4
3,-0.09999999999999998,3,tier3_va11y,0.4,0.5
4,0.0,0,tier0_cross,0.0,0.0
4,-0.09999999999999998,1,tier1_vatex_short,0.4,0.5
4,-0.2,2,tier2_vatex_long,0.3,0.5
4,-0.10000000000000009,3,tier3_va11y,0.7,0.8
5,0.0,0,tier0_cross,0.0,0.0
5,-0.2,1,tier1_vatex_short,0.2,0.4
5,0.10000000000000009,2,tier2_vatex_long,0.8,0.7
5,0.09999999999999998,3,tier3_va11y,0.9,0.8
6,0.0,0,tier0_cross,0.0,0.0
6,-0.2,1,tier1_vatex_short,0.0,0.2
6,-0.19999999999999998,2,tier2_vatex_long,0.1,0.3
6,-0.2,3,tier3_va11y,0.3,0.5
7,-0.1,0,tier0_cross,0.0,0.1
7,-0.1,1,tier1_vatex_short,0.1,0.2
7,-0.1,2,tier2_vatex_long,0.1,0.2
7,-0.10000000000000003,3,tier3_va11y,0.3,0.4
8,0.1,0,tier0_cross,0.1,0.0
8,-0.09999999999999998,1,tier1_vatex_short,0.2,0.3
8,0.09999999999999998,2,tier2_vatex_long,0.7,0.6
8,0.0,3,tier3_va11y,0.9,0.9
9,0.0,0,tier0_cross,0.0,0.0
9,0.2,1,tier1_vatex_short,0.4,0.2
9,0.19999999999999996,2,tier2_vatex_long,0.6,0.4
9,0.19999999999999996,3,tier3_va11y,0.7,0.5
11,0.0,0,tier0_cross,0.0,0.0
11,0.3,1,tier1_vatex_short,0.5,0.2
11,-0.10000000000000003,2,tier2_vatex_long,0.3,0.4
11,0.19999999999999996,3,tier3_va11y,0.6,0.4
12,0.0,0,tier0_cross,0.0,0.0
12,0.0,1,tier1_vatex_short,0.2,0.2
12,-0.09999999999999998,2,tier2_vatex_long,0.2,0.3
12,-0.09999999999999998,3,tier3_va11y,0.5,0.6
13,0.0,0,tier0_cross,0.0,0.0
13,-0.2,1,tier1_vatex_short,0.3,0.5
13,0.0,2,tier2_vatex_long,0.7,0.7
13,-0.09999999999999998,3,tier3_va11y,0.9,1.0
14,0.0,0,tier0_cross,0.0,0.0
14,0.09999999999999998,1,tier1_vatex_short,0.6,0.5
14,0.10000000000000009,2,tier2_vatex_long,0.8,0.7
14,0.0,3,tier3_va11y,1.0,1.0
15,0.0,0,tier0_cross,0.0,0.0
15,0.0,1,tier1_vatex_short,0.3,0.3
15,-0.2,2,tier2_vatex_long,0.3,0.5
15,-0.09999999999999998,3,tier3_va11y,0.4,0.5
16,0.0,0,tier0_cross,0.0,0.0
16,0.4,1,tier1_vatex_short,0.4,0.0
16,0.3,2,tier2_vatex_long,0.6,0.3
16,0.10000000000000009,3,tier3_va11y,0.8,0.7
17,0.09999999999999998,0,tier0_cross,0.3,0.2
17,0.0,1,tier1_vatex_short,0.3,0.3
17,0.2,2,tier2_vatex_long,0.5,0.3
17,-0.09999999999999998,3,tier3_va11y,0.5,0.6
18,-0.1,0,tier0_cross,0.0,0.1
18,0.0,1,tier1_vatex_short,0.1,0.1
18,0.09999999999999998,2,tier2_vatex_long,0.5,0.4
18,0.30000000000000004,3,tier3_va11y,0.9,0.6
19,0.0,0,tier0_cross,0.0,0.0
19,-0.1,1,tier1_vatex_short,0.1,0.2
19,-0.19999999999999996,2,tier2_vatex_long,0.4,0.6
19,0.30000000000000004,3,tier3_va11y,1.0,0.7
