clip_idx,category,uniform_n,tribe_n,uniform_times_s,tribe_times_s,high_need_windows_ge_0_4,uniform_high_need_frame_rate,tribe_high_need_frame_rate,delta_high_need_frame_rate,uniform_high_need_window_coverage,tribe_high_need_window_coverage,delta_high_need_window_coverage,routed_need_windows_non_low,uniform_routed_need_frame_rate,tribe_routed_need_frame_rate,router_blindspot_windows,uniform_router_frame_rate,tribe_router_frame_rate,delta_router_frame_rate,action_route_windows,uniform_action_frame_rate,tribe_action_frame_rate,delta_action_frame_rate,tribe_mean_nearest_uniform_delta_s,tribe_max_nearest_uniform_delta_s,tribe_frames_not_near_uniform_0_35s,tribe_duplicate_timestamps,materially_different,tribe_route,quality_risk
0,Food & Cooking,7,4,0.67;2.00;3.33;4.67;6.00;7.33;8.67,0.74;2.23;4.47;7.45,3,0.2857142857142857,0.5,0.2142857142857143,0.3333333333333333,0.3333333333333333,0.0,3,0.2857142857142857,0.5,2,0.14285714285714285,0.25,0.10714285714285715,0,0.0,0.0,nan,0.15500000000000005,0.22999999999999998,0,0,True,extended/integrated AD likely needed,clean
1,Food & Cooking,6,5,0.82;2.47;4.12;5.77;7.41;9.06,0.74;2.23;3.73;5.21;7.45,2,0.6666666666666666,0.8,0.13333333333333341,1.0,1.0,0.0,2,0.6666666666666666,0.8,2,0.8333333333333334,1.0,0.16666666666666663,0,0.0,0.0,nan,0.262,0.5599999999999996,2,0,False,low/normal AD pressure,clean
2,Food & Cooking,0,0,,,4,nan,nan,nan,0.0,0.0,0.0,4,nan,nan,0,nan,nan,nan,0,nan,nan,nan,nan,nan,0,0,False,low/normal AD pressure,clean
3,Food & Cooking,6,5,0.81;2.44;4.07;5.70;7.33;8.96,0.74;2.23;3.73;5.21;7.45,1,0.3333333333333333,0.4,0.06666666666666671,1.0,1.0,0.0,1,0.3333333333333333,0.4,0,0.0,0.0,nan,0,0.0,0.0,nan,0.24600000000000014,0.4900000000000002,1,0,False,low/normal AD pressure,clean
4,Food & Cooking,8,6,0.76;2.27;3.78;5.29;6.80;8.32;9.83;11.34,0.74;2.23;3.73;5.21;7.45;10.43,2,0.5,0.6666666666666666,0.16666666666666663,1.0,1.0,0.0,2,0.5,0.6666666666666666,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.24,0.6500000000000004,2,0,False,low/normal AD pressure,clean
5,Food & Cooking,7,4,0.73;2.18;3.64;5.09;6.55;8.01;9.46,1.49;4.47;6.71;8.20,5,1.0,1.0,0.0,0.8,0.6,-0.20000000000000007,5,1.0,1.0,1,0.42857142857142855,0.5,0.07142857142857145,1,0.42857142857142855,0.5,0.07142857142857145,0.415,0.6900000000000002,2,0,False,extended/integrated AD likely needed,clean
6,Travel,8,5,0.69;2.08;3.47;4.86;6.25;7.64;9.03;10.42,0.74;2.23;4.47;7.45;10.43,3,0.25,0.4,0.15000000000000002,0.3333333333333333,0.3333333333333333,0.0,3,0.25,0.4,2,0.25,0.4,0.15000000000000002,1,0.0,0.0,0.0,0.15799999999999997,0.39000000000000057,1,0,False,extended/integrated AD likely needed,clean
7,Travel,6,4,0.91;2.72;4.54;6.35;8.17;9.98,1.49;4.47;7.45;9.68,3,0.16666666666666666,0.25,0.08333333333333334,0.3333333333333333,0.3333333333333333,0.0,3,0.16666666666666666,0.25,2,0.3333333333333333,0.5,0.16666666666666669,1,0.0,0.0,0.0,0.4175000000000002,0.7199999999999998,2,0,False,extended/integrated AD likely needed,clean
8,Travel,7,5,0.69;2.07;3.45;4.83;6.21;7.59;8.96,0.74;2.23;3.73;5.21;7.45,2,0.5714285714285714,0.8,0.22857142857142865,1.0,1.0,0.0,2,0.5714285714285714,0.8,1,0.2857142857142857,0.4,0.11428571428571432,1,0.2857142857142857,0.4,0.11428571428571432,0.2019999999999999,0.3799999999999999,1,0,True,low/normal AD pressure,clean
9,Sports,8,8,0.63;1.88;3.14;4.39;5.65;6.90;8.16;9.42,1.49;4.47;6.71;8.20;9.68;9.99;9.99;9.99,5,1.0,1.0,0.0,0.8,0.8,0.0,5,1.0,1.0,1,0.5,0.25,-0.25,0,0.0,0.0,nan,0.33375,0.5700000000000003,4,2,True,extended/integrated AD likely needed,clean
