clip_idx,delta_tribe_minus_uniform,dominant_type,end_s,need_or_gap_score,route_or_recommendation,source,start_s,tribe_frame_count,uniform_frame_count,window_idx
0,0,,2.98,0.4720351619923033,extended_or_integrated_ad,coarse_need_windows,0.0,2,2,0
0,0,,11.92,0.5841811642054016,extended_or_integrated_ad,coarse_need_windows,8.94,0,0,3
0,0,,14.9,0.44880819580610953,extended_or_integrated_ad,coarse_need_windows,11.92,0,0,4
0,0,scene_spatial,10.43,0.30653183329322625,layout_replay_or_scene_cue,tribe_blind_spot_windows,7.45,1,1,2
0,0,scene_spatial,13.41,0.43270854396733743,layout_replay_or_scene_cue,tribe_blind_spot_windows,10.43,0,0,3
1,0,,2.98,0.8527670466409736,extended_or_integrated_ad,coarse_need_windows,0.0,2,2,0
1,0,,5.96,0.5235418090457391,extended_or_integrated_ad,coarse_need_windows,2.98,2,2,1
1,0,scene_spatial,4.47,0.5596178116433012,layout_replay_or_scene_cue,tribe_blind_spot_windows,0.0,3,3,0
1,0,scene_spatial,7.45,0.28103168705967096,layout_replay_or_scene_cue,tribe_blind_spot_windows,4.47,2,2,1
2,0,,14.9,0.6089611467500903,standard_ad_slot,coarse_need_windows,11.92,0,0,4
2,0,,17.88,0.6792965291072104,standard_ad_slot,coarse_need_windows,14.9,0,0,5
2,0,,20.86,0.8003662052649374,extended_or_integrated_ad,coarse_need_windows,17.88,0,0,6
2,0,,26.82,0.6208395891353169,standard_ad_slot,coarse_need_windows,23.84,0,0,8
3,0,,2.98,0.710663123229123,extended_or_integrated_ad,coarse_need_windows,0.0,2,2,0
4,0,,2.98,0.5713254998961601,extended_or_integrated_ad,coarse_need_windows,0.0,2,2,0
4,0,,5.96,0.4296050975096035,extended_or_integrated_ad,coarse_need_windows,2.98,2,2,1
4,0,agent_action,15.496,0.506424502407856,action_state_or_agent_cue,tribe_blind_spot_windows,13.559000000000001,0,0,4
5,-1,,2.98,0.6669367504852477,extended_or_integrated_ad,coarse_need_windows,0.0,1,2,0
5,-1,,5.96,0.619522408699223,extended_or_integrated_ad,coarse_need_windows,2.98,1,2,1
5,0,,8.94,0.7560088155850923,extended_or_integrated_ad,coarse_need_windows,5.96,2,2,2
5,-1,,11.92,0.8559741095030897,extended_or_integrated_ad,coarse_need_windows,8.94,0,1,3
5,0,,14.9,0.7296038009171194,extended_or_integrated_ad,coarse_need_windows,11.92,0,0,4
5,-1,agent_action,4.47,0.2805258472153855,action_state_or_agent_cue,tribe_blind_spot_windows,0.0,2,3,0
6,0,,2.98,0.7646262287500899,extended_or_integrated_ad,coarse_need_windows,0.0,2,2,0
6,0,,14.9,0.5002279658038973,extended_or_integrated_ad,coarse_need_windows,11.92,0,0,4
6,0,,17.88,0.5640718500839013,extended_or_integrated_ad,coarse_need_windows,14.9,0,0,5
6,0,scene_spatial,3.2509090909090905,0.2476089452574094,layout_replay_or_scene_cue,tribe_blind_spot_windows,0.0,2,2,0
6,0,agent_action,17.88,0.8281975921840942,action_state_or_agent_cue,tribe_blind_spot_windows,16.254545454545454,0,0,5
7,0,,11.92,0.548113416568436,extended_or_integrated_ad,coarse_need_windows,8.94,1,1,3
7,0,,14.9,0.742762168046048,extended_or_integrated_ad,coarse_need_windows,11.92,0,0,4
7,0,,16.39,0.939134955406189,extended_or_integrated_ad,coarse_need_windows,14.9,0,0,5
7,0,scene_spatial,4.47,0.21413057610834585,layout_replay_or_scene_cue,tribe_blind_spot_windows,0.0,2,2,0
