category,n_clips,clip_halluc_drop_mean,clip_para_drop_mean,clip_specific_margin_mean,clip_halluc_detect_rate,clip_specific_rate,adqa_halluc_drop_mean,adqa_para_drop_mean,adqa_specific_margin_mean,adqa_detect_rate,adqa_blind_rate,mean_visual_gap,max_visual_gap
How-to & Instructional,21,0.03194350927,0.01207961923,0.01986389004,0.9523809524,0.6666666667,0.1333333333,0.03333333333,0.1,0.6666666667,0.2857142857,0.2268661704,0.6925793345
Entertainment,10,0.03601356,0.008746001124,0.02726755887,0.9,0.9,0.17,0.01,0.16,0.7,0.3,0.2730358668,0.6496618338
People & Vlogs,8,0.04909542389,0.002249356359,0.04684606753,1,1,0.15,-0.1,0.25,0.5,0.5,0.1957364907,0.4389212427
Sports,6,0.03357277066,0.005812178055,0.0277605926,0.8333333333,0.8333333333,0.2,-0.1666666667,0.3666666667,0.8333333333,0.1666666667,0.2852251237,0.64299895
Health & Wellness,4,0.02002899349,0.004376426339,0.01565256715,1,0.75,0.175,-0.025,0.2,0.75,0.25,0.3806751435,0.9375611849
Event,3,0.04486257831,0.003126521905,0.04173605641,1,1,0.1333333333,0.03333333333,0.1,0.6666666667,0.3333333333,0.1738526935,0.6535100339
Food & Cooking,3,0.02022247513,0.007912367582,0.01231010755,1,0.6666666667,0.2666666667,-0.06666666667,0.3333333333,0.6666666667,0.3333333333,0.1505216901,0.2558611161
Film & Animation,2,0.04473862052,0.005966261029,0.03877235949,1,1,0.25,-0.05,0.3,1,0,0.3080152056,0.9094484897
Music,2,0.06568976492,-0.004746258259,0.07043602318,1,1,0.3,0,0.3,1,0,0.3998093807,0.6369933635
"Education, Seminar & Talks",1,0.09147702157,0.01639336348,0.0750836581,1,1,0.2,0.2,0,1,0,0.1194046795,0.266739915
