top_window_route,category,n_clips,clip_halluc_drop_mean,clip_para_drop_mean,clip_specific_margin_mean,clip_halluc_detect_rate,clip_specific_rate,adqa_halluc_drop_mean,adqa_para_drop_mean,adqa_specific_margin_mean,adqa_detect_rate,adqa_blind_rate,mean_visual_gap,max_visual_gap
layout_replay_or_scene_cue,How-to & Instructional,10,0.03872415572,0.006664574146,0.03205958158,1,0.7,0.12,0.06,0.06,0.8,0.1,0.248629423,0.6475545878
action_state_or_agent_cue,How-to & Instructional,7,0.03014194114,0.017403973,0.01273796814,0.8571428571,0.7142857143,0.1142857143,-0.01428571429,0.1285714286,0.4285714286,0.5714285714,0.2657558613,1.014039232
layout_replay_or_scene_cue,Entertainment,4,0.0503295213,0.008222937584,0.04210658371,1,1,0.25,0,0.25,1,0,0.4647995077,0.9551917998
static_ad_ok_low_gap,How-to & Instructional,4,0.01814463735,0.01629961282,0.001845024526,1,0.5,0.2,0.05,0.15,0.75,0.25,0.1044010796,0.2425863815
action_state_or_agent_cue,Entertainment,3,0.04117659231,0.0006781319777,0.04049846033,1,1,0.1666666667,0.03333333333,0.1333333333,0.6666666667,0.3333333333,0.2164107476,0.7286610344
layout_replay_or_scene_cue,People & Vlogs,3,0.02915982405,-0.002240717411,0.03140054146,1,1,0.1,-0.3,0.4,0.3333333333,0.6666666667,0.2091588813,0.4839863749
layout_replay_or_scene_cue,Sports,3,0.03345971306,0.01341363788,0.02004607519,0.6666666667,0.6666666667,0.06666666667,-0.3,0.3666666667,0.6666666667,0.3333333333,0.403227514,0.7245628725
static_ad_ok_low_gap,Entertainment,3,0.01176257928,0.01751128832,-0.005748709043,0.6666666667,0.6666666667,0.06666666667,0,0.06666666667,0.3333333333,0.6666666667,0.07397613144,0.1632893451
static_ad_ok_low_gap,People & Vlogs,3,0.06153013309,0.0004192094008,0.06111092369,1,1,0.03333333333,0,0.03333333333,0.3333333333,0.6666666667,0.1090881155,0.1847222199
action_state_or_agent_cue,Health & Wellness,2,0.03869116306,0.006014809012,0.03267635405,1,1,0.05,-0.05,0.1,0.5,0.5,0.2182951882,0.7014306809
action_state_or_agent_cue,People & Vlogs,2,0.06034675986,0.01172968745,0.0486170724,1,1,0.4,0.05,0.35,1,0,0.3055754676,0.7526220787
layout_replay_or_scene_cue,Event,2,0.034923926,0.007363304496,0.0275606215,1,1,0.1,0.05,0.05,0.5,0.5,0.1371268952,0.4030369892
layout_replay_or_scene_cue,Health & Wellness,2,0.001366823912,0.002738043666,-0.001371219754,1,0.5,0.3,0,0.3,1,0,0.5430550988,1.173691689
static_ad_ok_low_gap,Food & Cooking,2,0.02134519815,0.001637727022,0.01970747113,1,1,0.1,-0.1,0.2,0.5,0.5,0.08831570895,0.174672958
static_ad_ok_low_gap,Sports,2,0.03868374974,-0.003426477313,0.04211022705,1,1,0.25,-0.05,0.3,1,0,0.06582978172,0.1580695559
action_state_or_agent_cue,Event,1,0.06473988295,-0.005347043276,0.07008692622,1,1,0.2,0,0.2,1,0,0.2473042902,1.154456123
action_state_or_agent_cue,Film & Animation,1,0.05348700285,-0.0007410943508,0.0542280972,1,1,0.3,0,0.3,1,0,0.3210530628,1.303590405
action_state_or_agent_cue,Music,1,0.05767589808,-0.006961166859,0.06463706493,1,1,0.4,0,0.4,1,0,0.7485097453,1.173860559
action_state_or_agent_cue,Sports,1,0.02368998528,0.001485109329,0.02220487595,1,1,0.5,0,0.5,1,0,0.3700086369,1.368165971
layout_replay_or_scene_cue,Film & Animation,1,0.03599023819,0.01267361641,0.02331662178,1,1,0.2,-0.1,0.3,1,0,0.2949773485,0.5153065741
layout_replay_or_scene_cue,Food & Cooking,1,0.01797702909,0.0204616487,-0.002484619617,1,0,0.6,0,0.6,1,0,0.2749336523,0.4182374322
static_ad_ok_low_gap,"Education, Seminar & Talks",1,0.09147702157,0.01639336348,0.0750836581,1,1,0.2,0.2,0,1,0,0.1194046795,0.266739915
static_ad_ok_low_gap,Music,1,0.07370363176,-0.002531349659,0.07623498142,1,1,0.2,0,0.2,1,0,0.05110901615,0.100126168
