clip_idx,within_clip_rho,tribe_pressure,risk_score
0,0.316227766016838,0.6214341884397624,0.0
1,1.0,0.4734879573821467,0.0
3,1.0,0.4410749686063837,0.1174465648562957
4,1.0,0.2598825981271284,0.1237965014793331
5,1.0,1.2593217122146318,0.0
6,1.0,0.5964092854910492,0.0
7,1.0,0.5630882229323458,0.0
8,1.0,0.5168107749041408,0.0
9,1.0,1.1131514474504225,0.0
11,1.0,0.6521471291401642,0.215215029814331
12,0.7999999999999999,0.7773895351344968,0.280861072744793
13,1.0,0.52607180974068,0.0
14,0.7999999999999999,0.6915530363309926,0.0644179718060927
15,1.0,0.9666236079560244,0.2450350738936531
16,1.0,0.258300514979529,0.0
17,1.0,1.011932460644266,0.045903849237172
18,1.0,1.032651734741736,0.0
19,1.0,0.4289453794257133,0.1171860557291687
