clip_key,corpus,video_id,category,case_id,priority_score,window,why
external_dlBeUWrse3I_000019_000029,external,dlBeUWrse3I_000019_000029,How-to & Instructional,agent_action_cue,1.3775210861939686,0.0-3.0s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
external_iEAWgsSvJAE_000023_000033,external,iEAWgsSvJAE_000023_000033,Film & Animation,agent_action_cue,1.3035904053019887,6.4-9.1s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
external_d7_SY48r__8_000060_000070,external,d7_SY48r__8_000060_000070,How-to & Instructional,agent_action_cue,1.2900624561536096,9.0-10.0s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
external_EA3HCx0yTIY_000281_000291,external,EA3HCx0yTIY_000281_000291,Music,agent_action_cue,1.1738605590729794,0.0-3.6s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
external_S-C86j0keqc_000217_000227,external,S-C86j0keqc_000217_000227,Event,agent_action_cue,1.1544561232218353,6.4-9.1s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
external_iGmGQxox43I_000000_000010,external,iGmGQxox43I_000000_000010,How-to & Instructional,agent_action_cue,1.0863189082371136,0.0-3.6s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
external_BHxn3qfPAl4_000018_000028,external,BHxn3qfPAl4_000018_000028,Health & Wellness,agent_action_cue,1.0809082613645236,6.0-9.0s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
inbench_clip_16_kOf-vl-GmVI_000115_000125,inbench,kOf-vl-GmVI_000115_000125,Pets & Animals,agent_action_cue,1.078827954293111,13.4-16.4s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
inbench_clip_19_qIWQHyOIpEY_000003_000013,inbench,qIWQHyOIpEY_000003_000013,Pets & Animals,agent_action_cue,0.8348220035707599,0.0-4.2s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,0HEi6q3bGaw_000011_000021,Travel,agent_action_cue,0.8281975921840942,16.3-17.9s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
external_1YemrpNBpf4_000001_000011,external,1YemrpNBpf4_000001_000011,Entertainment,agent_action_cue,0.7834556265811858,0.0-3.0s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
external_3su234u58DA_000172_000182,external,3su234u58DA_000172_000182,Entertainment,agent_action_cue,0.7563181075466374,9.1-10.0s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,z8Q-s8AthrA_000002_000012,Sports,agent_action_cue,0.6471764276602607,0.0-3.3s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
external_gFBO3zrod9Y_000005_000015,external,gFBO3zrod9Y_000005_000015,People & Vlogs,agent_action_cue,0.5856489099335302,6.0-9.0s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
external_xW6hpK-DBMY_000080_000090,external,xW6hpK-DBMY_000080_000090,How-to & Instructional,agent_action_cue,0.4012098956713289,0.0-3.6s,Audio drops face/body/motion/object cortex most; route to action-state or agent cue.
external_Xdz1cxEjLYc_000007_000017,external,Xdz1cxEjLYc_000007_000017,Food & Cooking,audio_language_confound_check,0.34208528972355645,"9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.135); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.131); 0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.039)","Control cortex gap matches/exceeds visual gap; treat as audio/language anomaly, not visual AD need."
external_j6CgiNeWQwM_000842_000852,external,j6CgiNeWQwM_000842_000852,Food & Cooking,audio_language_confound_check,0.20112157838185815,"3.0-6.0s scene_spatial (static_ad_ok_low_gap, peak=0.214); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.190); 0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.149)","Control cortex gap matches/exceeds visual gap; treat as audio/language anomaly, not visual AD need."
external_Z5w-wkrjHuw_000345_000355,external,Z5w-wkrjHuw_000345_000355,Entertainment,audio_language_confound_check,0.18418374103334967,"9.1-10.0s agent_action (static_ad_ok_low_gap, peak=0.176); 0.0-3.6s scene_spatial (static_ad_ok_low_gap, peak=0.161); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.067)","Control cortex gap matches/exceeds visual gap; treat as audio/language anomaly, not visual AD need."
external_A0e7Z55s8pE_000008_000018,external,A0e7Z55s8pE_000008_000018,How-to & Instructional,audio_language_confound_check,0.10149133939099414,"0.0-3.3s agent_action (static_ad_ok_low_gap, peak=0.300); 6.7-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.168); 3.3-6.7s scene_spatial (static_ad_ok_low_gap, peak=0.150)","Control cortex gap matches/exceeds visual gap; treat as audio/language anomaly, not visual AD need."
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,vLGOZvJ_v4Q_000285_000295,Food & Cooking,audio_language_confound_check,0.05773001840576977,"0.0-3.3s scene_spatial (static_ad_ok_low_gap, peak=0.268); 3.3-6.6s scene_spatial (static_ad_ok_low_gap, peak=0.116); 13.1-16.4s scene_spatial (static_ad_ok_low_gap, peak=0.096)","Control cortex gap matches/exceeds visual gap; treat as audio/language anomaly, not visual AD need."
