video_id,condition,adqa,n_q
0m0-Q0zz_-c_000112_000122,baseline,0.5,5
0m0-Q0zz_-c_000112_000122,gap_targeted,0.3,5
0t0DB1B1w8Y_000000_000010,baseline,0.3,5
0t0DB1B1w8Y_000000_000010,gap_targeted,0.6,5
1-jIze6gy0g_000026_000036,gap_targeted,0.1,5
1-jIze6gy0g_000026_000036,baseline,0.1,5
1HUWWCLza0w_000000_000010,baseline,0.4,5
1HUWWCLza0w_000000_000010,gap_targeted,0.2,5
1YemrpNBpf4_000001_000011,baseline,0.0,5
1YemrpNBpf4_000001_000011,gap_targeted,0.1,5
1kLhK8KfIEw_000020_000030,baseline,0.1,5
1kLhK8KfIEw_000020_000030,gap_targeted,0.2,5
21T1JDdJgsM_000047_000057,baseline,0.4,5
21T1JDdJgsM_000047_000057,gap_targeted,0.5,5
2kJxrcNRS9w_000047_000057,baseline,0.6,5
2kJxrcNRS9w_000047_000057,gap_targeted,0.5,5
3su234u58DA_000172_000182,baseline,0.5,5
3su234u58DA_000172_000182,gap_targeted,0.4,5
3ufJNSez5Is_000008_000018,gap_targeted,0.4,5
3ufJNSez5Is_000008_000018,baseline,0.4,5
750QhTe9Z4U_000000_000010,gap_targeted,0.9,5
750QhTe9Z4U_000000_000010,baseline,0.4,5
8vkNr_eysXY_000002_000012,baseline,0.1,5
8vkNr_eysXY_000002_000012,gap_targeted,0.2,5
9eBhetL8n5Q_000222_000232,gap_targeted,0.3,5
9eBhetL8n5Q_000222_000232,baseline,0.2,5
9fuIpQgnNEQ_000049_000059,gap_targeted,0.4,5
9fuIpQgnNEQ_000049_000059,baseline,0.4,5
A0e7Z55s8pE_000008_000018,baseline,0.8,5
A0e7Z55s8pE_000008_000018,gap_targeted,0.8,5
AEkLDauJVi0_000069_000079,gap_targeted,0.4,5
AEkLDauJVi0_000069_000079,baseline,0.1,5
BHxn3qfPAl4_000018_000028,baseline,0.3,5
BHxn3qfPAl4_000018_000028,gap_targeted,0.5,5
BcW6Y7eufQE_000239_000249,gap_targeted,0.5,5
BcW6Y7eufQE_000239_000249,baseline,0.5,5
Bss3WwpDdS8_000041_000051,gap_targeted,0.2,5
Bss3WwpDdS8_000041_000051,baseline,0.3,5
Ccgwurislg8_000082_000092,baseline,0.1,5
Ccgwurislg8_000082_000092,gap_targeted,0.1,5
D297atE3gag_000203_000213,baseline,0.4,5
D297atE3gag_000203_000213,gap_targeted,0.2,5
EA3HCx0yTIY_000281_000291,gap_targeted,0.5,5
EA3HCx0yTIY_000281_000291,baseline,0.5,5
F-mRnL_XmJU_000000_000010,baseline,0.5,5
F-mRnL_XmJU_000000_000010,gap_targeted,0.4,5
GOH6fBhoi2o_000010_000020,baseline,0.1,5
GOH6fBhoi2o_000010_000020,gap_targeted,0.5,5
HpRmj5ce32c_000001_000011,baseline,0.6,5
HpRmj5ce32c_000001_000011,gap_targeted,0.5,5
N-LZPc27kjM_000229_000239,gap_targeted,0.4,5
N-LZPc27kjM_000229_000239,baseline,0.3,5
OASCPKazLIM_000132_000142,baseline,0.2,5
OASCPKazLIM_000132_000142,gap_targeted,0.1,5
RjPp0ZPW0yc_000000_000010,baseline,0.3,5
RjPp0ZPW0yc_000000_000010,gap_targeted,0.2,5
RlfVK8z5wJ0_000000_000010,baseline,0.5,5
RlfVK8z5wJ0_000000_000010,gap_targeted,0.4,5
S-C86j0keqc_000217_000227,gap_targeted,0.5,5
S-C86j0keqc_000217_000227,baseline,0.5,5
ShSSAEfnyDs_000000_000010,gap_targeted,0.2,5
ShSSAEfnyDs_000000_000010,baseline,0.1,5
Xdz1cxEjLYc_000007_000017,gap_targeted,0.5,5
Xdz1cxEjLYc_000007_000017,baseline,0.3,5
Z5w-wkrjHuw_000345_000355,baseline,0.2,5
Z5w-wkrjHuw_000345_000355,gap_targeted,0.4,5
ZcYB6tPK2Eo_000138_000148,gap_targeted,0.7,5
ZcYB6tPK2Eo_000138_000148,baseline,0.4,5
_TKzyWZHjm8_000002_000012,baseline,0.4,5
_TKzyWZHjm8_000002_000012,gap_targeted,0.3,5
_oAKCHh_Av4_000003_000013,baseline,0.3,5
_oAKCHh_Av4_000003_000013,gap_targeted,0.3,5
bgt29znHCzs_000343_000353,gap_targeted,0.4,5
bgt29znHCzs_000343_000353,baseline,0.2,5
c_gQ9CSaZY4_000000_000010,baseline,0.3,5
c_gQ9CSaZY4_000000_000010,gap_targeted,0.6,5
crjesEwF0Ks_000197_000207,gap_targeted,0.3,5
crjesEwF0Ks_000197_000207,baseline,0.6,5
d7_SY48r__8_000060_000070,gap_targeted,0.0,5
d7_SY48r__8_000060_000070,baseline,0.0,5
dlBeUWrse3I_000019_000029,gap_targeted,0.3,5
dlBeUWrse3I_000019_000029,baseline,0.4,5
eb-ufaFcUas_000008_000018,gap_targeted,0.2,5
eb-ufaFcUas_000008_000018,baseline,0.1,5
g8Idd47kGqo_000037_000047,gap_targeted,0.3,5
g8Idd47kGqo_000037_000047,baseline,0.2,5
gFBO3zrod9Y_000005_000015,baseline,0.5,5
