clip_key,corpus,T,scene_agent_time_rho,peak_apart,top1_share,uniform_null
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,10,-0.5082166652744772,1,0.18641404737209122,0.1
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,11,0.49164862501604173,1,0.2164307165657256,0.09090909090909091
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,10,0.9699489693037078,0,0.25548010512236563,0.1
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,10,0.8393948139788036,0,0.3458865773294049,0.1
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,11,0.7401949250586646,0,0.3275062017461932,0.09090909090909091
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,11,0.04942893442656968,1,0.34559222303342396,0.09090909090909091
inbench_clip_07_09dQut5GJ68_000049_000059,inbench,11,0.7082955617954291,0,0.4786381921985478,0.09090909090909091
inbench_clip_08_hOirknJr3os_000001_000011,inbench,10,0.9559957599787738,1,0.22728214254272033,0.1
inbench_clip_09_TF4q9y0rJoc_000000_000010,inbench,11,0.9435971117034843,0,0.2289953144122096,0.09090909090909091
inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,10,0.6262456320288037,1,0.29887519258222334,0.1
inbench_clip_12_abaLFY_GI8k_000295_000305,inbench,11,0.8548325298427885,0,0.2277633475876482,0.09090909090909091
inbench_clip_13_KFcH6BYZWhc_000011_000021,inbench,10,0.8749824122595901,1,0.24039575657795437,0.1
inbench_clip_14_UDD6YcChywc_000000_000010,inbench,10,0.7702144968323347,0,0.2575670837340031,0.1
inbench_clip_15_OGWuj_FtaQc_000010_000020,inbench,10,0.9813734389344716,0,0.3051020332938701,0.1
inbench_clip_16_kOf-vl-GmVI_000115_000125,inbench,11,0.6884184641917405,0,0.4316252167579156,0.09090909090909091
inbench_clip_17_gjoZic4WjiQ_000012_000022,inbench,11,0.6439726830913299,0,0.3555103379176899,0.09090909090909091
inbench_clip_18_q2ZBVyR1k-U_000021_000031,inbench,10,-0.372827037508865,1,0.1715496463072797,0.1
inbench_clip_19_qIWQHyOIpEY_000003_000013,inbench,10,0.7335398710922422,0,0.25248735326928806,0.1
external_0m0-Q0zz_-c_000112_000122,external,11,0.9308049893233226,0,0.3932449027702213,0.09090909090909091
external_0t0DB1B1w8Y_000000_000010,external,6,0.09728044500501674,1,0.2884433499525207,0.16666666666666666
external_1-jIze6gy0g_000026_000036,external,10,0.35629823908829117,1,0.25856851381566254,0.1
external_1HUWWCLza0w_000000_000010,external,9,0.3233166438055855,1,0.38828002772134723,0.1111111111111111
external_1YemrpNBpf4_000001_000011,external,10,-0.0021885185737259734,1,0.3044075188395642,0.1
external_1kLhK8KfIEw_000020_000030,external,10,0.7605862173856022,0,0.14474508226522056,0.1
external_21T1JDdJgsM_000047_000057,external,11,0.2856588600746786,1,0.29098097808502527,0.09090909090909091
external_2kJxrcNRS9w_000047_000057,external,11,0.5928614645681023,1,0.17768858292514353,0.09090909090909091
external_3su234u58DA_000172_000182,external,11,-0.18717795982587607,1,0.3251085844997885,0.09090909090909091
external_3ufJNSez5Is_000008_000018,external,10,0.6822960228603612,0,0.34747576889085396,0.1
external_750QhTe9Z4U_000000_000010,external,10,0.8580088292566508,0,0.37248243537444325,0.1
external_8vkNr_eysXY_000002_000012,external,10,0.8918033014839215,0,0.2891465839362419,0.1
external_9eBhetL8n5Q_000222_000232,external,11,0.6913213560001574,1,0.1984321335684136,0.09090909090909091
external_9fuIpQgnNEQ_000049_000059,external,11,0.5756360918577285,1,0.48417414426930566,0.09090909090909091
external_A0e7Z55s8pE_000008_000018,external,6,0.6827256446166404,0,0.3248102006405647,0.16666666666666666
external_AEkLDauJVi0_000069_000079,external,11,0.5352979133285164,0,0.14862221897293898,0.09090909090909091
external_BHxn3qfPAl4_000018_000028,external,10,0.8027700759805303,1,0.30567135291563446,0.1
external_BcW6Y7eufQE_000239_000249,external,11,0.7031122774454012,1,0.25901834392821016,0.09090909090909091
external_Bss3WwpDdS8_000041_000051,external,11,-0.3353635326527347,1,0.13766277745809588,0.09090909090909091
external_Ccgwurislg8_000082_000092,external,10,0.9530458741314771,1,0.3041066241826885,0.1
external_D297atE3gag_000203_000213,external,10,0.9330263337494256,0,0.32847042071050525,0.1
external_EA3HCx0yTIY_000281_000291,external,11,-0.2559343018612799,1,0.12644083681665527,0.09090909090909091
external_F-mRnL_XmJU_000000_000010,external,10,0.9780684874411699,0,0.48343215203242984,0.1
external_GOH6fBhoi2o_000010_000020,external,10,-0.8238916692308267,1,0.12256844743413758,0.1
external_HpRmj5ce32c_000001_000011,external,11,-0.2607500005248606,1,0.13615366714063698,0.09090909090909091
external_N-LZPc27kjM_000229_000239,external,10,0.9193890296598944,0,0.29764983118153115,0.1
external_OASCPKazLIM_000132_000142,external,11,0.532452953915526,1,0.1956016913238227,0.09090909090909091
external_RjPp0ZPW0yc_000000_000010,external,11,0.6182009963803258,0,0.17914882281210512,0.09090909090909091
external_RlfVK8z5wJ0_000000_000010,external,10,0.6531722183807471,0,0.19680334443543004,0.1
external_S-C86j0keqc_000217_000227,external,11,0.9608201932594173,0,0.45853672380953153,0.09090909090909091
external_ShSSAEfnyDs_000000_000010,external,5,0.8417334470562108,1,0.2921799141821699,0.2
external_Xdz1cxEjLYc_000007_000017,external,10,0.8375340705645771,1,0.2718890469699671,0.1
external_Z5w-wkrjHuw_000345_000355,external,11,-0.19131610111586422,1,0.1699389293506935,0.09090909090909091
external_ZcYB6tPK2Eo_000138_000148,external,10,0.8107606117433909,0,0.38674035977553195,0.1
external__TKzyWZHjm8_000002_000012,external,11,0.9271556969866401,0,0.282430843655898,0.09090909090909091
external__oAKCHh_Av4_000003_000013,external,10,0.7824254919482659,1,0.21279639908726297,0.1
external_bgt29znHCzs_000343_000353,external,10,0.8563220327314658,1,0.2802946817447721,0.1
external_c_gQ9CSaZY4_000000_000010,external,11,0.48924344436414907,0,0.21083935179434374,0.09090909090909091
external_crjesEwF0Ks_000197_000207,external,10,0.8171296834435803,0,0.29636360013033725,0.1
external_d7_SY48r__8_000060_000070,external,10,0.9863982817435747,0,0.3833727150886424,0.1
external_dlBeUWrse3I_000019_000029,external,10,0.8866766930617855,0,0.35635678079631317,0.1
external_eb-ufaFcUas_000008_000018,external,11,0.9613442444767305,0,0.39453013399099346,0.09090909090909091
external_g8Idd47kGqo_000037_000047,external,11,0.9029403044710124,0,0.2218143468655363,0.09090909090909091
external_gFBO3zrod9Y_000005_000015,external,10,0.6176262411199847,1,0.19191251499136228,0.1
external_h8wsO9A9v_c_000016_000026,external,11,-0.19095862035560113,1,0.18223359269356687,0.09090909090909091
external_heWD9j45Emw_000225_000235,external,10,0.36903643799566077,1,0.17314642704424762,0.1
external_iEAWgsSvJAE_000023_000033,external,11,0.977883050726702,0,0.39907860621852714,0.09090909090909091
external_iGmGQxox43I_000000_000010,external,11,0.702914176907192,0,0.5001406205986686,0.09090909090909091
external_iZP6gjlr_nM_000113_000123,external,10,0.8984910578325038,0,0.3875859579594926,0.1
external_j4CKRgv3jUg_000000_000010,external,10,0.9264755506797461,0,0.19009620220717552,0.1
external_j6CgiNeWQwM_000842_000852,external,10,0.20401696772347439,1,0.15062775325378636,0.1
