corpus,video_id,category,tier,gt,visual_fidelity,completeness,informativeness,overall,raw_text
inbench,abaLFY_GI8k_000295_000305,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,abaLFY_GI8k_000295_000305,Sports,tier1_vatex_short,1,45.0,30.0,25.0,35.0,
inbench,abaLFY_GI8k_000295_000305,Sports,tier2_vatex_long,2,25.0,20.0,22.0,22.0,
inbench,abaLFY_GI8k_000295_000305,Sports,tier3_va11y,3,45.0,40.0,45.0,42.0,
inbench,OGWuj_FtaQc_000010_000020,Pets & Animals,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,OGWuj_FtaQc_000010_000020,Pets & Animals,tier1_vatex_short,1,55.0,40.0,45.0,45.0,
inbench,OGWuj_FtaQc_000010_000020,Pets & Animals,tier2_vatex_long,2,45.0,35.0,40.0,38.0,
inbench,OGWuj_FtaQc_000010_000020,Pets & Animals,tier3_va11y,3,52.0,45.0,50.0,48.0,
inbench,z8Q-s8AthrA_000002_000012,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,z8Q-s8AthrA_000002_000012,Sports,tier1_vatex_short,1,55.0,35.0,40.0,42.0,
inbench,z8Q-s8AthrA_000002_000012,Sports,tier2_vatex_long,2,35.0,40.0,35.0,37.0,
inbench,z8Q-s8AthrA_000002_000012,Sports,tier3_va11y,3,42.0,50.0,45.0,42.0,
inbench,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,72.0,55.0,50.0,60.0,
inbench,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,72.0,55.0,50.0,58.0,
inbench,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,62.0,55.0,58.0,58.0,
inbench,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,62.0,45.0,40.0,48.0,
inbench,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,45.0,30.0,35.0,37.0,
inbench,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,62.0,55.0,58.0,58.0,
inbench,qIWQHyOIpEY_000003_000013,Pets & Animals,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,qIWQHyOIpEY_000003_000013,Pets & Animals,tier1_vatex_short,1,30.0,20.0,20.0,25.0,
inbench,qIWQHyOIpEY_000003_000013,Pets & Animals,tier2_vatex_long,2,15.0,20.0,15.0,15.0,
inbench,qIWQHyOIpEY_000003_000013,Pets & Animals,tier3_va11y,3,72.0,70.0,68.0,70.0,
inbench,UDD6YcChywc_000000_000010,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
inbench,UDD6YcChywc_000000_000010,Sports,tier1_vatex_short,1,55.0,45.0,40.0,45.0,
inbench,UDD6YcChywc_000000_000010,Sports,tier2_vatex_long,2,72.0,65.0,68.0,68.0,
inbench,UDD6YcChywc_000000_000010,Sports,tier3_va11y,3,72.0,68.0,65.0,70.0,
inbench,gjoZic4WjiQ_000012_000022,Pets & Animals,tier0_cross,0,2.0,2.0,2.0,2.0,
inbench,gjoZic4WjiQ_000012_000022,Pets & Animals,tier1_vatex_short,1,45.0,30.0,25.0,33.0,
inbench,gjoZic4WjiQ_000012_000022,Pets & Animals,tier2_vatex_long,2,55.0,45.0,50.0,50.0,
inbench,gjoZic4WjiQ_000012_000022,Pets & Animals,tier3_va11y,3,62.0,55.0,60.0,58.0,
