scorer,outcome,feature,spearman_rho,p,n
vlm_best_dims_mean,tier2_vs_tier1,mean_speech_density,0.5528787640476946,0.017325573520849073,18
vlm_best_dims_mean,tier2_vs_tier1,mean_standard_slot_score,-0.5506128674737286,0.017886468017427715,18
claude_vlm_specificity_norm,tier2_vs_tier1,mean_standard_slot_score,-0.5426822294648478,0.01996334840814269,18
vlm_best_dims_mean,tier3_margin,mean_extended_need_score,-0.5335397316821465,0.02258802979832137,18
vlm_best_dims_mean,spread,mean_need,-0.5139940529625884,0.02910292601202014,18
claude_vlm_specificity_norm,tier2_vs_tier1,mean_speech_density,0.5064278842813924,0.031983536474896136,18
vlm_best_dims_mean,spread,mean_extended_need_score,-0.4818694246524266,0.042870774952963146,18
vlm_best_dims_mean,spread,tribe_pressure,-0.4818694246524266,0.042870774952963146,18
claude_vlm_specificity_norm,tier3_margin,mean_extended_need_score,-0.47776730935305683,0.04493513187890345,18
vlm_best_dims_mean,tier3_margin,mean_speech_density,-0.476971228819835,0.0453443587643348,18
vlm_best_dims_mean,spread,max_need,-0.4705313205429577,0.04875973483109781,18
claude_vlm_specificity_norm,tier3_margin,mean_speech_density,-0.46774110250599754,0.050298523338327523,18
vlm_best_dims_mean,spread,extended_seconds_frac,-0.4656022164523648,0.05150273451386487,18
claude_vlm_completeness_norm,tier3_margin,mean_extended_need_score,-0.45788168725673023,0.05603105949351399,18
selected3_mean,tier3_margin,need_entropy,-0.4406604747162023,0.06720191241367016,18
claude_vlm_completeness_norm,tier2_vs_tier1,mean_extended_need_score,0.4390498210557777,0.06832536917198918,18
vlm_best_dims_mean,tier3_margin,mean_standard_slot_score,0.42712150419258377,0.07708333892431851,18
claude_vlm_specificity_norm,tier3_margin,mean_standard_slot_score,0.42687052073362886,0.07727605882286419,18
vlm_best_dims_mean,tier2_vs_tier1,mean_extended_need_score,0.4262125902992776,0.077782936839657,18
claude_vlm_completeness_norm,tier2_vs_tier1,mean_standard_slot_score,-0.42529473497885517,0.0784941378568097,18
strict_all4_80adqa_20clip,spread,max_need,0.4248556076186178,0.07883607876470657,18
claude_vlm_completeness_norm,tier2_vs_tier1,mean_speech_density,0.4230264963923012,0.0802721400107332,18
claude_vlm_specificity_norm,tier2_vs_tier1,mean_extended_need_score,0.41589267285861714,0.08605648033750418,18
vlm_best_dims_mean,spread,high_need_seconds_frac,-0.41534372872940084,0.08651382815992578,18
all4_mean,tier3_margin,need_entropy,-0.40144478844169246,0.09869191321215519,18
strict_all4_80adqa_20clip,tier3_margin,need_entropy,-0.40144478844169246,0.09869191321215519,18
vlm_best_dims_mean,spread,high_need_frac,-0.3987800469240447,0.10116082686397077,18
clip_mean_norm,tier3_margin,max_need,0.38906088751289986,0.11054194705770326,18
selected3_mean,tier3_margin,high_need_seconds_frac,-0.38218790735970815,0.1175393273378779,18
clip_mean_norm,tier3_margin,mean_need,0.36429308565531476,0.1372167161243322,18
selected3_mean,tier3_margin,mean_need,-0.3560371517027864,0.14702554764788872,18
strict_all4_80adqa_20clip,spread,mean_speech_density,0.35385572139303473,0.14969600895397409,18
strict_all4_80adqa_20clip,spread,mean_standard_slot_score,-0.35136815920398007,0.15278174745859796,18
selected3_mean,tier3_margin,high_need_frac,-0.3513606533187929,0.15279112379724058,18
selected3_mean,tier3_margin,tribe_pressure,-0.3498452012383901,0.1546923218138582,18
claude_vlm_completeness_norm,tier3_margin,mean_speech_density,-0.3160156654774052,0.20141485598618095,18
all4_mean,tier3_margin,high_need_seconds_frac,-0.306578917556839,0.21594195256667456,18
strict_all4_80adqa_20clip,tier3_margin,high_need_seconds_frac,-0.3024359592114763,0.22252919422503503,18
clip_mean_norm,tier3_margin,high_need_frac,0.30042375387316905,0.22577488112352395,18
clip_mean_norm,tier3_margin,high_need_seconds_frac,0.300364480038795,0.2258709495691011,18
all4_mean,tier3_margin,tribe_pressure,-0.2961816305469556,0.2327168574106845,18
all4_mean,tier3_margin,mean_need,-0.28998968008255926,0.2430922860390452,18
clip_mean_norm,tier3_margin,tribe_pressure,0.28586171310629516,0.25016959354548063,18
all4_mean,tier3_margin,high_need_frac,-0.28171223979110316,0.2574132538214526,18
strict_all4_80adqa_20clip,tier3_margin,tribe_pressure,-0.2776057791537668,0.26470972815378396,18
strict_all4_80adqa_20clip,spread,mean_extended_need_score,0.27417348544988135,0.2709059666368083,18
strict_all4_80adqa_20clip,tier3_margin,high_need_frac,-0.273396011310185,0.27232187262149127,18
selected3_mean,tier3_margin,mean_extended_need_score,-0.2672858617131063,0.28360817850986725,18
strict_all4_80adqa_20clip,tier3_margin,mean_need,-0.2652218782249742,0.2874842429174514,18
claude_vlm_completeness_norm,tier3_margin,mean_need,-0.2625326152668386,0.29258268662805553,18
claude_vlm_completeness_norm,tier3_margin,mean_standard_slot_score,0.2604150636519372,0.29663554459772484,18
selected3_mean,spread,high_need_seconds_frac,-0.25982689879419135,0.2977672368470015,18
claude_vlm_completeness_norm,tier2_vs_tier1,extended_seconds_frac,0.25868412456540746,0.29997348831931664,18
selected3_mean,tier3_margin,extended_seconds_frac,-0.25686341741248675,0.3035088217996201,18
all4_mean,tier3_margin,mean_extended_need_score,-0.2549019607843137,0.307345280412546,18
vlm_best_dims_mean,tier3_margin,extended_seconds_frac,-0.2547919382398054,0.307561330269831,18
claude_vlm_completeness_norm,tier2_vs_tier1,mean_need,0.2510331918036564,0.31499676418605366,18
selected3_mean,spread,need_entropy,-0.24943829040831497,0.31818366691771566,18
vlm_best_dims_mean,tier3_margin,mean_need,-0.24664602683178533,0.3238088129377634,18
selected3_mean,spread,high_need_frac,-0.2445977853448197,0.32797200684552696,18
claude_vlm_specificity_norm,tier3_margin,max_need,-0.23578126955085923,0.34624725943493057,18
all4_mean,tier3_margin,extended_seconds_frac,-0.2330414069266513,0.35204334174768676,18
claude_vlm_specificity_norm,tier3_margin,extended_seconds_frac,-0.2319670688625873,0.3543311009789756,18
strict_all4_80adqa_20clip,tier3_margin,extended_seconds_frac,-0.2288984485812886,0.36091210459712264,18
claude_vlm_completeness_norm,tier3_margin,need_entropy,-0.22842404714161937,0.3619356468106181,18
claude_vlm_completeness_norm,tier3_margin,tribe_pressure,-0.22842404714161937,0.3619356468106181,18
vlm_best_dims_mean,tier3_margin,tribe_pressure,-0.2280701754385965,0.36270020849471024,18
selected3_mean,tier2_vs_tier1,need_entropy,0.2280701754385965,0.36270020849471024,18
