vertex,mean_gap
0,0.11514743
1,0.12279607
2,0.057843708
3,0.066124834
4,0.072325036
5,0.064944774
6,0.15709637
7,0.10615164
8,0.027481366
9,0.055393767
10,0.10610847
11,0.0328742
12,0.051882327
13,0.063407816
14,0.043255404
15,0.06754817
16,0.07155211
17,0.039925348
18,0.054333996
19,0.037413463
20,0.06983562
21,0.060536794
22,0.043804437
23,0.05007891
24,0.039680682
25,0.021697212
26,0.08606471
27,0.05219947
28,0.054304324
29,0.06556555
30,0.051774167
31,0.065141596
32,0.20807569
33,0.10030575
34,0.16129622
35,0.049201258
36,0.040965963
37,0.051101964
38,0.039051663
39,0.030406848
40,0.09036727
41,0.061838854
42,0.07706875
43,0.06870655
44,0.11467238
45,0.07422687
46,0.064500704
47,0.089543656
48,0.07474735
49,0.061296243
50,0.048238136
51,0.08869992
52,0.033150483
53,0.058789544
54,0.06380183
55,0.073782474
56,0.042953603
57,0.053033642
58,0.046422455
59,0.060604274
60,0.05245577
61,0.08209502
62,0.04168178
63,0.046285637
64,0.048592027
65,0.077669844
66,0.053958327
67,0.081775226
68,0.06037119
69,0.06475906
70,0.19155663
71,0.08621337
72,0.098027304
73,0.10283983
74,0.05996132
75,0.07987741
76,0.09521911
77,0.02084453
78,0.035031777
79,0.024513688
80,0.057831246
81,0.04097391
82,0.04960748
83,0.100980185
84,0.04412868
85,0.07658508
86,0.11899074
87,0.1340042
88,0.10384633
89,0.068848886
90,0.0829538
91,0.08225521
92,0.050886016
93,0.049135607
94,0.055253316
95,0.044134643
96,0.06456855
97,0.08645233
98,0.07979368
99,0.060636997
100,0.03338026
101,0.062397093
102,0.109447494
103,0.11544808
104,0.0892289
105,0.0626967
106,0.06386714
107,0.05673893
108,0.0477718
109,0.04349277
110,0.052635938
111,0.06965933
112,0.026768837
113,0.03134205
114,0.04386625
115,0.10110594
116,0.046546984
117,0.032230966
118,0.0453768
119,0.03696464
120,0.09235129
121,0.05424993
122,0.06889959
123,0.082022995
124,0.11626973
125,0.049440216
126,0.040011387
127,0.055954445
128,0.07391873
129,0.15387264
130,0.15665577
131,0.15210462
132,0.11275772
133,0.09862186
134,0.074342445
135,0.17803393
136,0.1635572
137,0.18482012
138,0.104406275
139,0.12547247
140,0.13946074
141,0.06190172
142,0.053362668
143,0.04030282
144,0.0125704855
145,0.038263574
146,0.057290096
147,0.030740794
148,0.03466832
149,0.052119512
150,0.03016366
151,0.08428524
152,0.07044787
153,0.02682763
154,0.10941197
155,0.05364982
156,0.07596641
157,0.12435998
158,0.16531742
159,0.1661171
160,0.045773547
161,0.021191018
162,0.11317877
163,0.12755169
164,0.056079358
165,0.07024783
166,0.07662033
167,0.063955486
168,0.072006956
169,0.08770197
170,0.09921135
171,0.05686619
172,0.040907346
173,0.04250095
174,0.055883713
175,0.068713024
176,0.060524113
177,0.1020226
178,0.09605033
179,0.07135384
180,0.048914783
181,0.0746869
182,0.061327346
183,0.062718764
184,0.072836354
185,0.040304106
186,0.05542927
187,0.081958294
188,0.062394727
189,0.11013378
190,0.09690815
191,0.09275766
192,0.07783444
193,0.10957189
194,0.06503509
195,0.056575812
196,0.06127618
197,0.018833814
198,0.02938678
199,0.018023212
200,0.1023673
201,0.042391337
202,0.069801584
203,0.115165964
204,0.06968783
205,0.085566744
206,0.1184994
207,0.08808698
208,0.11307043
209,0.07270319
210,0.088111475
211,0.09373346
212,0.03543731
213,0.053546995
214,0.08847001
215,0.052458484
216,0.056631792
217,0.045964744
218,0.061264675
219,0.061929155
220,0.06379224
221,0.06894648
222,0.069591686
223,0.042200044
224,0.046595193
225,0.038771756
226,0.04774117
227,0.060353853
228,0.056863856
229,0.044441693
230,0.06261457
231,0.08653643
232,0.07167803
233,0.08526864
234,0.061813693
235,0.06334637
236,0.049779184
237,0.06478384
238,0.04241353
239,0.07004934
240,0.06685249
241,0.054474402
242,0.065144934
243,0.069004446
244,0.070178166
245,0.051891338
246,0.06415327
247,0.05745738
248,0.053711623
249,0.039559077
250,0.06073769
251,0.04440106
252,0.052576937
253,0.08811058
254,0.05277123
255,0.052227385
256,0.041334663
257,0.053156994
258,0.031173605
259,0.03289949
260,0.033905167
261,0.0335567
262,0.08016111
263,0.078029074
264,0.07175068
265,0.06736112
266,0.0478679
267,0.056610696
268,0.059651017
269,0.08863512
270,0.08868454
271,0.046985738
272,0.07123161
273,0.044624753
274,0.09659049
275,0.111415744
276,0.06863472
277,0.06946112
278,0.077451214
279,0.07904057
280,0.039528865
281,0.08143092
