roi,vertex,hemi,label_index,label_name,atlas
auditory_control,10,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,30,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,65,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,81,L,35,G_temp_sup-Plan_polar,nilearn_destrieux_surface_fsaverage5
auditory_control,83,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,85,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,123,L,75,S_temporal_transverse,nilearn_destrieux_surface_fsaverage5
auditory_control,124,L,34,G_temp_sup-Lateral,nilearn_destrieux_surface_fsaverage5
auditory_control,129,L,34,G_temp_sup-Lateral,nilearn_destrieux_surface_fsaverage5
auditory_control,132,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,133,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,151,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,203,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,204,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,205,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,269,L,75,S_temporal_transverse,nilearn_destrieux_surface_fsaverage5
auditory_control,270,L,33,G_temp_sup-G_T_transv,nilearn_destrieux_surface_fsaverage5
auditory_control,271,L,33,G_temp_sup-G_T_transv,nilearn_destrieux_surface_fsaverage5
auditory_control,284,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,285,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,286,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,288,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,289,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,290,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,291,L,34,G_temp_sup-Lateral,nilearn_destrieux_surface_fsaverage5
auditory_control,330,L,34,G_temp_sup-Lateral,nilearn_destrieux_surface_fsaverage5
auditory_control,331,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,332,L,34,G_temp_sup-Lateral,nilearn_destrieux_surface_fsaverage5
auditory_control,404,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,405,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,406,L,74,S_temporal_sup,nilearn_destrieux_surface_fsaverage5
auditory_control,436,L,35,G_temp_sup-Plan_polar,nilearn_destrieux_surface_fsaverage5
