roi,vertex,hemi,label_index,label_name,atlas
_unassigned_padding,20483,R,-1,_padding,hcpmmp1_glasser_fsaverage5
auditory_control,27,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,123,L,124,PBelt,hcpmmp1_glasser_fsaverage5
auditory_control,124,L,125,A5,hcpmmp1_glasser_fsaverage5
auditory_control,125,L,173,MBelt,hcpmmp1_glasser_fsaverage5
auditory_control,128,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,129,L,125,A5,hcpmmp1_glasser_fsaverage5
auditory_control,269,L,174,LBelt,hcpmmp1_glasser_fsaverage5
auditory_control,270,L,24,A1,hcpmmp1_glasser_fsaverage5
auditory_control,271,L,173,MBelt,hcpmmp1_glasser_fsaverage5
auditory_control,280,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,281,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,282,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,283,L,124,PBelt,hcpmmp1_glasser_fsaverage5
auditory_control,332,L,125,A5,hcpmmp1_glasser_fsaverage5
auditory_control,531,L,175,A4,hcpmmp1_glasser_fsaverage5
auditory_control,532,L,125,A5,hcpmmp1_glasser_fsaverage5
auditory_control,533,L,175,A4,hcpmmp1_glasser_fsaverage5
auditory_control,534,L,173,MBelt,hcpmmp1_glasser_fsaverage5
auditory_control,535,L,173,MBelt,hcpmmp1_glasser_fsaverage5
auditory_control,547,L,175,A4,hcpmmp1_glasser_fsaverage5
auditory_control,548,L,175,A4,hcpmmp1_glasser_fsaverage5
auditory_control,549,L,125,A5,hcpmmp1_glasser_fsaverage5
auditory_control,749,L,174,LBelt,hcpmmp1_glasser_fsaverage5
auditory_control,750,L,24,A1,hcpmmp1_glasser_fsaverage5
auditory_control,751,L,24,A1,hcpmmp1_glasser_fsaverage5
auditory_control,760,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,761,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,762,L,174,LBelt,hcpmmp1_glasser_fsaverage5
auditory_control,763,L,174,LBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1169,L,124,PBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1170,L,175,A4,hcpmmp1_glasser_fsaverage5
auditory_control,1171,L,124,PBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1172,L,24,A1,hcpmmp1_glasser_fsaverage5
auditory_control,1173,L,24,A1,hcpmmp1_glasser_fsaverage5
auditory_control,1174,L,173,MBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1175,L,173,MBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1203,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,1208,L,175,A4,hcpmmp1_glasser_fsaverage5
auditory_control,1209,L,124,PBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1210,L,124,PBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1211,L,124,PBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1212,L,124,PBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1213,L,175,A4,hcpmmp1_glasser_fsaverage5
auditory_control,1236,L,125,A5,hcpmmp1_glasser_fsaverage5
auditory_control,1350,L,125,A5,hcpmmp1_glasser_fsaverage5
auditory_control,1637,L,174,LBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1638,L,174,LBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1639,L,24,A1,hcpmmp1_glasser_fsaverage5
auditory_control,1640,L,24,A1,hcpmmp1_glasser_fsaverage5
auditory_control,1641,L,173,MBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1658,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,1659,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,1660,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,1661,L,124,PBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1662,L,174,LBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1663,L,174,LBelt,hcpmmp1_glasser_fsaverage5
auditory_control,1746,L,175,A4,hcpmmp1_glasser_fsaverage5
auditory_control,1747,L,125,A5,hcpmmp1_glasser_fsaverage5
auditory_control,1748,L,125,A5,hcpmmp1_glasser_fsaverage5
auditory_control,1883,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,1884,L,104,RI,hcpmmp1_glasser_fsaverage5
auditory_control,1903,L,104,RI,hcpmmp1_glasser_fsaverage5
