metric,spearman_rho,spearman_p,kendall_tau,kendall_p,pairwise_wins,pairwise_total,full_order_clips,full_order_total,lag_s
need_weighted_clip,0.9759000729485332,3.4364028076121416e-05,0.9258200997725515,0.0021801703774041057,6,6,2,2,0.0
critical_weighted_clip,0.9759000729485332,3.4364028076121416e-05,0.9258200997725515,0.0021801703774041057,6,6,2,2,0.0
clip_mean,0.8783100656536799,0.0041039337200315705,0.7715167498104596,0.010656374721291434,6,6,1,2,0.0
clip_top3,0.8783100656536799,0.0041039337200315705,0.7715167498104596,0.010656374721291434,6,6,1,2,0.0
clip_mean,0.8783100656536799,0.0041039337200315705,0.7715167498104596,0.010656374721291434,6,6,1,2,2.5
clip_top3,0.8783100656536799,0.0041039337200315705,0.7715167498104596,0.010656374721291434,6,6,1,2,2.5
need_weighted_clip,0.8783100656536799,0.0041039337200315705,0.7715167498104596,0.010656374721291434,6,6,1,2,2.5
critical_weighted_clip,0.7807200583588266,0.022214514665634257,0.6943650748294136,0.021539452429296762,5,6,1,2,2.5
clip_top3,0.7319250547114,0.038998273987822366,0.6172133998483676,0.04105088656045887,5,6,1,2,5.0
need_weighted_clip,0.6831300510639734,0.06183472987214339,0.5400617248673217,0.07383431516145597,5,6,1,2,5.0
critical_weighted_clip,0.6831300510639734,0.06183472987214339,0.5400617248673217,0.07383431516145597,5,6,1,2,5.0
clip_mean,0.7319250547114,0.038998273987822366,0.6172133998483676,0.04105088656045887,4,6,1,2,5.0
