clip_idx,video_id,category,tier,gt,adqa_claude_haiku_4_5_claude_haiku_4_5_score,n_questions
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,0.0,5
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,0.0,5
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,0.0,5
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,0.0,5
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,0.0,5
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,0.1,5
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,0.5,5
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,0.9,5
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,0.0,5
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,0.4,5
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,0.4,5
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,0.5,5
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,0.0,5
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,0.5,5
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,0.5,5
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,0.8,5
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier0_cross,0,0.0,5
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier1_vatex_short,1,0.4,5
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier2_vatex_long,2,0.7,5
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier3_va11y,3,0.8,5
6,0HEi6q3bGaw_000011_000021,Travel,tier0_cross,0,0.0,5
6,0HEi6q3bGaw_000011_000021,Travel,tier1_vatex_short,1,0.2,5
6,0HEi6q3bGaw_000011_000021,Travel,tier2_vatex_long,2,0.3,5
6,0HEi6q3bGaw_000011_000021,Travel,tier3_va11y,3,0.5,5
7,09dQut5GJ68_000049_000059,Travel,tier0_cross,0,0.1,5
7,09dQut5GJ68_000049_000059,Travel,tier1_vatex_short,1,0.2,5
7,09dQut5GJ68_000049_000059,Travel,tier2_vatex_long,2,0.2,5
7,09dQut5GJ68_000049_000059,Travel,tier3_va11y,3,0.4,5
8,hOirknJr3os_000001_000011,Travel,tier0_cross,0,0.0,5
8,hOirknJr3os_000001_000011,Travel,tier1_vatex_short,1,0.3,5
8,hOirknJr3os_000001_000011,Travel,tier2_vatex_long,2,0.6,5
