metric,spearman_rho,spearman_p,kendall_tau,kendall_p,pairwise_wins,pairwise_total,full_order_clips,full_order_total
ensemble_mean_clip_mean,0.929094137704644,5.889444091635268e-32,0.83647168929561,1.0707146663380304e-19,54,54,15,18
ensemble_w50_adqa_clip_mean,0.929094137704644,5.889444091635268e-32,0.83647168929561,1.0707146663380304e-19,54,54,15,18
ensemble_mean_clip_top3,0.9284910256386235,7.840406438839172e-32,0.835536561638488,1.175353452493656e-19,54,54,15,18
ensemble_w50_adqa_clip_top3,0.9284910256386235,7.840406438839172e-32,0.835536561638488,1.175353452493656e-19,54,54,15,18
ensemble_mean_need_weighted_clip,0.927887913572603,1.041166625761162e-31,0.8346014339813661,1.2900869017918399e-19,54,54,15,18
ensemble_w50_adqa_need_weighted_clip,0.927887913572603,1.041166625761162e-31,0.8346014339813661,1.2900869017918399e-19,54,54,15,18
ensemble_mean_critical_weighted_clip,0.9272848015065823,1.3792319212685385e-31,0.8336663063242441,1.4158758954260167e-19,54,54,15,18
ensemble_w50_adqa_critical_weighted_clip,0.9272848015065823,1.3792319212685385e-31,0.8336663063242441,1.4158758954260167e-19,54,54,15,18
ensemble_w25_adqa_clip_mean,0.923357016129536,8.129509454260207e-31,0.8274121745378923,2.5878237359322995e-19,53,54,13,18
ensemble_w25_adqa_need_weighted_clip,0.919738373349146,3.8400228770811934e-30,0.8208676714624512,4.926295645924752e-19,54,54,14,18
ensemble_w25_adqa_critical_weighted_clip,0.9191352662190811,4.93884594935948e-30,0.8189978134408967,5.915670159371486e-19,54,54,14,18
ensemble_w25_adqa_clip_top3,0.9143104091785609,3.45529816719292e-29,0.8124533103654558,1.1189294698050037e-18,53,54,13,18
ensemble_w75_adqa_need_weighted_clip,0.9106917663981707,1.380736029413652e-28,0.8171279554193421,7.1008523260217305e-19,54,54,15,18
ensemble_w75_adqa_critical_weighted_clip,0.9106917663981707,1.380736029413652e-28,0.8171279554193421,7.1008523260217305e-19,54,54,15,18
ensemble_w75_adqa_clip_mean,0.910088659268106,1.7293951426185674e-28,0.8161930264085648,7.778527522217059e-19,54,54,15,18
ensemble_w75_adqa_clip_top3,0.9082793378779108,3.3664284321278467e-28,0.8143231683870104,9.33122186744791e-19,54,54,15,18
ensemble_product_clip_mean,0.9024198013587671,2.657349931771163e-27,0.8175021609971478,2.8545333927485932e-18,54,54,12,18
ensemble_product_need_weighted_clip,0.9018092331575771,3.270897817714525e-27,0.8165381254299341,3.125562551474508e-18,54,54,12,18
ensemble_product_critical_weighted_clip,0.9018092331575771,3.270897817714525e-27,0.8165381254299341,3.125562551474508e-18,54,54,12,18
ensemble_product_clip_top3,0.9018092331575771,3.270897817714525e-27,0.8165381254299341,3.125562551474508e-18,54,54,12,18
adqa_norm_clip,0.8535892374882668,1.6592027225893547e-21,0.7880135575155107,2.5505828430448817e-16,51,54,8,18
critical_weighted_clip_norm_clip,0.8034266451836027,2.0251153835414403e-17,0.6961807101330864,9.839580714305231e-14,48,54,11,18
adqa_v2_score,0.8029279984245423,2.1928779813496476e-17,0.6959315317081162,1.1733705949785366e-13,51,54,8,18
need_weighted_clip_norm_clip,0.8016048160562024,2.7055660508782877e-17,0.6952244179488376,1.0631135015736933e-13,48,54,11,18
clip_top3_norm_clip,0.8009975396804021,2.9778666377136084e-17,0.6923555413960913,1.340049524318777e-13,48,54,10,18
clip_mean_norm_clip,0.7985684341772016,4.355837107488803e-17,0.6894866648433452,1.687563956748002e-13,48,54,11,18
clip_top3,0.7346227922651773,2.061455081953742e-13,0.5876824758111825,4.4282739646451975e-11,48,54,10,18
need_weighted_clip,0.732829571454115,2.5224836431773755e-13,0.5876824758111825,4.4282739646451975e-11,48,54,11,18
critical_weighted_clip,0.7274499090209282,4.577570588806313e-13,0.5840935751955417,5.8019772549151904e-11,48,54,11,18
clip_mean,0.7250589479395119,5.938878873120634e-13,0.5805046745799008,7.589774234925841e-11,48,54,11,18
