run,kind,rho,tau,wins,full,w_adqa,clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9270404484432511,0.8347312413630313,53/54,13/18,0.59,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9270404484432511,0.8347312413630313,53/54,13/18,0.60,critical_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9269308461160903,0.8322927834243151,54/54,17/18,0.90,need_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9264369064846291,0.8347312413630313,53/54,13/18,0.62,critical_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,adqa_norm,0.926350922884684,0.8447535756311019,52/54,13/18,,
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.926350922884684,0.8447535756311019,52/54,13/18,1.00,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.926350922884684,0.8447535756311019,52/54,13/18,1.00,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.926350922884684,0.8447535756311019,52/54,13/18,1.00,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.926350922884684,0.8447535756311019,52/54,13/18,1.00,critical_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.71,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.72,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.73,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.74,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.75,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.76,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.77,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.91,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.92,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.93,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.94,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.95,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.96,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.97,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.98,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.99,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.87,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.88,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.91,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.92,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.90,critical_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9263269823726924,0.8313544601059111,54/54,17/18,0.91,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9258333645260074,0.8337949191629606,53/54,13/18,0.61,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9258333645260074,0.8337949191629606,53/54,13/18,0.63,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9258333645260074,0.8337949191629606,53/54,13/18,0.64,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9258333645260074,0.8337949191629606,53/54,14/18,0.65,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9258333645260074,0.83285859696289,53/54,13/18,0.55,critical_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,16/18,0.67,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,16/18,0.68,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.69,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.70,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.78,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.82,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.83,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.88,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.89,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.90,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.72,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.73,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.75,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.89,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.93,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.87,critical_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.88,critical_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.89,critical_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.92,critical_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9257231186292942,0.8304161367875071,54/54,17/18,0.93,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.83285859696289,53/54,14/18,0.66,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.83285859696289,53/54,14/18,0.67,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.83285859696289,53/54,14/18,0.68,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.8319222747628192,53/54,13/18,0.53,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.8319222747628192,53/54,13/18,0.54,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.8319222747628192,53/54,13/18,0.56,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.8319222747628192,53/54,13/18,0.57,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.8319222747628192,53/54,13/18,0.58,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.8309859525627487,53/54,13/18,0.46,need_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.8309859525627487,53/54,13/18,0.49,need_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.8309859525627487,53/54,13/18,0.38,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.8309859525627487,53/54,13/18,0.48,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.8309859525627487,53/54,13/18,0.49,critical_weighted_clip
adqa_q-gpt-4o_g-gpt-4o,ensemble,0.9252298225673853,0.8309859525627487,53/54,13/18,0.50,critical_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,16/18,0.66,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,16/18,0.67,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,16/18,0.68,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.69,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.70,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.71,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.72,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.87,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.88,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.89,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.90,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.91,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.92,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.93,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.94,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.95,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.96,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.97,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.98,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.99,clip_mean
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,16/18,0.66,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.80,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.81,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.84,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.85,clip_top3
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.71,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.74,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.76,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.80,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.94,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.95,need_weighted_clip
adqa_q-gpt-4o_g-claude-haiku-4-5,ensemble,0.9251192548858961,0.8294778134691032,54/54,17/18,0.96,need_weighted_clip
