clip_idx,tier,gt,clip_mean,need_weighted_clip,critical_weighted_clip,clip_mean_norm,need_weighted_clip_norm,critical_weighted_clip_norm,word_len,char_len,word_len_norm,cc,cg,gc,gg,all4_mean,all4_median,all4_trimmed_mean,selected3_mean,strict_all4_80adqa_20clip,strict_all4_50adqa_50clip,clip_mean_norm_lenresid,all4_mean_lenresid,all4_median_lenresid,selected3_mean_lenresid,strict_all4_50adqa_50clip_lenresid,loocv_all4_clip
0,tier0_cross,0,0.0865654482816656,0.0883679883029392,0.0871333619732085,0.0,0.0,0.0,35,215,0.8275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,tier1_vatex_short,1,0.2418647892773151,0.2449236470314721,0.2477790164998196,1.0,1.0,1.0,11,59,0.0,0.0,0.0,0.6666666666666667,0.28571428571428575,0.23809523809523814,0.14285714285714288,0.1428571428571429,0.3174603174603175,0.39047619047619053,0.6190476190476191,0.6486272821968506,0.6162849334171714,0.6336987792551123,0.6162849334171714,0.6375599308993621,0.23809523809523814
0,tier2_vatex_long,2,0.1852338624497254,0.183292148634207,0.1817715584144456,0.6353434183009434,0.6063285166578748,0.5891114622435067,25,129,0.4827586206896552,0.0,0.0,0.8333333333333334,0.4285714285714286,0.31547619047619047,0.2142857142857143,0.21428571428571425,0.42063492063492064,0.37944963604114107,0.47540980438856695,0.5038156448010014,0.700809951004501,0.5947437990824974,0.700809951004501,0.5712258754311581,0.31547619047619047
0,tier3_va11y,3,0.2192670193811257,0.2215056437291584,0.2264152230523467,0.8544889517797603,0.8504173947303914,0.8670129390650031,40,219,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.5708977903559521,0.6772444758898801,1.0,1.0,1.0,1.0,1.0,0.5
1,tier0_cross,0,0.0796914010619123,0.0943041410364665,0.0983595948272381,0.0,0.0,0.0,35,215,0.4489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,tier1_vatex_short,1,0.2143332200745741,0.2178523897268295,0.218956494602766,0.7051487689861711,0.6831499602229375,0.676714268277162,13,57,0.0,0.11111111111111112,0.1,0.1,0.1,0.10277777777777777,0.1,0.1,0.1037037037037037,0.22325197601945646,0.4039632733819744,0.8670294134086493,0.5232585788186509,0.5091927517114551,0.5342525606515756,0.7121857550850547,0.10277777777777777
1,tier2_vatex_long,2,0.2388844626645247,0.2332874311233949,0.2315038784824577,0.8337290170572141,0.7684967622041584,0.747122327827141,19,89,0.12244897959183673,0.5555555555555556,0.6,0.6,0.5,0.5638888888888889,0.5777777777777777,0.5777777777777777,0.5518518518518518,0.617856914522554,0.6988089529730515,0.9856365125949814,1.0,1.0,1.0,1.0,0.5638888888888889
1,tier3_va11y,3,0.2706324122846126,0.2751549876793391,0.2765690776604492,1.0,1.0,1.0,62,359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7839572316725724,0.7748558141326218,0.7910709846232882,0.9062042280802454,1.0
3,tier0_cross,0,0.0725141568109393,0.0705004179598472,0.0659167543053627,0.0,0.0,0.0,35,215,0.5365853658536586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,tier1_vatex_short,1,0.259676069021225,0.258380104660823,0.2563500006993611,0.8824616108250226,0.8856068151397181,0.8927557084032052,13,58,0.0,0.8,0.6666666666666667,0.8,0.2,0.6166666666666667,0.7333333333333334,0.7333333333333333,0.6,0.669825655498338,0.7495641387458447,0.8025076540563074,0.7336595384801256,0.7686428649415875,0.7585072534109907,0.7708270286367462,0.6166666666666667
3,tier2_vatex_long,2,0.2741825108726819,0.2735695332534962,0.2740102112293243,0.9508589566973668,0.9572050901632393,0.9755472065306242,19,86,0.14634146341463414,0.8,1.0,1.0,0.6,0.85,0.9,0.8999999999999999,0.7999999999999999,0.8701717913394734,0.9004294783486834,0.8805993748914399,0.9861664854415849,0.9325253848673436,0.9480666558809254,0.9291763338681002,0.85
