kind,combo,rho,tau,wins,full,w_adqa,clip
adqa_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9444894909535001,0.8650524137967655,53/54,16/18,1.00,
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9444894909535001,0.8650524137967655,53/54,16/18,1.00,clip_mean
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9444894909535001,0.8650524137967655,53/54,16/18,1.00,clip_top3
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9444894909535001,0.8650524137967655,53/54,16/18,1.00,need_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9444894909535001,0.8650524137967655,53/54,16/18,1.00,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9433283499186053,0.8565523543653466,54/54,17/18,0.84,clip_mean
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9433283499186053,0.8565523543653466,54/54,17/18,0.81,clip_top3
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9433283499186053,0.8565523543653466,54/54,16/18,0.68,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9433283499186053,0.8565523543653466,53/54,16/18,0.93,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9433283499186053,0.8565523543653466,53/54,16/18,0.94,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,17/18,0.81,clip_mean
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,17/18,0.83,clip_mean
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,17/18,0.82,clip_top3
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,17/18,0.84,clip_top3
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,17/18,0.80,need_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,17/18,0.80,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,17/18,0.82,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,17/18,0.83,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,17/18,0.84,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,53/54,16/18,0.91,clip_top3
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,16/18,0.78,need_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,16/18,0.79,need_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,16/18,0.62,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,16/18,0.65,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,16/18,0.66,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,54/54,16/18,0.67,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,53/54,16/18,0.92,critical_weighted_clip
ensemble_mean,claude>claude+gpt-4o>claude+gpt-4o>gpt-4o,0.9427248129065012,0.8556162315736905,53/54,16/18,0.95,critical_weighted_clip
