clip_idx,window_idx,start_s,end_s,need_score,speech_density,recommendation,raw_trs
0,0,0.0,2.98,0.4720351619923033,1.0,extended_or_integrated_ad,2
0,1,2.98,5.96,0.1776389662873521,1.0,low_ad_need,2
0,2,5.96,8.94,0.2593183505830911,1.0,low_ad_need,2
0,3,8.94,11.92,0.5841811642054016,1.0,extended_or_integrated_ad,2
0,4,11.92,14.9,0.44880819580610953,1.0,extended_or_integrated_ad,2
1,0,0.0,2.98,0.8527670466409736,1.0,extended_or_integrated_ad,2
1,1,2.98,5.96,0.5235418090457391,1.0,extended_or_integrated_ad,2
1,2,5.96,8.94,0.18687087585133139,1.0,low_ad_need,2
1,3,8.94,11.92,0.03727153451571694,1.0,low_ad_need,2
1,4,11.92,14.9,0.23880076100180544,1.0,low_ad_need,2
1,5,14.9,16.39,0.14096546877151764,1.0,low_ad_need,1
2,0,0.0,2.98,0.15403646112930114,0.0,low_ad_need,2
2,1,2.98,5.96,0.09983628569633009,0.0,low_ad_need,2
2,2,5.96,8.94,0.268343820100517,0.0,low_ad_need,2
2,3,8.94,11.92,0.3680251146682146,0.0,low_ad_need,2
2,4,11.92,14.9,0.6089611467500903,0.0,standard_ad_slot,2
2,5,14.9,17.88,0.6792965291072104,0.0,standard_ad_slot,2
2,6,17.88,20.86,0.8003662052649374,1.0,extended_or_integrated_ad,2
2,7,20.86,23.84,0.3204311138757737,0.0,low_ad_need,2
2,8,23.84,26.82,0.6208395891353169,0.0,standard_ad_slot,2
3,0,0.0,2.98,0.710663123229123,0.5,extended_or_integrated_ad,2
3,1,2.98,5.96,0.39809847246021957,1.0,low_ad_need,2
3,2,5.96,8.94,0.3443262715796949,1.0,low_ad_need,2
3,3,8.94,11.92,0.2808863899568087,0.5,low_ad_need,2
3,4,11.92,14.9,0.31872078898078565,1.0,low_ad_need,2
3,5,14.9,16.39,0.0,1.0,low_ad_need,1
4,0,0.0,2.98,0.5713254998961601,0.5,extended_or_integrated_ad,2
4,1,2.98,5.96,0.4296050975096035,0.5,extended_or_integrated_ad,2
4,2,5.96,8.94,0.028809770421542518,0.0,low_ad_need,2
4,3,8.94,11.92,0.04047911836412005,0.0,low_ad_need,2
4,4,11.92,14.9,0.0774473388880259,0.0,low_ad_need,2
4,5,14.9,17.88,0.13627926500760373,0.5,low_ad_need,2
4,6,17.88,19.37,0.015646589442635743,1.0,low_ad_need,1
5,0,0.0,2.98,0.6669367504852477,1.0,extended_or_integrated_ad,2
5,1,2.98,5.96,0.619522408699223,1.0,extended_or_integrated_ad,2
5,2,5.96,8.94,0.7560088155850923,1.0,extended_or_integrated_ad,2
5,3,8.94,11.92,0.8559741095030897,1.0,extended_or_integrated_ad,2
5,4,11.92,14.9,0.7296038009171194,1.0,extended_or_integrated_ad,2
5,5,14.9,16.39,0.0,1.0,low_ad_need,1
