clip_idx,video_id,category,tier,gt,adqa_tribe_claude_haiku_4_5_claude_haiku_4_5_score,n_questions,tribe_mean_need
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier0_cross,0,0.0,5,0.3883963677748515
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier1_vatex_short,1,0.0,5,0.3883963677748515
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier2_vatex_long,2,0.0,5,0.3883963677748515
0,Q76JRCyTnSc_000007_000017,Food & Cooking,tier3_va11y,3,0.1,5,0.3883963677748515
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier0_cross,0,0.0,5,0.3472245020802409
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier1_vatex_short,1,0.2,5,0.3472245020802409
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier2_vatex_long,2,0.6,5,0.3472245020802409
1,058y9xGmmTQ_000206_000216,Food & Cooking,tier3_va11y,3,1.0,5,0.3472245020802409
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier0_cross,0,0.0,5,0.3732172811284784
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier1_vatex_short,1,0.3,5,0.3732172811284784
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier2_vatex_long,2,0.3,5,0.3732172811284784
3,vLGOZvJ_v4Q_000285_000295,Food & Cooking,tier3_va11y,3,0.4,5,0.3732172811284784
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier0_cross,0,0.0,5,0.1987337515089805
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier1_vatex_short,1,0.4,5,0.1987337515089805
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier2_vatex_long,2,0.3,5,0.1987337515089805
4,B0EKYDSv_yQ_000002_000012,Food & Cooking,tier3_va11y,3,0.7,5,0.1987337515089805
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier0_cross,0,0.0,5,0.6596447063981404
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier1_vatex_short,1,0.2,5,0.6596447063981404
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier2_vatex_long,2,0.8,5,0.6596447063981404
5,PbGvLf7HvXQ_000063_000073,Food & Cooking,tier3_va11y,3,0.9,5,0.6596447063981404
6,0HEi6q3bGaw_000011_000021,Travel,tier0_cross,0,0.0,5,0.3976061903273661
6,0HEi6q3bGaw_000011_000021,Travel,tier1_vatex_short,1,0.0,5,0.3976061903273661
6,0HEi6q3bGaw_000011_000021,Travel,tier2_vatex_long,2,0.1,5,0.3976061903273661
