clip_idx,tier,gt,clip_mean,need_weighted_clip,critical_weighted_clip,clip_mean_norm,need_weighted_clip_norm,critical_weighted_clip_norm,cc,gc,gg,cg,adqa3_mean,adqa2_mean,best_rho_score,best_full_score
0,tier0_cross,0,0.0865654482816656,0.0883679883029392,0.0871333619732085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,tier1_vatex_short,1,0.2418647892773151,0.2449236470314721,0.2477790164998196,1.0,1.0,1.0,0.0,0.6666666666666667,0.28571428571428575,0.0,0.3174603174603175,0.33333333333333337,0.3174603174603175,0.44666666666666666
0,tier2_vatex_long,2,0.1852338624497254,0.183292148634207,0.1817715584144456,0.6353434183009434,0.6063285166578748,0.5891114622435067,0.0,0.8333333333333334,0.4285714285714286,0.0,0.42063492063492064,0.4166666666666667,0.42063492063492064,0.4538417144444937
0,tier3_va11y,3,0.2192670193811257,0.2215056437291584,0.2264152230523467,0.8544889517797603,0.8504173947303914,0.8670129390650031,0.0,1.0,1.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.5602631218025592
1,tier0_cross,0,0.0796914010619123,0.0943041410364665,0.0983595948272381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,tier1_vatex_short,1,0.2143332200745741,0.2178523897268295,0.218956494602766,0.7051487689861711,0.6831499602229375,0.676714268277162,0.11111111111111112,0.1,0.1,0.1,0.1037037037037037,0.10555555555555557,0.1037037037037037,0.20748640183876021
1,tier2_vatex_long,2,0.2388844626645247,0.2332874311233949,0.2315038784824577,0.8337290170572141,0.7684967622041584,0.747122327827141,0.5555555555555556,0.6,0.5,0.6,0.5518518518518518,0.5777777777777777,0.5518518518518518,0.621289488455282
1,tier3_va11y,3,0.2706324122846126,0.2751549876793391,0.2765690776604492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,tier0_cross,0,0.0725141568109393,0.0705004179598472,0.0659167543053627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,tier1_vatex_short,1,0.259676069021225,0.258380104660823,0.2563500006993611,0.8824616108250226,0.8856068151397181,0.8927557084032052,0.8,0.8,0.2,0.6666666666666667,0.6,0.8,0.6,0.8140184738402538
3,tier2_vatex_long,2,0.2741825108726819,0.2735695332534962,0.2740102112293243,0.9508589566973668,0.9572050901632393,0.9755472065306242,0.8,1.0,0.6,1.0,0.7999999999999999,0.9,0.7999999999999999,0.9086460226385523
3,tier3_va11y,3,0.2846048697829246,0.2826483864365068,0.2792262236277262,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,1.0,1.0,1.0,1.0
4,tier0_cross,0,0.0390895435586571,0.0459422123059406,0.0487606900164502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,tier1_vatex_short,1,0.2688308248917262,0.2743568552929199,0.2764042480490954,0.8473220808937105,0.8558972524291567,0.8603624416228375,0.625,0.25,0.16666666666666669,0.625,0.34722222222222227,0.4375,0.34722222222222227,0.5071697537519307
4,tier2_vatex_long,2,0.3102276225884756,0.3128137816896563,0.3133509917540041,1.0,1.0,1.0,0.625,0.5,0.16666666666666669,0.625,0.4305555555555556,0.5625,0.4305555555555556,0.636875
4,tier3_va11y,3,0.2729678710301717,0.277314855049345,0.2791647675131926,0.8625801595569829,0.8669812347479027,0.8707956262330403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9766386271246871
5,tier0_cross,0,0.0357692528826495,0.0346886033597574,0.0346886033597574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,tier1_vatex_short,1,0.2731368492046992,0.2728793614033037,0.2728793614033037,0.8061373307224139,0.80856744871579,0.80856744871579,0.5,0.4444444444444445,0.14285714285714288,0.25,0.3624338624338624,0.4722222222222222,0.3624338624338624,0.5289877906672548
5,tier2_vatex_long,2,0.2928292279442152,0.2925696768533395,0.2925696768533395,0.8730157163092572,0.8754086152606896,0.8754086152606896,0.8749999999999999,1.0,0.7142857142857143,0.8749999999999999,0.8630952380952381,0.9375,0.8630952380952381,0.9265376717725737
5,tier3_va11y,3,0.3302198226253192,0.329272262919456,0.329272262919456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,tier0_cross,0,0.0701933155457178,0.0674954413093687,0.066409113506476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,tier1_vatex_short,1,0.264129213988781,0.264067840571134,0.2650264898935954,1.0,1.0,1.0,0.4,0.14285714285714288,0.6,0.5,0.38095238095238093,0.27142857142857146,0.38095238095238093,0.39528571428571435
6,tier2_vatex_long,2,0.2446236728380124,0.2438119444652534,0.2444631904363632,0.8994227406717322,0.8969545257525859,0.896467772199584,0.6,0.5714285714285715,0.6,0.5,0.5904761904761905,0.5857142857142857,0.5904761904761905,0.6390447230570516
6,tier3_va11y,3,0.2515038953473171,0.2514952694248468,0.2544966737429301,0.9348995274066266,0.9360410149466356,0.946984416257005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9889329196591266
7,tier0_cross,0,0.1270250001301368,0.1274089482281424,0.1259989738464355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,tier1_vatex_short,1,0.2332840810219446,0.2274338349068251,0.2233985513448715,0.8768926671377072,0.8076474455154907,0.7483436862009496,0.3333333333333333,0.75,0.6666666666666665,0.6666666666666667,0.5833333333333333,0.5416666666666666,0.5833333333333333,0.5986550867467435
7,tier2_vatex_long,2,0.241222915550073,0.2380843721215295,0.2388292551040649,0.9424071222309486,0.8936448353696391,0.866901384585371,0.3333333333333333,0.75,0.8333333333333331,0.6666666666666667,0.6388888888888888,0.5416666666666666,0.6388888888888888,0.6097925441125945
7,tier3_va11y,3,0.248201838384072,0.2512561630420772,0.2561525106430053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,tier0_cross,0,0.1670905904223521,0.1605091188833739,0.153877457975375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,tier1_vatex_short,1,0.2298291909197966,0.2166282075909037,0.2038458510083371,0.6396624246445599,0.46536722185436485,0.35639097863219055,0.3333333333333333,0.625,0.33333333333333337,0.125,0.4305555555555555,0.47916666666666663,0.4305555555555555,0.5064509455229085
8,tier2_vatex_long,2,0.2375928126275539,0.2431743449712016,0.2473990710981264,0.718817793846802,0.6855009141175462,0.6670268383874557,0.6666666666666666,0.7499999999999999,0.8333333333333334,0.625,0.75,0.7083333333333333,0.75,0.7101156916206228
8,tier3_va11y,3,0.2651713875432809,0.2811000975172152,0.2940841299420396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,tier0_cross,0,0.1214205076297124,0.1224924704809382,0.1224924704809382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,tier1_vatex_short,1,0.249718335767587,0.2495917408314597,0.2495917408314597,0.7829402730704148,0.783615016198705,0.783615016198705,0.4,0.8,0.7142857142857143,0.7142857142857143,0.6380952380952382,0.6000000000000001,0.6380952380952382,0.6310998464219706
9,tier2_vatex_long,2,0.256265040487051,0.2557301751749796,0.2557301751749796,0.8228916803168433,0.8214607828523315,0.8214607828523315,0.8,0.8,1.0,1.0,0.8666666666666667,0.8,0.8666666666666667,0.8038915856538634
9,tier3_va11y,3,0.2852871939539909,0.2846885332453765,0.2846885332453765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,tier0_cross,0,0.1375690512359142,0.1397113373170608,0.141755165834073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,tier1_vatex_short,1,0.1939579273263613,0.1917322051629725,0.1892515135609043,0.47022158297667005,0.465192404032701,0.458325891755904,0.5,0.5,0.3333333333333333,0.0,0.4444444444444444,0.5,0.4444444444444444,0.4949376691060339
11,tier2_vatex_long,2,0.230160616338253,0.2268506344512146,0.2236380556387101,0.7721124330067125,0.7792361180829973,0.7901459856472303,1.0,0.7,0.6666666666666666,0.5,0.7888888888888889,0.85,0.7888888888888889,0.8367591136111411
11,tier3_va11y,3,0.2574888467788696,0.2515379006808402,0.245385243429879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,tier0_cross,0,0.1540087511142095,0.1487433621013303,0.1406909078359604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,tier1_vatex_short,1,0.2417377301802237,0.2442250242836594,0.2473164871335029,1.0,1.0,1.0,0.33333333333333337,0.5714285714285715,0.625,0.4285714285714286,0.509920634920635,0.45238095238095244,0.509920634920635,0.5454761904761906
12,tier2_vatex_long,2,0.2384408563375473,0.241198991055659,0.2435275018215179,0.9624197855967801,0.9683077026641833,0.9644645746644741,0.5,0.5714285714285715,0.37499999999999994,0.4285714285714286,0.4821428571428572,0.5357142857142858,0.4821428571428572,0.6082542206943098
12,tier3_va11y,3,0.2385056360314289,0.2436172711058983,0.246679849922657,0.963158192615433,0.9936348701533856,0.994029226241582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9937368927446236
13,tier0_cross,0,0.1250412600735823,0.1288849012658174,0.1321854938459687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,tier1_vatex_short,1,0.2479163420697053,0.2474189001464431,0.247245536389586,0.847512641804205,0.840486687163641,0.8333515484317052,0.5,0.5714285714285714,0.5555555555555556,0.4444444444444445,0.5423280423280423,0.5357142857142857,0.5423280423280423,0.588720006249572
13,tier2_vatex_long,2,0.2700244449079036,0.2699150932854411,0.2702545269690849,1.0,1.0,1.0,0.7,0.8571428571428573,0.7777777777777777,0.7777777777777777,0.7783068783068784,0.7785714285714287,0.7783068783068784,0.8162142857142858
13,tier3_va11y,3,0.2583178157607714,0.2596716012126065,0.261410922003667,0.9192552628740367,0.9273666728652737,0.9359479474479113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9862733946885862
14,tier0_cross,0,0.129463500653704,0.1313228472572898,0.1322272109198138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,tier1_vatex_short,1,0.3032855366667111,0.3060544811967536,0.3074674421799269,1.0,1.0,1.0,0.5,0.7,0.5,0.5,0.5666666666666667,0.6,0.5666666666666667,0.6679999999999999
14,tier2_vatex_long,2,0.2709803978602091,0.2737519181363312,0.275175791807301,0.8141481969289291,0.8151304241130505,0.8157292412796772,0.7,0.8,0.6,0.7,0.7000000000000001,0.75,0.7000000000000001,0.7609051934779179
14,tier3_va11y,3,0.2912370910247167,0.2919350352405271,0.2922789000030681,0.9306851655960765,0.9191935333179668,0.9133273103576651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988216478151333
15,tier0_cross,0,0.0653467929611603,0.065603780624565,0.065603780624565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,tier1_vatex_short,1,0.2383633653322855,0.2393794296104266,0.2393794296104266,0.7920937826785088,0.7951928669067909,0.7951928669067909,0.6,0.2,0.5,0.5,0.43333333333333335,0.4,0.43333333333333335,0.4666559430553465
15,tier2_vatex_long,2,0.2429585866630077,0.2431124703660069,0.2431124703660069,0.813131341082389,0.8122751646742491,0.8122751646742491,1.0,0.6,1.0,1.0,0.8666666666666667,0.8,0.8666666666666667,0.8022323279840062
15,tier3_va11y,3,0.2837761963407199,0.284136486610509,0.284136486610509,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0
16,tier0_cross,0,0.0754594467580318,0.0755283127618126,0.0755152553319931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,tier1_vatex_short,1,0.2476688039799531,0.2501119841587501,0.2529705663522084,0.8527313530748557,0.8730283049871538,0.8969882197726113,0.0,0.3,0.3333333333333333,0.0,0.2111111111111111,0.15,0.2111111111111111,0.26946433002272546
16,tier2_vatex_long,2,0.2268701295057932,0.2300832286109133,0.2332294136285782,0.749742281443525,0.7728719136876824,0.7972020745396233,0.4285714285714286,0.4,0.5555555555555556,0.4285714285714286,0.4613756613756614,0.4142857142857143,0.4613756613756614,0.4713133307025421
16,tier3_va11y,3,0.2774097522099813,0.2755031250326546,0.2733498613039652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,tier0_cross,0,0.168983389933904,0.1689063748323697,0.1702168919147371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,tier1_vatex_short,1,0.2215168320884307,0.2182134946823344,0.2150701501093844,0.4862155491446936,0.4749947327063624,0.4611822876451362,0.24999999999999997,0.24999999999999997,0.28571428571428575,0.0,0.2619047619047619,0.24999999999999997,0.2619047619047619,0.2901566433545979
17,tier2_vatex_long,2,0.2585119698196649,0.2538156912382704,0.2494779499174246,0.8286186065108032,0.8179645895607841,0.8149641190439876,0.24999999999999997,0.37500000000000006,0.4285714285714286,0.0,0.3511904761904762,0.3125,0.3511904761904762,0.4002401631068365
