metric,rho,tau,wins,full,w_scenetwin,extra
blend_all4_with_claude_vlm_specificity_norm_44,0.965113606995156,0.8945203601259574,54/54,18/18,0.44,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_45,0.965113606995156,0.8945203601259574,54/54,18/18,0.45,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_39,0.9645088992213497,0.8935767732481874,54/54,17/18,0.39,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_46,0.9645088992213497,0.8935767732481874,54/54,18/18,0.46,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_40,0.9639041914475431,0.8926331863704174,54/54,17/18,0.40,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_41,0.9639041914475431,0.8926331863704174,54/54,17/18,0.41,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_42,0.9639041914475431,0.8926331863704174,54/54,17/18,0.42,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_43,0.9639041914475431,0.8926331863704174,54/54,17/18,0.43,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_38,0.9632994836737366,0.8916895994926474,54/54,17/18,0.38,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_47,0.9632994836737366,0.8916895994926474,54/54,18/18,0.47,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_33,0.9626947758999301,0.8907460126148775,54/54,17/18,0.33,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_34,0.9626947758999301,0.8907460126148775,54/54,17/18,0.34,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_36,0.9626947758999301,0.8907460126148775,54/54,17/18,0.36,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_37,0.9626947758999301,0.8907460126148775,54/54,17/18,0.37,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_48,0.9626947758999301,0.8907460126148775,54/54,18/18,0.48,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_49,0.9626947758999301,0.8907460126148775,54/54,18/18,0.49,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_32,0.962097983924299,0.8899950028253351,54/54,17/18,0.32,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_29,0.9620900681261236,0.8898024257371074,54/54,17/18,0.29,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_30,0.9620900681261236,0.8898024257371074,54/54,17/18,0.30,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_31,0.9620900681261236,0.8898024257371074,54/54,17/18,0.31,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_specificity_norm_35,0.9620900681261236,0.8898024257371074,54/54,17/18,0.35,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_completeness_norm_41,0.9617039073706547,0.8904232196656442,54/54,17/18,0.41,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_42,0.9617039073706547,0.8904232196656442,54/54,17/18,0.42,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_43,0.9617039073706547,0.8904232196656442,54/54,17/18,0.43,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_specificity_norm_50,0.9614853603523172,0.8888588388593374,54/54,18/18,0.50,claude_vlm_specificity_norm
blend_all4_with_claude_vlm_completeness_norm_36,0.9610986815006921,0.889476967572482,54/54,17/18,0.36,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_37,0.9610986815006921,0.889476967572482,54/54,17/18,0.37,claude_vlm_completeness_norm
blend_all4_with_claude_vlm_completeness_norm_38,0.9610986815006921,0.889476967572482,54/54,17/18,0.38,claude_vlm_completeness_norm
