clip_idx,category,duration_s,mean_need,max_need,high_need_seconds_frac,extended_seconds_frac,tribe_pressure,tier3_va11y_words,all4_mean_full_order,all4_mean_tier3_margin,all4_mean_tier2_vs_tier1,claude_vlm_specificity_norm_tier3_margin,tribe_route,quality_risk,duration_s_feature,mean_need_feature,max_need_feature,need_entropy,high_need_windows,high_need_frac,high_need_seconds,high_need_seconds_frac_feature,standard_windows,standard_seconds,extended_windows,extended_seconds,extended_seconds_frac_feature,mean_speech_density,mean_standard_slot_score,mean_extended_need_score,tribe_pressure_feature,video_id,category_feature,tier0_cross_words,tier0_cross_text,tier1_vatex_short_words,tier1_vatex_short_text,tier2_vatex_long_words,tier2_vatex_long_text,tier3_va11y_words_feature,tier3_va11y_text,pro_minus_short_words,pro_minus_long_words,clip_mean_norm_full_order,clip_mean_norm_tier3_margin,clip_mean_norm_tier3_vs_tier0,clip_mean_norm_tier2_vs_tier1,clip_mean_norm_spread,all4_mean_full_order_feature,all4_mean_tier3_margin_feature,all4_mean_tier3_vs_tier0,all4_mean_tier2_vs_tier1_feature,all4_mean_spread,selected3_mean_full_order,selected3_mean_tier3_margin,selected3_mean_tier3_vs_tier0,selected3_mean_tier2_vs_tier1,selected3_mean_spread,strict_all4_80adqa_20clip_full_order,strict_all4_80adqa_20clip_tier3_margin,strict_all4_80adqa_20clip_tier3_vs_tier0,strict_all4_80adqa_20clip_tier2_vs_tier1,strict_all4_80adqa_20clip_spread,claude_vlm_completeness_norm_full_order,claude_vlm_completeness_norm_tier3_margin,claude_vlm_completeness_norm_tier3_vs_tier0,claude_vlm_completeness_norm_tier2_vs_tier1,claude_vlm_completeness_norm_spread,claude_vlm_specificity_norm_full_order,claude_vlm_specificity_norm_tier3_margin_feature,claude_vlm_specificity_norm_tier3_vs_tier0,claude_vlm_specificity_norm_tier2_vs_tier1,claude_vlm_specificity_norm_spread,vlm_best_dims_mean_full_order,vlm_best_dims_mean_tier3_margin,vlm_best_dims_mean_tier3_vs_tier0,vlm_best_dims_mean_tier2_vs_tier1,vlm_best_dims_mean_spread,all4_fail,quality_risk_fail,low_tier3_margin,tier2_tier1_inversion,target,risk_score,risk_rank
12,Sports,23.84,0.5182596900896645,0.8755344451155387,0.625,0.5000000000000001,0.7773895351344968,64,0.0,0.5104166666666667,-0.0208333333333333,0.5714285714285715,extended/integrated AD likely needed,tier2/tier1 inversion risk,23.84,0.5182596900896645,0.8755344451155387,0.8910406723420804,5,0.625,14.9,0.625,1,2.979999999999998,4,11.920000000000002,0.5000000000000001,0.5000000000000001,0.280861072744793,0.2373986173448715,0.7773895351344968,abaLFY_GI8k_000295_000305,Sports,40,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",11,Some boys talking in a foreign language are playing Volley Ball.,20,A man runs to the back of a volleyball field bouncing the ball before he plays a game of volleyball.,64,"A group of boys is playing volleyball on an outdoor dirt court. The net is slightly broken, and the setting is casual. One boy serves the ball, and another jumps to spike it over the net. The players are wearing shorts and are engaged in the game, communicating in a foreign language. The scene is lively, with the boys moving energetically across the court.",53,44,0.0,-0.0368418073845669,0.963158192615433,-0.03758021440322,1.0,0.0,0.5104166666666667,1.0,-0.0208333333333333,1.0,0.0,0.490079365079365,1.0,-0.0277777777777777,1.0,0.0,0.40096497185642,0.9926316385230868,-0.0241827095473107,0.9926316385230868,0.0,0.5333333333333333,1.0,-0.2,1.0,1.0,0.5714285714285715,1.0,0.0714285714285714,1.0,0.0,0.6003968253968255,1.0,-0.0011904761904761,1.0,1.0,1,0,1,1,0.280861072744793,1
15,Pets & Animals,16.39,0.5596241940798036,0.7493147206590085,0.9090909090909092,0.7272727272727273,0.9666236079560244,53,0.0,-0.025,0.45,0.4117647058823529,extended/integrated AD likely needed,professional AD barely leads,16.39,0.5596241940798036,0.7493147206590085,0.8937152113189232,5,0.8333333333333334,14.9,0.9090909090909092,1,2.9800000000000004,4,11.92,0.7272727272727273,0.5454545454545454,0.2450350738936531,0.3145891201861504,0.9666236079560244,OGWuj_FtaQc_000010_000020,Pets & Animals,40,"In a snowy landscape, two people on snowmobiles pause to converse. One rider, wearing a helmet, gestures while speaking. After a brief exchange, they both rev their engines and ride off across the snow-covered terrain, leaving tracks behind them.",11,A guy has a small deer follow him alongside a fence.,22,A guy with green top and navy bottom is playing with a deer which fenced up to other side of the fence,53,"A man in a green shirt and navy shorts walks back and forth along a fence. On the other side, a small deer mirrors his movements, following him closely. The setting appears to be a zoo or animal enclosure, with the man playfully engaging the deer in a game of follow-the-leader.",42,31,1.0,0.1868686589176109,1.0,0.0210375584038802,1.0,0.0,-0.025,0.875,0.45,0.9,0.0,-0.0333333333333333,0.8333333333333334,0.4333333333333334,0.8666666666666667,1.0,0.0173737317835221,0.9000000000000001,0.3642075116807761,0.9000000000000001,1.0,0.368421052631579,1.0,0.2105263157894737,1.0,1.0,0.4117647058823529,1.0,0.2352941176470588,1.0,1.0,0.3581011351909184,1.0,0.1878224974200206,1.0,1.0,1,1,0,1,0.2450350738936531,2
11,Sports,16.39,0.4782412280361204,0.6204962039553747,0.7272727272727273,0.3636363636363636,0.6521471291401642,69,1.0,0.2833333333333333,0.3833333333333333,0.2941176470588235,standard AD priority,clean,16.39,0.4782412280361204,0.6204962039553747,0.9860055878065448,4,0.6666666666666666,11.92,0.7272727272727273,2,5.960000000000001,2,5.959999999999999,0.3636363636363636,0.6363636363636364,0.215215029814331,0.2630261982217894,0.6521471291401642,z8Q-s8AthrA_000002_000012,Sports,40,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",10,A girl performs the high jump at a track meet.,33,"A child jumps over a hurdle on a track, and a child is talking while other kids are playing in the background followed by a child running and and doing a high jump.",69,"A young girl in a yellow shirt and black pants participates in a track and field event. She energetically runs and leaps over hurdles on a track. Later, she stands on the track, speaking confidently about her experience while other children play in the background. The scene shifts to her performing a high jump, landing on a cushioned surface. The video captures her enthusiasm and skill in the sport.",59,36,1.0,0.2278875669932875,1.0,0.3018908500300425,1.0,1.0,0.2833333333333333,1.0,0.3833333333333333,1.0,1.0,0.2111111111111111,1.0,0.3444444444444444,1.0,1.0,0.2722441800653241,1.0,0.3670448366726752,1.0,1.0,0.1666666666666666,1.0,0.3888888888888889,1.0,1.0,0.2941176470588235,1.0,0.1176470588235294,1.0,1.0,0.227668845315904,1.0,0.2429193899782136,1.0,0.0,0,0,0,0,0.215215029814331,3
4,Food & Cooking,19.37,0.1987337515089805,0.5713254998961601,0.3076923076923076,0.3076923076923076,0.2598825981271284,73,1.0,0.5208333333333333,0.0625,0.375,low/normal AD pressure,clean,19.37,0.1987337515089805,0.5713254998961601,0.7078768016082808,2,0.2857142857142857,5.96,0.3076923076923076,0,0.0,2,5.96,0.3076923076923076,0.3076923076923077,0.1237965014793331,0.0749372500296473,0.2598825981271284,B0EKYDSv_yQ_000002_000012,Food & Cooking,35,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",10,A preteen girl is making scrambled eggs on the stove.,18,A young girl is shown cooking eggs in a frying pan and talking about who it's for.,73,"In a cozy kitchen, a young girl stands at the stove, skillfully stirring scrambled eggs in a frying pan with a spatula. She mentions that the eggs are for her and her mother, if her mother wants some. The girl is focused and seems to enjoy the cooking process, occasionally glancing at the camera with a smile. The kitchen is warm and inviting, with a granite countertop and wooden cabinets in the background.",63,55,0.0,-0.1374198404430171,0.8625801595569829,0.1526779191062894,1.0,1.0,0.5208333333333333,1.0,0.0625,1.0,1.0,0.5694444444444444,1.0,0.0833333333333333,1.0,1.0,0.3891826985780632,0.9725160319113966,0.0805355838212579,0.9725160319113966,1.0,0.2941176470588235,1.0,0.2352941176470589,1.0,1.0,0.375,1.0,0.1875,1.0,1.0,0.3210784313725489,1.0,0.10171568627451,1.0,0.0,0,0,0,0,0.1237965014793331,4
3,Food & Cooking,16.39,0.3732172811284784,0.710663123229123,0.1818181818181818,0.1818181818181818,0.4410749686063837,54,1.0,0.0666666666666668,0.2333333333333332,0.2352941176470588,low/normal AD pressure,clean,16.39,0.3732172811284784,0.710663123229123,0.8629360990356767,1,0.1666666666666666,2.98,0.1818181818181818,0,0.0,1,2.98,0.1818181818181818,0.8181818181818181,0.1174465648562957,0.2557707162721827,0.4410749686063837,vLGOZvJ_v4Q_000285_000295,Food & Cooking,35,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",13,A man is stirring food in a cast iron skillet with a fork.,19,"A man is holding a frying pan with food over a stove, he pushes the fork around in it.",54,"A man in a grey shirt stands at a stove, demonstrating how to cook an omelette with spaghetti and eggs in a black cast iron skillet. He stirs the mixture with a fork, moving the pan back and forth to ensure even cooking. The ingredients sizzle as he explains each step of the process.",41,35,1.0,0.0491410433026332,1.0,0.0683973458723441,1.0,1.0,0.0666666666666668,0.9166666666666669,0.2333333333333332,0.9166666666666669,1.0,0.2,1.0,0.1999999999999999,1.0,1.0,0.0631615419938598,0.9333333333333332,0.2003461358411354,0.9333333333333332,0.0,0.1764705882352941,1.0,-0.1176470588235293,1.0,0.0,0.2352941176470588,1.0,-0.176470588235294,1.0,0.0,0.2074303405572756,1.0,-0.0804953560371515,1.0,0.0,0,0,0,0,0.1174465648562957,5
19,Pets & Animals,20.86,0.333624183997777,0.5766175841764636,0.4285714285714285,0.2857142857142857,0.4289453794257133,52,1.0,0.3928571428571428,0.3452380952380952,0.625,low/normal AD pressure,clean,20.86,0.333624183997777,0.5766175841764636,0.9162251302173916,3,0.4285714285714285,8.94,0.4285714285714285,1,2.98,2,5.959999999999999,0.2857142857142857,0.5714285714285714,0.1171860557291687,0.2164381282686083,0.4289453794257133,qIWQHyOIpEY_000003_000013,Pets & Animals,40,"In a snowy landscape, two people on snowmobiles pause to converse. One rider, wearing a helmet, gestures while speaking. After a brief exchange, they both rev their engines and ride off across the snow-covered terrain, leaving tracks behind them.",11,One cat is lying on the ground as another looks around.,24,"A man is conversating with a woman, while three cats are relaxing on a hardwood floor, and someone massages one of the cats' head.",52,"In a dimly lit living room, three cats are on a hardwood floor. An orange cat stands over a black and white cat that is lying down, gently swatting at it. Another cat, partially visible, sits nearby. The room is quiet, with soft murmurs in a non-English language in the background.",41,28,1.0,0.0266651065482016,1.0,0.0967835715622519,1.0,1.0,0.3928571428571428,1.0,0.3452380952380952,1.0,1.0,0.3809523809523809,1.0,0.4126984126984128,1.0,1.0,0.3196187355953546,1.0,0.2955471905029266,1.0,1.0,0.4666666666666667,1.0,0.2,1.0,1.0,0.625,1.0,0.125,1.0,1.0,0.5120370370370371,1.0,0.1453703703703704,1.0,0.0,0,0,0,0,0.1171860557291687,6
14,Sports,16.39,0.4003728105074168,0.5376238514689752,0.7272727272727273,0.7272727272727273,0.6915530363309926,46,1.0,0.2999999999999999,0.15,0.2352941176470588,extended/integrated AD likely needed,clean,16.39,0.4003728105074168,0.5376238514689752,0.9402624060655984,4,0.6666666666666666,11.92,0.7272727272727273,0,0.0,4,11.92,0.7272727272727273,0.9090909090909092,0.0644179718060927,0.3359548387013241,0.6915530363309926,UDD6YcChywc_000000_000010,Sports,40,"In a bustling kitchen, a chef holds a cherry tomato and counts down in Spanish. With precision, he throws the tomato at a wall, followed by a knife, which pins the tomato in place. The chef smiles, showcasing his skill.",14,A man walks on the ice pushing a curling block and then falls down.,27,"A man is playing the sport curling, is pushing the object across the ice, the slips and falls, whilst other people stand around and clap and react.",46,"In an indoor curling rink, a man skillfully slides a curling stone down the ice. As he releases the stone, he loses his balance and falls onto the ice. A small group of onlookers reacts with laughter and concern, checking to see if he is okay.",32,19,0.0,-0.0693148344039236,0.9306851655960764,-0.1858518030710708,1.0,1.0,0.2999999999999999,1.0,0.15,1.0,1.0,0.2999999999999999,1.0,0.1333333333333334,1.0,1.0,0.2633073937334295,0.9861370331192154,0.0828296393857858,0.9861370331192154,1.0,0.1764705882352941,1.0,0.2941176470588235,1.0,1.0,0.2352941176470588,1.0,0.176470588235294,1.0,1.0,0.1960784313725491,1.0,0.1960784313725488,1.0,0.0,0,0,0,0,0.0644179718060927,7
17,Pets & Animals,19.37,0.5719618255815417,0.989735822398962,0.7692307692307692,0.7692307692307692,1.011932460644266,60,1.0,0.7366071428571429,0.0669642857142857,-0.0588235294117648,extended/integrated AD likely needed,clean,19.37,0.5719618255815417,0.989735822398962,0.8892624891654481,5,0.7142857142857143,14.9,0.7692307692307692,0,0.0,5,14.9,0.7692307692307692,0.9230769230769232,0.045903849237172,0.5260579763443698,1.011932460644266,gjoZic4WjiQ_000012_000022,Pets & Animals,40,"In a snowy landscape, two people on snowmobiles pause to converse. One rider, wearing a helmet, gestures while speaking. After a brief exchange, they both rev their engines and ride off across the snow-covered terrain, leaving tracks behind them.",12,A couple of girls are trying to climb up a snowy hill.,26,"A girl tries to run up a steep icy slope, gets half way, slips and slides all the way down, then a second girlstarts her attempt.",60,"In a snowy playground, a girl in a red hat runs up a steep, snow-covered hill between two blue slides. She slips halfway and slides back down, laughing. Another girl, wearing a knitted hat, eagerly takes her turn, attempting to climb the same hill. The scene is filled with laughter and playful attempts as they enjoy the snowy challenge.",48,34,1.0,0.1713813934891968,1.0,0.3424030573661096,1.0,1.0,0.7366071428571429,1.0,0.0669642857142857,1.0,1.0,0.6488095238095237,1.0,0.0892857142857143,1.0,1.0,0.6235619929835536,1.0,0.1220520400446504,1.0,1.0,0.0588235294117648,1.0,0.5294117647058822,1.0,0.0,-0.0588235294117648,0.9411764705882352,0.8235294117647058,1.0,1.0,0.0555555555555555,0.9803921568627452,0.5065359477124184,0.9803921568627452,0.0,0,0,0,0,0.045903849237172,8
5,Food & Cooking,16.39,0.6596447063981404,0.8559741095030897,0.9090909090909092,0.9090909090909092,1.2593217122146318,60,1.0,0.1339285714285714,0.5317460317460319,0.0555555555555555,extended/integrated AD likely needed,clean,16.39,0.6596447063981404,0.8559741095030897,0.8948127586578454,5,0.8333333333333334,14.9,0.9090909090909092,0,0.0,5,14.9,0.9090909090909092,1.0,0.0,0.6596447063981403,1.2593217122146318,PbGvLf7HvXQ_000063_000073,Food & Cooking,35,"At night, a skier navigates a snowy hill, weaving between flexible poles in a slalom course. The skier moves swiftly, alternating left and right, purposefully making contact with each pole as they descend the slope.",11,A woman is explaining how to mix spinach in a bowl,29,"A person drops chopped garlic from a knife into a wooden bowl, on top of spinach, and another person starts mixing the garlic and spinach leaves with their hands.",60,"In a kitchen setting, two individuals demonstrate how to prepare a spinach salad. One person drops chopped garlic from a knife into a large wooden bowl filled with fresh spinach leaves. The other person uses their hands to thoroughly mix the garlic and spinach together. The video focuses on the process of combining these ingredients to create a healthy salad.",49,31,1.0,0.1269842836907427,1.0,0.0668783855868433,1.0,1.0,0.1339285714285714,1.0,0.5317460317460319,1.0,1.0,0.1369047619047618,1.0,0.5006613756613758,1.0,1.0,0.1325397138810056,1.0,0.4387725025141942,1.0,1.0,0.1052631578947368,1.0,0.6842105263157896,1.0,1.0,0.0555555555555555,1.0,0.6111111111111112,1.0,1.0,0.016569200779727,0.9629629629629628,0.6910331384015593,0.9629629629629628,0.0,0,0,0,0,0.0,9
8,Travel,16.39,0.3789945682630365,0.7014957045919514,0.3636363636363636,0.3636363636363636,0.5168107749041408,56,1.0,0.28125,0.3645833333333334,0.3571428571428571,low/normal AD pressure,clean,16.39,0.3789945682630365,0.7014957045919514,0.8557803806502187,2,0.3333333333333333,5.96,0.3636363636363636,0,0.0,2,5.96,0.3636363636363636,1.0,0.0,0.3789945682630364,0.5168107749041408,hOirknJr3os_000001_000011,Travel,53,"A man in a green shirt and navy shorts walks back and forth along a fence. On the other side, a small deer mirrors his movements, following him closely. The setting appears to be a zoo or animal enclosure, with the man playfully engaging the deer in a game of follow-the-leader.",10,A group of people are riding horses through the woods.,22,"A horse ranch sign is shown, then horses grazing, and after this people riding horses through woods are seen as music plays.",56,"The video begins with a sign for KOA Ranch, featuring a silhouette of a horse. Horses graze peacefully in a sunlit pasture. The scene shifts to a group of people riding horses along a wooded trail, accompanied by a song about camping. This advertisement highlights the scenic beauty and horse riding experiences offered at KOA campgrounds.",46,34,1.0,0.281182206153198,1.0,0.079155369202242,1.0,1.0,0.28125,1.0,0.3645833333333334,1.0,1.0,0.25,1.0,0.3194444444444445,1.0,1.0,0.2812364412306395,1.0,0.3074977405071152,1.0,1.0,0.1875,1.0,0.4375,1.0,1.0,0.3571428571428571,1.0,0.5000000000000001,1.0,1.0,0.2556216931216931,1.0,0.386574074074074,1.0,0.0,0,0,0,0,0.0,10
