target,feature,feature_kind,direction,auc_oriented,average_precision,positives,n
all4_mean_full_order_fail,mean_standard_slot_score,TRIBE,high,1.0,1.0,2,18
all4_mean_full_order_fail,mean_speech_density,TRIBE,low,0.9375,0.5833333333333333,2,18
all4_mean_full_order_fail,high_need_seconds_frac,TRIBE,high,0.78125,0.29166666666666663,2,18
all4_mean_full_order_fail,high_need_frac,TRIBE,high,0.765625,0.25,2,18
all4_mean_full_order_fail,mean_extended_need_score,TRIBE,low,0.75,0.26785714285714285,2,18
all4_mean_full_order_fail,mean_need,TRIBE,high,0.75,0.26666666666666666,2,18
all4_mean_full_order_fail,tribe_pressure,TRIBE,high,0.75,0.26666666666666666,2,18
all4_mean_full_order_fail,pro_minus_long_words,cheap_baseline,high,0.734375,0.35,2,18
all4_mean_full_order_fail,duration_s,cheap_baseline,high,0.71875,0.5625,2,18
all4_mean_full_order_fail,max_need,TRIBE,high,0.71875,0.2777777777777778,2,18
all4_mean_full_order_fail,pro_minus_short_words,cheap_baseline,high,0.671875,0.225,2,18
all4_mean_full_order_fail,extended_seconds_frac,TRIBE,high,0.671875,0.20833333333333331,2,18
all4_mean_full_order_fail,tier3_va11y_words,cheap_baseline,high,0.625,0.2159090909090909,2,18
all4_mean_full_order_fail,tier1_vatex_short_words,cheap_baseline,low,0.59375,0.18181818181818182,2,18
all4_mean_full_order_fail,tier2_vatex_long_words,cheap_baseline,low,0.546875,0.1625,2,18
all4_mean_full_order_fail,need_entropy,TRIBE,high,0.5,0.15555555555555556,2,18
all4_mean_low_tier3_margin_lt_0.05,mean_standard_slot_score,TRIBE,high,0.9411764705882353,0.5,1,18
all4_mean_low_tier3_margin_lt_0.05,high_need_seconds_frac,TRIBE,high,0.9411764705882353,0.3333333333333333,1,18
all4_mean_low_tier3_margin_lt_0.05,high_need_frac,TRIBE,high,0.9117647058823529,0.25,1,18
all4_mean_low_tier3_margin_lt_0.05,mean_speech_density,TRIBE,low,0.8823529411764706,0.3333333333333333,1,18
all4_mean_low_tier3_margin_lt_0.05,mean_need,TRIBE,high,0.7647058823529411,0.2,1,18
